[1650, 1275]
[paragraph, [138.0, 161.0, 540.0, 36.0], szw2N2k0QR, 5771979]
[paragraph, [138.0, 197.0, 540.0, 36.0], szw2N2k0QR, 5771979]
[paragraph, [689.0, 168.0, 527.0, 36.0], shoonya_4s98TDE8RH1PDS, 5771979]
[paragraph, [689.0, 204.0, 527.0, 36.0], shoonya_4s98TDE8RH1PDS, 5771979]
[paragraph, [689.0, 240.0, 527.0, 36.0], shoonya_4s98TDE8RH1PDS, 5771979]
[paragraph, [689.0, 276.0, 527.0, 36.0], shoonya_4s98TDE8RH1PDS, 5771979]
[paragraph, [689.0, 312.0, 527.0, 36.0], shoonya_4s98TDE8RH1PDS, 5771979]
[paragraph, [689.0, 348.0, 527.0, 36.0], shoonya_4s98TDE8RH1PDS, 5771979]
[paragraph, [689.0, 384.0, 527.0, 36.0], shoonya_4s98TDE8RH1PDS, 5771979]
[paragraph, [122.0, 243.0, 556.0, 36.0], zgcPCtPbwB, 5771979]
[paragraph, [122.0, 279.0, 556.0, 36.0], zgcPCtPbwB, 5771979]
[paragraph, [122.0, 315.0, 556.0, 36.0], zgcPCtPbwB, 5771979]
[paragraph, [122.0, 351.0, 556.0, 36.0], zgcPCtPbwB, 5771979]
[paragraph, [122.0, 387.0, 556.0, 36.0], zgcPCtPbwB, 5771979]
[paragraph, [129.0, 440.0, 553.0, 36.0], 9rP-yyW43h, 5771979]
[paragraph, [129.0, 476.0, 553.0, 36.0], 9rP-yyW43h, 5771979]
[paragraph, [129.0, 512.0, 553.0, 36.0], 9rP-yyW43h, 5771979]
[paragraph, [129.0, 548.0, 553.0, 36.0], 9rP-yyW43h, 5771979]
[paragraph, [129.0, 584.0, 553.0, 36.0], 9rP-yyW43h, 5771979]
[paragraph, [692.0, 462.0, 524.0, 36.0], shoonya_1sDT8RVOQUKVOM, 5771979]
[paragraph, [692.0, 498.0, 524.0, 36.0], shoonya_1sDT8RVOQUKVOM, 5771979]
[paragraph, [692.0, 534.0, 524.0, 36.0], shoonya_1sDT8RVOQUKVOM, 5771979]
[paragraph, [692.0, 570.0, 524.0, 36.0], shoonya_1sDT8RVOQUKVOM, 5771979]
[paragraph, [692.0, 606.0, 524.0, 36.0], shoonya_1sDT8RVOQUKVOM, 5771979]
[paragraph, [143.0, 636.0, 532.0, 36.0], shoonya_11s6SHKBNG3MD2, 5771979]
[paragraph, [143.0, 672.0, 532.0, 36.0], shoonya_11s6SHKBNG3MD2, 5771979]
[paragraph, [143.0, 708.0, 532.0, 36.0], shoonya_11s6SHKBNG3MD2, 5771979]
[paragraph, [143.0, 744.0, 532.0, 36.0], shoonya_11s6SHKBNG3MD2, 5771979]
[paragraph, [687.0, 680.0, 534.0, 36.0], shoonya_12sMBKNM5R4CX7, 5771979]
[paragraph, [687.0, 716.0, 534.0, 36.0], shoonya_12sMBKNM5R4CX7, 5771979]
[paragraph, [687.0, 752.0, 534.0, 36.0], shoonya_12sMBKNM5R4CX7, 5771979]
[paragraph, [687.0, 788.0, 534.0, 36.0], shoonya_12sMBKNM5R4CX7, 5771979]
[paragraph, [687.0, 824.0, 534.0, 36.0], shoonya_12sMBKNM5R4CX7, 5771979]
[paragraph, [687.0, 860.0, 534.0, 36.0], shoonya_12sMBKNM5R4CX7, 5771979]
[paragraph, [687.0, 896.0, 534.0, 36.0], shoonya_12sMBKNM5R4CX7, 5771979]
[paragraph, [687.0, 932.0, 534.0, 36.0], shoonya_12sMBKNM5R4CX7, 5771979]
[paragraph, [687.0, 968.0, 534.0, 36.0], shoonya_12sMBKNM5R4CX7, 5771979]
[paragraph, [687.0, 1004.0, 534.0, 36.0], shoonya_12sMBKNM5R4CX7, 5771979]
[paragraph, [151.0, 808.0, 524.0, 36.0], shoonya_2sVVZR2OEY77TT, 5771979]
[paragraph, [151.0, 844.0, 524.0, 36.0], shoonya_2sVVZR2OEY77TT, 5771979]
[paragraph, [151.0, 880.0, 524.0, 36.0], shoonya_2sVVZR2OEY77TT, 5771979]
[paragraph, [151.0, 916.0, 524.0, 36.0], shoonya_2sVVZR2OEY77TT, 5771979]
[paragraph, [151.0, 952.0, 524.0, 36.0], shoonya_2sVVZR2OEY77TT, 5771979]
[paragraph, [151.0, 988.0, 524.0, 36.0], shoonya_2sVVZR2OEY77TT, 5771979]
[paragraph, [151.0, 1040.0, 523.0, 36.0], shoonya_0s82QPMWRIBQ4D, 5771979]
[paragraph, [151.0, 1076.0, 523.0, 36.0], shoonya_0s82QPMWRIBQ4D, 5771979]
[paragraph, [151.0, 1112.0, 523.0, 36.0], shoonya_0s82QPMWRIBQ4D, 5771979]
[paragraph, [151.0, 1148.0, 523.0, 36.0], shoonya_0s82QPMWRIBQ4D, 5771979]
[paragraph, [151.0, 1184.0, 523.0, 36.0], shoonya_0s82QPMWRIBQ4D, 5771979]
[paragraph, [688.0, 1080.0, 530.0, 36.0], b6t9gSsriq, 5771979]
[paragraph, [688.0, 1116.0, 530.0, 36.0], b6t9gSsriq, 5771979]
[paragraph, [688.0, 1152.0, 530.0, 36.0], b6t9gSsriq, 5771979]
[paragraph, [688.0, 1188.0, 530.0, 36.0], b6t9gSsriq, 5771979]
[paragraph, [688.0, 1224.0, 530.0, 36.0], b6t9gSsriq, 5771979]
[paragraph, [688.0, 1260.0, 530.0, 36.0], b6t9gSsriq, 5771979]
[paragraph, [148.0, 1271.0, 529.0, 36.0], shoonya_3sY5SMA1XYSPRI, 5771979]
[paragraph, [148.0, 1307.0, 529.0, 36.0], shoonya_3sY5SMA1XYSPRI, 5771979]
[paragraph, [148.0, 1343.0, 529.0, 36.0], shoonya_3sY5SMA1XYSPRI, 5771979]
[paragraph, [148.0, 1379.0, 529.0, 36.0], shoonya_3sY5SMA1XYSPRI, 5771979]
[paragraph, [148.0, 1415.0, 529.0, 36.0], shoonya_3sY5SMA1XYSPRI, 5771979]
[paragraph, [148.0, 1451.0, 529.0, 36.0], shoonya_3sY5SMA1XYSPRI, 5771979]
[paragraph, [686.0, 1302.0, 537.0, 36.0], WOktt_Rsld, 5771979]
[paragraph, [686.0, 1338.0, 537.0, 36.0], WOktt_Rsld, 5771979]
[paragraph, [686.0, 1374.0, 537.0, 36.0], WOktt_Rsld, 5771979]
[paragraph, [686.0, 1410.0, 537.0, 36.0], WOktt_Rsld, 5771979]
[paragraph, [686.0, 1446.0, 537.0, 36.0], WOktt_Rsld, 5771979]
[paragraph, [686.0, 1482.0, 537.0, 36.0], WOktt_Rsld, 5771979]
[folio, [629.0, 1595.0, 137.0, 36.0], kcpHkl2twW, 5771979]
