[842, 595]
[website-link, [224.0, 21.0, 147.0, 18.0], y_cg8vUjYF, 5739835]
[paragraph, [117.0, 256.0, 365.0, 18.0], shoonya_0s9BCWVEFQCSAK, 5739835]
[paragraph, [117.0, 274.0, 365.0, 18.0], shoonya_0s9BCWVEFQCSAK, 5739835]
[paragraph, [117.0, 292.0, 365.0, 18.0], shoonya_0s9BCWVEFQCSAK, 5739835]
[paragraph, [117.0, 310.0, 365.0, 18.0], shoonya_0s9BCWVEFQCSAK, 5739835]
[paragraph, [117.0, 328.0, 365.0, 18.0], shoonya_0s9BCWVEFQCSAK, 5739835]
[paragraph, [117.0, 346.0, 365.0, 18.0], shoonya_0s9BCWVEFQCSAK, 5739835]
[paragraph, [117.0, 364.0, 365.0, 18.0], shoonya_0s9BCWVEFQCSAK, 5739835]
[paragraph, [117.0, 382.0, 365.0, 18.0], shoonya_0s9BCWVEFQCSAK, 5739835]
[paragraph, [117.0, 400.0, 365.0, 18.0], shoonya_0s9BCWVEFQCSAK, 5739835]
[paragraph, [117.0, 418.0, 365.0, 18.0], shoonya_0s9BCWVEFQCSAK, 5739835]
[paragraph, [117.0, 436.0, 365.0, 18.0], shoonya_0s9BCWVEFQCSAK, 5739835]
[paragraph, [117.0, 454.0, 365.0, 18.0], shoonya_0s9BCWVEFQCSAK, 5739835]
[paragraph, [117.0, 472.0, 365.0, 18.0], shoonya_0s9BCWVEFQCSAK, 5739835]
[paragraph, [117.0, 490.0, 365.0, 18.0], shoonya_0s9BCWVEFQCSAK, 5739835]
[paragraph, [117.0, 508.0, 365.0, 18.0], shoonya_0s9BCWVEFQCSAK, 5739835]
[paragraph, [117.0, 526.0, 365.0, 18.0], shoonya_0s9BCWVEFQCSAK, 5739835]
[paragraph, [117.0, 544.0, 365.0, 18.0], shoonya_0s9BCWVEFQCSAK, 5739835]
[paragraph, [117.0, 562.0, 365.0, 18.0], shoonya_0s9BCWVEFQCSAK, 5739835]
[paragraph, [117.0, 580.0, 365.0, 18.0], shoonya_0s9BCWVEFQCSAK, 5739835]
[website-link, [229.0, 798.0, 156.0, 18.0], Vq3xVIYiva, 5739835]
