[1839, 1268]
[paragraph, [224.0, 202.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 238.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 274.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 310.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 346.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 382.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 418.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 454.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 490.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 526.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 562.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 598.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 634.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 670.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 706.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 742.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 778.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 814.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 850.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 886.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 922.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 958.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 994.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 1030.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 1066.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 1102.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 1138.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 1174.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 1210.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 1246.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 1282.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 1318.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 1354.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 1390.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 1426.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 1462.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 1498.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 1534.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
[paragraph, [224.0, 1570.0, 936.0, 36.0], shoonya_0sOVSBO64ORWG6, 5744400]
