[595, 454]
[paragraph, [31.0, 18.0, 198.0, 18.0], O_hS7MzqY4, 6459555]
[paragraph, [31.0, 36.0, 198.0, 18.0], O_hS7MzqY4, 6459555]
[paragraph, [31.0, 54.0, 198.0, 18.0], O_hS7MzqY4, 6459555]
[paragraph, [31.0, 72.0, 198.0, 18.0], O_hS7MzqY4, 6459555]
[paragraph, [235.0, 18.0, 193.0, 18.0], HWPCO_ZZWm, 6459555]
[paragraph, [235.0, 36.0, 193.0, 18.0], HWPCO_ZZWm, 6459555]
[paragraph, [229.0, 59.0, 200.0, 18.0], 7tXj41RhI9, 6459555]
[paragraph, [229.0, 77.0, 200.0, 18.0], 7tXj41RhI9, 6459555]
[paragraph, [229.0, 95.0, 200.0, 18.0], 7tXj41RhI9, 6459555]
[paragraph, [229.0, 113.0, 200.0, 18.0], 7tXj41RhI9, 6459555]
[paragraph, [229.0, 131.0, 200.0, 18.0], 7tXj41RhI9, 6459555]
[paragraph, [229.0, 149.0, 200.0, 18.0], 7tXj41RhI9, 6459555]
[paragraph, [229.0, 167.0, 200.0, 18.0], 7tXj41RhI9, 6459555]
[paragraph, [229.0, 185.0, 200.0, 18.0], 7tXj41RhI9, 6459555]
[paragraph, [229.0, 203.0, 200.0, 18.0], 7tXj41RhI9, 6459555]
[paragraph, [29.0, 99.0, 200.0, 18.0], y2eHmAscS1, 6459555]
[paragraph, [29.0, 117.0, 200.0, 18.0], y2eHmAscS1, 6459555]
[paragraph, [29.0, 135.0, 200.0, 18.0], y2eHmAscS1, 6459555]
[paragraph, [29.0, 153.0, 200.0, 18.0], y2eHmAscS1, 6459555]
[paragraph, [29.0, 171.0, 200.0, 18.0], y2eHmAscS1, 6459555]
[paragraph, [29.0, 189.0, 200.0, 18.0], y2eHmAscS1, 6459555]
[paragraph, [29.0, 207.0, 200.0, 18.0], y2eHmAscS1, 6459555]
[paragraph, [29.0, 225.0, 200.0, 18.0], y2eHmAscS1, 6459555]
[paragraph, [29.0, 243.0, 200.0, 18.0], y2eHmAscS1, 6459555]
[paragraph, [29.0, 261.0, 200.0, 18.0], y2eHmAscS1, 6459555]
[paragraph, [29.0, 279.0, 200.0, 18.0], y2eHmAscS1, 6459555]
[paragraph, [230.0, 237.0, 198.0, 18.0], EyIu33apG4, 6459555]
[paragraph, [230.0, 255.0, 198.0, 18.0], EyIu33apG4, 6459555]
[paragraph, [230.0, 273.0, 198.0, 18.0], EyIu33apG4, 6459555]
[paragraph, [230.0, 291.0, 198.0, 18.0], EyIu33apG4, 6459555]
[paragraph, [29.0, 313.0, 198.0, 18.0], kbz__1jtvm, 6459555]
[paragraph, [29.0, 331.0, 198.0, 18.0], kbz__1jtvm, 6459555]
[paragraph, [29.0, 349.0, 198.0, 18.0], kbz__1jtvm, 6459555]
[paragraph, [29.0, 367.0, 198.0, 18.0], kbz__1jtvm, 6459555]
[paragraph, [230.0, 315.0, 199.0, 18.0], AnUwOYVzEH, 6459555]
[paragraph, [230.0, 333.0, 199.0, 18.0], AnUwOYVzEH, 6459555]
[paragraph, [230.0, 351.0, 199.0, 18.0], AnUwOYVzEH, 6459555]
[paragraph, [230.0, 369.0, 199.0, 18.0], AnUwOYVzEH, 6459555]
