[579, 396]
[section-title, [105.0, 22.0, 107.0, 30.0], sAvjRSZjv4, 6495185]
[paragraph, [105.0, 68.0, 136.0, 18.0], j6DBCRZpzF, 6495185]
[paragraph, [105.0, 86.0, 136.0, 18.0], j6DBCRZpzF, 6495185]
[paragraph, [105.0, 104.0, 136.0, 18.0], j6DBCRZpzF, 6495185]
[paragraph, [102.0, 134.0, 181.0, 18.0], uxu9nNzrGz, 6495185]
[paragraph, [102.0, 152.0, 181.0, 18.0], uxu9nNzrGz, 6495185]
[paragraph, [102.0, 170.0, 181.0, 18.0], uxu9nNzrGz, 6495185]
[paragraph, [102.0, 188.0, 181.0, 18.0], uxu9nNzrGz, 6495185]
[paragraph, [102.0, 206.0, 181.0, 18.0], uxu9nNzrGz, 6495185]
[paragraph, [98.0, 236.0, 151.0, 18.0], MB2PzcyxLM, 6495185]
[paragraph, [98.0, 254.0, 151.0, 18.0], MB2PzcyxLM, 6495185]
[paragraph, [96.0, 272.0, 195.0, 18.0], bVRSRVGOeR, 6495185]
[paragraph, [102.0, 317.0, 252.0, 18.0], jwUmswgL3m, 6495185]
[paragraph, [102.0, 335.0, 252.0, 18.0], jwUmswgL3m, 6495185]
[paragraph, [102.0, 353.0, 252.0, 18.0], jwUmswgL3m, 6495185]
[paragraph, [102.0, 371.0, 252.0, 18.0], jwUmswgL3m, 6495185]
[paragraph, [102.0, 389.0, 252.0, 18.0], jwUmswgL3m, 6495185]
[paragraph, [100.0, 421.0, 120.0, 18.0], DHGOUT50tl, 6495185]
[paragraph, [99.0, 457.0, 192.0, 18.0], lXPx0Qhctb, 6495185]
[paragraph, [99.0, 475.0, 192.0, 18.0], lXPx0Qhctb, 6495185]
[folio, [172.0, 512.0, 105.0, 18.0], 3p2JbvJbS_, 6495185]
