[2481, 1654]
[folio, [1188.0, 105.0, 119.0, 36.0], YphCZxRAI4, 5721178]
[paragraph, [167.0, 219.0, 1267.0, 36.0], Qoe5T7mYLF, 5721178]
[paragraph, [167.0, 255.0, 1267.0, 36.0], Qoe5T7mYLF, 5721178]
[paragraph, [167.0, 291.0, 1267.0, 36.0], Qoe5T7mYLF, 5721178]
[paragraph, [167.0, 327.0, 1267.0, 36.0], Qoe5T7mYLF, 5721178]
[paragraph, [169.0, 376.0, 1261.0, 36.0], V1aovvrpWq, 5721178]
[paragraph, [169.0, 412.0, 1261.0, 36.0], V1aovvrpWq, 5721178]
[paragraph, [169.0, 448.0, 1261.0, 36.0], V1aovvrpWq, 5721178]
[paragraph, [169.0, 484.0, 1261.0, 36.0], V1aovvrpWq, 5721178]
[paragraph, [169.0, 520.0, 1261.0, 36.0], V1aovvrpWq, 5721178]
[paragraph, [167.0, 587.0, 1254.0, 36.0], BqEZ5F4p_W, 5721178]
[paragraph, [167.0, 623.0, 1254.0, 36.0], BqEZ5F4p_W, 5721178]
[paragraph, [167.0, 659.0, 1254.0, 36.0], BqEZ5F4p_W, 5721178]
[paragraph, [167.0, 695.0, 1254.0, 36.0], BqEZ5F4p_W, 5721178]
[paragraph, [167.0, 731.0, 1254.0, 36.0], BqEZ5F4p_W, 5721178]
[paragraph, [167.0, 791.0, 1267.0, 36.0], 4_7BUUvNM0, 5721178]
[paragraph, [167.0, 827.0, 1267.0, 36.0], 4_7BUUvNM0, 5721178]
[paragraph, [167.0, 863.0, 1267.0, 36.0], 4_7BUUvNM0, 5721178]
[paragraph, [167.0, 899.0, 1267.0, 36.0], 4_7BUUvNM0, 5721178]
[paragraph, [167.0, 935.0, 1267.0, 36.0], 4_7BUUvNM0, 5721178]
[paragraph, [167.0, 1002.0, 1261.0, 36.0], BShmLG8lNd, 5721178]
[paragraph, [167.0, 1038.0, 1261.0, 36.0], BShmLG8lNd, 5721178]
[paragraph, [167.0, 1074.0, 1261.0, 36.0], BShmLG8lNd, 5721178]
[paragraph, [167.0, 1110.0, 1261.0, 36.0], BShmLG8lNd, 5721178]
[paragraph, [167.0, 1146.0, 1261.0, 36.0], BShmLG8lNd, 5721178]
[paragraph, [167.0, 1182.0, 1261.0, 36.0], BShmLG8lNd, 5721178]
[paragraph, [167.0, 1218.0, 1261.0, 36.0], BShmLG8lNd, 5721178]
[paragraph, [165.0, 1265.0, 1275.0, 36.0], BWagiFT3Tb, 5721178]
[paragraph, [165.0, 1301.0, 1275.0, 36.0], BWagiFT3Tb, 5721178]
[paragraph, [165.0, 1337.0, 1275.0, 36.0], BWagiFT3Tb, 5721178]
[paragraph, [165.0, 1373.0, 1275.0, 36.0], BWagiFT3Tb, 5721178]
[paragraph, [165.0, 1409.0, 1275.0, 36.0], BWagiFT3Tb, 5721178]
[paragraph, [165.0, 1445.0, 1275.0, 36.0], BWagiFT3Tb, 5721178]
[paragraph, [165.0, 1481.0, 1275.0, 36.0], BWagiFT3Tb, 5721178]
[paragraph, [165.0, 1517.0, 1275.0, 36.0], BWagiFT3Tb, 5721178]
[paragraph, [165.0, 1553.0, 1275.0, 36.0], BWagiFT3Tb, 5721178]
[paragraph, [165.0, 1589.0, 1275.0, 36.0], BWagiFT3Tb, 5721178]
[paragraph, [165.0, 1625.0, 1275.0, 36.0], BWagiFT3Tb, 5721178]
[paragraph, [165.0, 1661.0, 1275.0, 36.0], BWagiFT3Tb, 5721178]
[paragraph, [165.0, 1697.0, 1275.0, 36.0], BWagiFT3Tb, 5721178]
[paragraph, [165.0, 1733.0, 1275.0, 36.0], BWagiFT3Tb, 5721178]
[paragraph, [165.0, 1769.0, 1275.0, 36.0], BWagiFT3Tb, 5721178]
[paragraph, [165.0, 1805.0, 1275.0, 36.0], BWagiFT3Tb, 5721178]
[paragraph, [165.0, 1841.0, 1275.0, 36.0], BWagiFT3Tb, 5721178]
[paragraph, [165.0, 1877.0, 1275.0, 36.0], BWagiFT3Tb, 5721178]
[paragraph, [165.0, 1913.0, 1275.0, 36.0], BWagiFT3Tb, 5721178]
[paragraph, [165.0, 1949.0, 1275.0, 36.0], BWagiFT3Tb, 5721178]
[paragraph, [173.0, 1993.0, 1253.0, 36.0], shoonya_1sZTLWFN2E7LBC, 5721178]
[paragraph, [173.0, 2029.0, 1253.0, 36.0], shoonya_1sZTLWFN2E7LBC, 5721178]
[paragraph, [173.0, 2065.0, 1253.0, 36.0], shoonya_1sZTLWFN2E7LBC, 5721178]
[paragraph, [173.0, 2101.0, 1253.0, 36.0], shoonya_1sZTLWFN2E7LBC, 5721178]
[paragraph, [173.0, 2137.0, 1253.0, 36.0], shoonya_1sZTLWFN2E7LBC, 5721178]
