[1388, 886]
[folio, [656.0, 53.0, 190.0, 18.0], xykKJa3bd0, 5742673]
[folio, [656.0, 71.0, 190.0, 18.0], xykKJa3bd0, 5742673]
[folio, [367.0, 57.0, 125.0, 18.0], shoonya_1sCU8HGB8PNKLW, 5742673]
[paragraph, [27.0, 128.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 146.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 164.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 182.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 200.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 218.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 236.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 254.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 272.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 290.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 308.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 326.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 344.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 362.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 380.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 398.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 416.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 434.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 452.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 470.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 488.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 506.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 524.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 542.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 560.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 578.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 596.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 614.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 632.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 650.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 668.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 686.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 704.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 722.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 740.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 758.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
[paragraph, [27.0, 776.0, 412.0, 18.0], bkM0NGpCLM, 5742673]
