[827, 532]
[folio, [220.0, 46.0, 96.0, 18.0], shoonya_0sVETYP56DR573, 5741172]
[paragraph, [47.0, 89.0, 446.0, 18.0], -nwdGBe_-B, 5741172]
[paragraph, [47.0, 107.0, 446.0, 18.0], -nwdGBe_-B, 5741172]
[paragraph, [47.0, 125.0, 446.0, 18.0], -nwdGBe_-B, 5741172]
[paragraph, [47.0, 143.0, 446.0, 18.0], -nwdGBe_-B, 5741172]
[paragraph, [47.0, 161.0, 446.0, 18.0], -nwdGBe_-B, 5741172]
[paragraph, [47.0, 179.0, 446.0, 18.0], -nwdGBe_-B, 5741172]
[paragraph, [44.0, 210.0, 438.0, 18.0], ttEaGAWzSr, 5741172]
[paragraph, [44.0, 228.0, 438.0, 18.0], ttEaGAWzSr, 5741172]
[paragraph, [44.0, 246.0, 438.0, 18.0], ttEaGAWzSr, 5741172]
[paragraph, [44.0, 264.0, 438.0, 18.0], ttEaGAWzSr, 5741172]
[paragraph, [44.0, 282.0, 438.0, 18.0], ttEaGAWzSr, 5741172]
[paragraph, [44.0, 300.0, 438.0, 18.0], ttEaGAWzSr, 5741172]
[paragraph, [44.0, 318.0, 438.0, 18.0], ttEaGAWzSr, 5741172]
[paragraph, [44.0, 336.0, 438.0, 18.0], ttEaGAWzSr, 5741172]
[paragraph, [44.0, 354.0, 438.0, 18.0], ttEaGAWzSr, 5741172]
[paragraph, [44.0, 372.0, 438.0, 18.0], ttEaGAWzSr, 5741172]
[paragraph, [44.0, 390.0, 438.0, 18.0], ttEaGAWzSr, 5741172]
[paragraph, [44.0, 408.0, 438.0, 18.0], ttEaGAWzSr, 5741172]
[paragraph, [44.0, 426.0, 438.0, 18.0], ttEaGAWzSr, 5741172]
[paragraph, [44.0, 444.0, 438.0, 18.0], ttEaGAWzSr, 5741172]
[paragraph, [44.0, 462.0, 438.0, 18.0], ttEaGAWzSr, 5741172]
[paragraph, [44.0, 480.0, 438.0, 18.0], ttEaGAWzSr, 5741172]
[paragraph, [44.0, 498.0, 438.0, 18.0], ttEaGAWzSr, 5741172]
[paragraph, [44.0, 516.0, 438.0, 18.0], ttEaGAWzSr, 5741172]
[paragraph, [45.0, 553.0, 448.0, 18.0], UKnoSW2tlg, 5741172]
[paragraph, [45.0, 571.0, 448.0, 18.0], UKnoSW2tlg, 5741172]
[paragraph, [45.0, 589.0, 448.0, 18.0], UKnoSW2tlg, 5741172]
[paragraph, [45.0, 607.0, 448.0, 18.0], UKnoSW2tlg, 5741172]
[paragraph, [45.0, 625.0, 448.0, 18.0], UKnoSW2tlg, 5741172]
[paragraph, [45.0, 643.0, 448.0, 18.0], UKnoSW2tlg, 5741172]
[paragraph, [45.0, 661.0, 448.0, 18.0], UKnoSW2tlg, 5741172]
[paragraph, [45.0, 679.0, 448.0, 18.0], UKnoSW2tlg, 5741172]
[paragraph, [45.0, 697.0, 448.0, 18.0], UKnoSW2tlg, 5741172]
[paragraph, [45.0, 715.0, 448.0, 18.0], UKnoSW2tlg, 5741172]
[paragraph, [45.0, 733.0, 448.0, 18.0], UKnoSW2tlg, 5741172]
[paragraph, [45.0, 751.0, 448.0, 18.0], UKnoSW2tlg, 5741172]
[footnote, [217.0, 787.0, 260.0, 18.0], oK1monOcZB, 5741172]
