[1275, 750]
[folio, [226.0, 80.0, 300.0, 18.0], HnSFxiSHfO, 5767159]
[folio, [226.0, 98.0, 300.0, 18.0], HnSFxiSHfO, 5767159]
[folio, [226.0, 116.0, 300.0, 18.0], HnSFxiSHfO, 5767159]
[paragraph, [74.0, 155.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 173.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 191.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 209.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 227.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 245.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 263.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 281.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 299.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 317.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 335.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 353.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 371.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 389.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 407.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 425.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 443.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 461.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 479.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 497.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 515.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 533.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 551.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 569.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 587.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 605.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 623.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 641.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 659.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 677.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
[paragraph, [74.0, 695.0, 606.0, 18.0], shoonya_0sKGLYC2LLEA4F, 5767159]
