[1650, 934]
[folio, [362.0, 109.0, 252.0, 36.0], shoonya_2s6VIRLZWJAV3S, 5766858]
[paragraph, [95.0, 168.0, 797.0, 36.0], shoonya_0sPSQ618DB778W, 5766858]
[paragraph, [95.0, 204.0, 797.0, 36.0], shoonya_0sPSQ618DB778W, 5766858]
[paragraph, [95.0, 240.0, 797.0, 36.0], shoonya_0sPSQ618DB778W, 5766858]
[paragraph, [95.0, 276.0, 797.0, 36.0], shoonya_0sPSQ618DB778W, 5766858]
[paragraph, [95.0, 312.0, 797.0, 36.0], shoonya_0sPSQ618DB778W, 5766858]
[paragraph, [95.0, 348.0, 797.0, 36.0], shoonya_0sPSQ618DB778W, 5766858]
[paragraph, [95.0, 384.0, 797.0, 36.0], shoonya_0sPSQ618DB778W, 5766858]
[paragraph, [95.0, 420.0, 797.0, 36.0], shoonya_0sPSQ618DB778W, 5766858]
[paragraph, [95.0, 456.0, 797.0, 36.0], shoonya_0sPSQ618DB778W, 5766858]
[paragraph, [95.0, 492.0, 797.0, 36.0], shoonya_0sPSQ618DB778W, 5766858]
[paragraph, [95.0, 528.0, 797.0, 36.0], shoonya_0sPSQ618DB778W, 5766858]
[paragraph, [95.0, 564.0, 797.0, 36.0], shoonya_0sPSQ618DB778W, 5766858]
[paragraph, [95.0, 600.0, 797.0, 36.0], shoonya_0sPSQ618DB778W, 5766858]
[paragraph, [95.0, 636.0, 797.0, 36.0], shoonya_0sPSQ618DB778W, 5766858]
[paragraph, [95.0, 672.0, 797.0, 36.0], shoonya_0sPSQ618DB778W, 5766858]
[paragraph, [95.0, 708.0, 797.0, 36.0], shoonya_0sPSQ618DB778W, 5766858]
[paragraph, [95.0, 744.0, 797.0, 36.0], shoonya_0sPSQ618DB778W, 5766858]
[paragraph, [95.0, 780.0, 797.0, 36.0], shoonya_0sPSQ618DB778W, 5766858]
[paragraph, [95.0, 816.0, 797.0, 36.0], shoonya_0sPSQ618DB778W, 5766858]
[paragraph, [88.0, 857.0, 803.0, 36.0], yFRHmyG5Bw, 5766858]
[paragraph, [88.0, 893.0, 803.0, 36.0], yFRHmyG5Bw, 5766858]
[paragraph, [88.0, 929.0, 803.0, 36.0], yFRHmyG5Bw, 5766858]
[paragraph, [88.0, 965.0, 803.0, 36.0], yFRHmyG5Bw, 5766858]
[paragraph, [88.0, 1001.0, 803.0, 36.0], yFRHmyG5Bw, 5766858]
[paragraph, [88.0, 1037.0, 803.0, 36.0], yFRHmyG5Bw, 5766858]
[paragraph, [88.0, 1073.0, 803.0, 36.0], yFRHmyG5Bw, 5766858]
[paragraph, [88.0, 1109.0, 803.0, 36.0], yFRHmyG5Bw, 5766858]
[paragraph, [88.0, 1145.0, 803.0, 36.0], yFRHmyG5Bw, 5766858]
[paragraph, [88.0, 1181.0, 803.0, 36.0], yFRHmyG5Bw, 5766858]
[paragraph, [88.0, 1217.0, 803.0, 36.0], yFRHmyG5Bw, 5766858]
[paragraph, [88.0, 1253.0, 803.0, 36.0], yFRHmyG5Bw, 5766858]
[paragraph, [88.0, 1289.0, 803.0, 36.0], yFRHmyG5Bw, 5766858]
[paragraph, [88.0, 1325.0, 803.0, 36.0], yFRHmyG5Bw, 5766858]
[paragraph, [88.0, 1361.0, 803.0, 36.0], yFRHmyG5Bw, 5766858]
[paragraph, [88.0, 1397.0, 803.0, 36.0], yFRHmyG5Bw, 5766858]
[paragraph, [88.0, 1433.0, 803.0, 36.0], yFRHmyG5Bw, 5766858]
