[1650, 1275]
[author, [749.0, 63.0, 405.0, 36.0], tjB12uRMFb, 5722744]
[paragraph, [165.0, 123.0, 408.0, 36.0], shoonya_6s5O67XPZDH9K4, 5722744]
[paragraph, [165.0, 159.0, 408.0, 36.0], shoonya_6s5O67XPZDH9K4, 5722744]
[paragraph, [155.0, 231.0, 428.0, 36.0], shoonya_3sOK8GFB346Y2Y, 5722744]
[paragraph, [155.0, 267.0, 428.0, 36.0], shoonya_3sOK8GFB346Y2Y, 5722744]
[paragraph, [155.0, 303.0, 428.0, 36.0], shoonya_3sOK8GFB346Y2Y, 5722744]
[paragraph, [155.0, 339.0, 428.0, 36.0], shoonya_3sOK8GFB346Y2Y, 5722744]
[paragraph, [155.0, 375.0, 428.0, 36.0], shoonya_3sOK8GFB346Y2Y, 5722744]
[paragraph, [155.0, 411.0, 428.0, 36.0], shoonya_3sOK8GFB346Y2Y, 5722744]
[paragraph, [155.0, 447.0, 428.0, 36.0], shoonya_3sOK8GFB346Y2Y, 5722744]
[paragraph, [155.0, 483.0, 428.0, 36.0], shoonya_3sOK8GFB346Y2Y, 5722744]
[paragraph, [155.0, 519.0, 428.0, 36.0], shoonya_3sOK8GFB346Y2Y, 5722744]
[paragraph, [155.0, 555.0, 428.0, 36.0], shoonya_3sOK8GFB346Y2Y, 5722744]
[paragraph, [155.0, 591.0, 428.0, 36.0], shoonya_3sOK8GFB346Y2Y, 5722744]
[paragraph, [155.0, 627.0, 428.0, 36.0], shoonya_3sOK8GFB346Y2Y, 5722744]
[paragraph, [155.0, 663.0, 428.0, 36.0], shoonya_3sOK8GFB346Y2Y, 5722744]
[paragraph, [155.0, 699.0, 428.0, 36.0], shoonya_3sOK8GFB346Y2Y, 5722744]
[paragraph, [155.0, 735.0, 428.0, 36.0], shoonya_3sOK8GFB346Y2Y, 5722744]
[paragraph, [155.0, 771.0, 428.0, 36.0], shoonya_3sOK8GFB346Y2Y, 5722744]
[paragraph, [155.0, 807.0, 428.0, 36.0], shoonya_3sOK8GFB346Y2Y, 5722744]
[paragraph, [154.0, 865.0, 431.0, 36.0], shoonya_1sECUQ9P0FBBI1, 5722744]
[paragraph, [154.0, 901.0, 431.0, 36.0], shoonya_1sECUQ9P0FBBI1, 5722744]
[paragraph, [154.0, 937.0, 431.0, 36.0], shoonya_1sECUQ9P0FBBI1, 5722744]
[paragraph, [154.0, 973.0, 431.0, 36.0], shoonya_1sECUQ9P0FBBI1, 5722744]
[paragraph, [154.0, 1009.0, 431.0, 36.0], shoonya_1sECUQ9P0FBBI1, 5722744]
[paragraph, [154.0, 1045.0, 431.0, 36.0], shoonya_1sECUQ9P0FBBI1, 5722744]
[paragraph, [154.0, 1081.0, 431.0, 36.0], shoonya_1sECUQ9P0FBBI1, 5722744]
[paragraph, [154.0, 1117.0, 431.0, 36.0], shoonya_1sECUQ9P0FBBI1, 5722744]
[paragraph, [154.0, 1153.0, 431.0, 36.0], shoonya_1sECUQ9P0FBBI1, 5722744]
[paragraph, [154.0, 1189.0, 431.0, 36.0], shoonya_1sECUQ9P0FBBI1, 5722744]
[paragraph, [154.0, 1225.0, 431.0, 36.0], shoonya_1sECUQ9P0FBBI1, 5722744]
[paragraph, [154.0, 1261.0, 431.0, 36.0], shoonya_1sECUQ9P0FBBI1, 5722744]
[paragraph, [154.0, 1297.0, 431.0, 36.0], shoonya_1sECUQ9P0FBBI1, 5722744]
[paragraph, [154.0, 1333.0, 431.0, 36.0], shoonya_1sECUQ9P0FBBI1, 5722744]
[paragraph, [154.0, 1369.0, 431.0, 36.0], shoonya_1sECUQ9P0FBBI1, 5722744]
[paragraph, [154.0, 1405.0, 431.0, 36.0], shoonya_1sECUQ9P0FBBI1, 5722744]
[paragraph, [154.0, 1441.0, 431.0, 36.0], shoonya_1sECUQ9P0FBBI1, 5722744]
[paragraph, [154.0, 1477.0, 431.0, 36.0], shoonya_1sECUQ9P0FBBI1, 5722744]
[headline, [619.0, 996.0, 615.0, 37.5], shoonya_2sC8EFCUPKY6TS, 5722744]
[headline, [619.0, 1033.5, 615.0, 37.5], shoonya_2sC8EFCUPKY6TS, 5722744]
[headline, [619.0, 1071.0, 615.0, 37.5], shoonya_2sC8EFCUPKY6TS, 5722744]
[headline, [619.0, 1108.5, 615.0, 37.5], shoonya_2sC8EFCUPKY6TS, 5722744]
[headline, [619.0, 1146.0, 615.0, 37.5], shoonya_2sC8EFCUPKY6TS, 5722744]
[headline, [619.0, 1183.5, 615.0, 37.5], shoonya_2sC8EFCUPKY6TS, 5722744]
[paragraph, [625.0, 1250.0, 536.0, 36.0], shoonya_0sWKI0KNPOQ84P, 5722744]
[paragraph, [625.0, 1286.0, 536.0, 36.0], shoonya_0sWKI0KNPOQ84P, 5722744]
[paragraph, [625.0, 1322.0, 536.0, 36.0], shoonya_0sWKI0KNPOQ84P, 5722744]
[paragraph, [625.0, 1358.0, 536.0, 36.0], shoonya_0sWKI0KNPOQ84P, 5722744]
[paragraph, [625.0, 1394.0, 536.0, 36.0], shoonya_0sWKI0KNPOQ84P, 5722744]
[paragraph, [625.0, 1430.0, 536.0, 36.0], shoonya_0sWKI0KNPOQ84P, 5722744]
[paragraph, [625.0, 1466.0, 536.0, 36.0], shoonya_0sWKI0KNPOQ84P, 5722744]
[paragraph, [625.0, 1502.0, 536.0, 36.0], shoonya_0sWKI0KNPOQ84P, 5722744]
