[1362, 832]
[folio, [97.0, 50.0, 125.0, 18.0], VjBzoyJ6eV, 5782428]
[folio, [97.0, 68.0, 125.0, 18.0], VjBzoyJ6eV, 5782428]
[folio, [97.0, 86.0, 125.0, 18.0], VjBzoyJ6eV, 5782428]
[ordered-list, [98.0, 153.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 171.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 189.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 207.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 225.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 243.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 261.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 279.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 297.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 315.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 333.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 351.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 369.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 387.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 405.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 423.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 441.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 459.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 477.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 495.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 513.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 531.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 549.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 567.0, 649.0, 18.0], zgAiQoLd9X, 5782428]
[ordered-list, [98.0, 588.0, 651.0, 18.0], H3LccOzr86, 5782428]
[ordered-list, [98.0, 606.0, 651.0, 18.0], H3LccOzr86, 5782428]
[ordered-list, [98.0, 624.0, 651.0, 18.0], H3LccOzr86, 5782428]
[ordered-list, [98.0, 642.0, 651.0, 18.0], H3LccOzr86, 5782428]
[ordered-list, [98.0, 660.0, 651.0, 18.0], H3LccOzr86, 5782428]
[ordered-list, [98.0, 678.0, 651.0, 18.0], H3LccOzr86, 5782428]
[ordered-list, [98.0, 696.0, 651.0, 18.0], H3LccOzr86, 5782428]
[ordered-list, [98.0, 714.0, 651.0, 18.0], H3LccOzr86, 5782428]
[ordered-list, [98.0, 732.0, 651.0, 18.0], H3LccOzr86, 5782428]
[ordered-list, [98.0, 750.0, 651.0, 18.0], H3LccOzr86, 5782428]
[ordered-list, [98.0, 768.0, 651.0, 18.0], H3LccOzr86, 5782428]
[ordered-list, [98.0, 786.0, 651.0, 18.0], H3LccOzr86, 5782428]
[ordered-list, [98.0, 804.0, 651.0, 18.0], H3LccOzr86, 5782428]
