[1754, 1241]
[paragraph, [207.0, 144.0, 889.0, 36.0], shoonya_0sXCFZDHNWI6EZ, 6470548]
[paragraph, [207.0, 180.0, 889.0, 36.0], shoonya_0sXCFZDHNWI6EZ, 6470548]
[paragraph, [207.0, 216.0, 889.0, 36.0], shoonya_0sXCFZDHNWI6EZ, 6470548]
[section-title, [209.0, 295.0, 897.0, 49.5], dv7wJp5ee6, 6470548]
[section-title, [209.0, 344.5, 897.0, 49.5], dv7wJp5ee6, 6470548]
[paragraph, [213.0, 432.0, 889.0, 36.0], o_pmTSxubw, 6470548]
[paragraph, [213.0, 468.0, 889.0, 36.0], o_pmTSxubw, 6470548]
[paragraph, [213.0, 504.0, 889.0, 36.0], o_pmTSxubw, 6470548]
[paragraph, [213.0, 540.0, 889.0, 36.0], o_pmTSxubw, 6470548]
[paragraph, [213.0, 576.0, 889.0, 36.0], o_pmTSxubw, 6470548]
[paragraph, [213.0, 612.0, 889.0, 36.0], o_pmTSxubw, 6470548]
[paragraph, [213.0, 648.0, 889.0, 36.0], o_pmTSxubw, 6470548]
[paragraph, [213.0, 684.0, 889.0, 36.0], o_pmTSxubw, 6470548]
[paragraph, [213.0, 720.0, 889.0, 36.0], o_pmTSxubw, 6470548]
[paragraph, [213.0, 756.0, 889.0, 36.0], o_pmTSxubw, 6470548]
[paragraph, [213.0, 792.0, 889.0, 36.0], o_pmTSxubw, 6470548]
[paragraph, [213.0, 828.0, 889.0, 36.0], o_pmTSxubw, 6470548]
[paragraph, [213.0, 864.0, 889.0, 36.0], o_pmTSxubw, 6470548]
[paragraph, [213.0, 900.0, 889.0, 36.0], o_pmTSxubw, 6470548]
[paragraph, [213.0, 936.0, 889.0, 36.0], o_pmTSxubw, 6470548]
[paragraph, [213.0, 972.0, 889.0, 36.0], o_pmTSxubw, 6470548]
[paragraph, [213.0, 1008.0, 889.0, 36.0], o_pmTSxubw, 6470548]
[section-title, [207.0, 1090.0, 639.0, 49.5], uf0_0wDe01, 6470548]
[sub-section-title, [212.0, 1176.0, 347.0, 36.0], yO1utDnnYI, 6470548]
[paragraph, [207.0, 1255.0, 892.0, 36.0], jec2R3dgOO, 6470548]
[paragraph, [207.0, 1291.0, 892.0, 36.0], jec2R3dgOO, 6470548]
[paragraph, [207.0, 1327.0, 892.0, 36.0], jec2R3dgOO, 6470548]
[paragraph, [207.0, 1363.0, 892.0, 36.0], jec2R3dgOO, 6470548]
[paragraph, [207.0, 1399.0, 892.0, 36.0], jec2R3dgOO, 6470548]
[paragraph, [207.0, 1435.0, 892.0, 36.0], jec2R3dgOO, 6470548]
[paragraph, [207.0, 1471.0, 892.0, 36.0], jec2R3dgOO, 6470548]
[paragraph, [207.0, 1507.0, 892.0, 36.0], jec2R3dgOO, 6470548]
