[1818, 1374]
[folio, [460.0, 185.0, 429.0, 36.0], shoonya_0sLQX7SCSC1TAI, 5683158]
[paragraph, [695.0, 250.0, 568.0, 36.0], 6vTV6fC3nE, 5683158]
[paragraph, [695.0, 286.0, 568.0, 36.0], 6vTV6fC3nE, 5683158]
[paragraph, [695.0, 322.0, 568.0, 36.0], 6vTV6fC3nE, 5683158]
[paragraph, [695.0, 358.0, 568.0, 36.0], 6vTV6fC3nE, 5683158]
[paragraph, [695.0, 394.0, 568.0, 36.0], 6vTV6fC3nE, 5683158]
[paragraph, [695.0, 430.0, 568.0, 36.0], 6vTV6fC3nE, 5683158]
[paragraph, [695.0, 466.0, 568.0, 36.0], 6vTV6fC3nE, 5683158]
[paragraph, [695.0, 502.0, 568.0, 36.0], 6vTV6fC3nE, 5683158]
[paragraph, [695.0, 538.0, 568.0, 36.0], 6vTV6fC3nE, 5683158]
[paragraph, [695.0, 574.0, 568.0, 36.0], 6vTV6fC3nE, 5683158]
[paragraph, [695.0, 610.0, 568.0, 36.0], 6vTV6fC3nE, 5683158]
[paragraph, [695.0, 646.0, 568.0, 36.0], 6vTV6fC3nE, 5683158]
[paragraph, [695.0, 682.0, 568.0, 36.0], 6vTV6fC3nE, 5683158]
[paragraph, [695.0, 718.0, 568.0, 36.0], 6vTV6fC3nE, 5683158]
[paragraph, [695.0, 754.0, 568.0, 36.0], 6vTV6fC3nE, 5683158]
[paragraph, [695.0, 790.0, 568.0, 36.0], 6vTV6fC3nE, 5683158]
[paragraph, [105.0, 253.0, 570.0, 36.0], shoonya_3s33TKK3TPXLBE, 5683158]
[paragraph, [105.0, 289.0, 570.0, 36.0], shoonya_3s33TKK3TPXLBE, 5683158]
[paragraph, [105.0, 325.0, 570.0, 36.0], shoonya_3s33TKK3TPXLBE, 5683158]
[paragraph, [105.0, 361.0, 570.0, 36.0], shoonya_3s33TKK3TPXLBE, 5683158]
[paragraph, [105.0, 397.0, 570.0, 36.0], shoonya_3s33TKK3TPXLBE, 5683158]
[paragraph, [105.0, 433.0, 570.0, 36.0], shoonya_3s33TKK3TPXLBE, 5683158]
[paragraph, [105.0, 469.0, 570.0, 36.0], shoonya_3s33TKK3TPXLBE, 5683158]
[paragraph, [105.0, 505.0, 570.0, 36.0], shoonya_3s33TKK3TPXLBE, 5683158]
[paragraph, [105.0, 541.0, 570.0, 36.0], shoonya_3s33TKK3TPXLBE, 5683158]
[paragraph, [105.0, 577.0, 570.0, 36.0], shoonya_3s33TKK3TPXLBE, 5683158]
[paragraph, [105.0, 613.0, 570.0, 36.0], shoonya_3s33TKK3TPXLBE, 5683158]
[paragraph, [105.0, 649.0, 570.0, 36.0], shoonya_3s33TKK3TPXLBE, 5683158]
[paragraph, [105.0, 685.0, 570.0, 36.0], shoonya_3s33TKK3TPXLBE, 5683158]
[paragraph, [105.0, 721.0, 570.0, 36.0], shoonya_3s33TKK3TPXLBE, 5683158]
[paragraph, [105.0, 757.0, 570.0, 36.0], shoonya_3s33TKK3TPXLBE, 5683158]
[paragraph, [105.0, 793.0, 570.0, 36.0], shoonya_3s33TKK3TPXLBE, 5683158]
[paragraph, [105.0, 829.0, 570.0, 36.0], shoonya_3s33TKK3TPXLBE, 5683158]
[paragraph, [105.0, 865.0, 570.0, 36.0], shoonya_3s33TKK3TPXLBE, 5683158]
[paragraph, [105.0, 901.0, 570.0, 36.0], shoonya_3s33TKK3TPXLBE, 5683158]
[paragraph, [105.0, 937.0, 570.0, 36.0], shoonya_3s33TKK3TPXLBE, 5683158]
[paragraph, [105.0, 973.0, 570.0, 36.0], shoonya_3s33TKK3TPXLBE, 5683158]
[paragraph, [699.0, 867.0, 566.0, 36.0], Q084uMFTev, 5683158]
[paragraph, [699.0, 903.0, 566.0, 36.0], Q084uMFTev, 5683158]
[paragraph, [699.0, 939.0, 566.0, 36.0], Q084uMFTev, 5683158]
[paragraph, [699.0, 975.0, 566.0, 36.0], Q084uMFTev, 5683158]
[paragraph, [105.0, 1028.0, 570.0, 36.0], 1afxU9Sgc7, 5683158]
[paragraph, [105.0, 1064.0, 570.0, 36.0], 1afxU9Sgc7, 5683158]
[paragraph, [105.0, 1100.0, 570.0, 36.0], 1afxU9Sgc7, 5683158]
[paragraph, [105.0, 1136.0, 570.0, 36.0], 1afxU9Sgc7, 5683158]
[paragraph, [105.0, 1172.0, 570.0, 36.0], 1afxU9Sgc7, 5683158]
[paragraph, [105.0, 1208.0, 570.0, 36.0], 1afxU9Sgc7, 5683158]
[paragraph, [105.0, 1244.0, 570.0, 36.0], 1afxU9Sgc7, 5683158]
[paragraph, [105.0, 1280.0, 570.0, 36.0], 1afxU9Sgc7, 5683158]
[paragraph, [105.0, 1316.0, 570.0, 36.0], 1afxU9Sgc7, 5683158]
[paragraph, [105.0, 1352.0, 570.0, 36.0], 1afxU9Sgc7, 5683158]
[paragraph, [105.0, 1388.0, 570.0, 36.0], 1afxU9Sgc7, 5683158]
[paragraph, [105.0, 1424.0, 570.0, 36.0], 1afxU9Sgc7, 5683158]
[paragraph, [105.0, 1460.0, 570.0, 36.0], 1afxU9Sgc7, 5683158]
[paragraph, [105.0, 1496.0, 570.0, 36.0], 1afxU9Sgc7, 5683158]
[paragraph, [105.0, 1532.0, 570.0, 36.0], 1afxU9Sgc7, 5683158]
[paragraph, [105.0, 1568.0, 570.0, 36.0], 1afxU9Sgc7, 5683158]
[paragraph, [105.0, 1604.0, 570.0, 36.0], 1afxU9Sgc7, 5683158]
[paragraph, [105.0, 1640.0, 570.0, 36.0], 1afxU9Sgc7, 5683158]
[paragraph, [105.0, 1676.0, 570.0, 36.0], 1afxU9Sgc7, 5683158]
[paragraph, [700.0, 1143.0, 562.0, 36.0], shoonya_1sZDYX7ZPAVC76, 5683158]
[paragraph, [700.0, 1179.0, 562.0, 36.0], shoonya_1sZDYX7ZPAVC76, 5683158]
[paragraph, [700.0, 1215.0, 562.0, 36.0], shoonya_1sZDYX7ZPAVC76, 5683158]
[paragraph, [700.0, 1251.0, 562.0, 36.0], shoonya_1sZDYX7ZPAVC76, 5683158]
[paragraph, [700.0, 1287.0, 562.0, 36.0], shoonya_1sZDYX7ZPAVC76, 5683158]
[paragraph, [700.0, 1323.0, 562.0, 36.0], shoonya_1sZDYX7ZPAVC76, 5683158]
[paragraph, [700.0, 1359.0, 562.0, 36.0], shoonya_1sZDYX7ZPAVC76, 5683158]
[paragraph, [700.0, 1395.0, 562.0, 36.0], shoonya_1sZDYX7ZPAVC76, 5683158]
[paragraph, [700.0, 1431.0, 562.0, 36.0], shoonya_1sZDYX7ZPAVC76, 5683158]
[paragraph, [700.0, 1467.0, 562.0, 36.0], shoonya_1sZDYX7ZPAVC76, 5683158]
[paragraph, [700.0, 1503.0, 562.0, 36.0], shoonya_1sZDYX7ZPAVC76, 5683158]
[paragraph, [700.0, 1539.0, 562.0, 36.0], shoonya_1sZDYX7ZPAVC76, 5683158]
[paragraph, [700.0, 1575.0, 562.0, 36.0], shoonya_1sZDYX7ZPAVC76, 5683158]
[paragraph, [700.0, 1611.0, 562.0, 36.0], shoonya_1sZDYX7ZPAVC76, 5683158]
[paragraph, [700.0, 1647.0, 562.0, 36.0], shoonya_1sZDYX7ZPAVC76, 5683158]
