[1667, 1042]
[folio, [121.0, 90.0, 222.0, 36.0], JMahh42yez, 5752250]
[paragraph, [108.0, 129.0, 877.0, 36.0], irrYCQdqq8, 5752250]
[paragraph, [108.0, 165.0, 877.0, 36.0], irrYCQdqq8, 5752250]
[paragraph, [108.0, 201.0, 877.0, 36.0], irrYCQdqq8, 5752250]
[paragraph, [108.0, 237.0, 877.0, 36.0], irrYCQdqq8, 5752250]
[paragraph, [108.0, 273.0, 877.0, 36.0], irrYCQdqq8, 5752250]
[paragraph, [108.0, 309.0, 877.0, 36.0], irrYCQdqq8, 5752250]
[paragraph, [95.0, 377.0, 884.0, 36.0], ZzNaleJROd, 5752250]
[paragraph, [95.0, 413.0, 884.0, 36.0], ZzNaleJROd, 5752250]
[paragraph, [95.0, 449.0, 884.0, 36.0], ZzNaleJROd, 5752250]
[paragraph, [95.0, 485.0, 884.0, 36.0], ZzNaleJROd, 5752250]
[paragraph, [95.0, 521.0, 884.0, 36.0], ZzNaleJROd, 5752250]
[paragraph, [101.0, 581.0, 879.0, 36.0], shoonya_7sM7RI9ROVTPDW, 5752250]
[paragraph, [101.0, 617.0, 879.0, 36.0], shoonya_7sM7RI9ROVTPDW, 5752250]
[paragraph, [101.0, 653.0, 879.0, 36.0], shoonya_7sM7RI9ROVTPDW, 5752250]
[paragraph, [101.0, 689.0, 879.0, 36.0], shoonya_7sM7RI9ROVTPDW, 5752250]
[paragraph, [101.0, 725.0, 879.0, 36.0], shoonya_7sM7RI9ROVTPDW, 5752250]
[paragraph, [101.0, 761.0, 879.0, 36.0], shoonya_7sM7RI9ROVTPDW, 5752250]
[paragraph, [101.0, 797.0, 879.0, 36.0], shoonya_7sM7RI9ROVTPDW, 5752250]
[paragraph, [101.0, 833.0, 879.0, 36.0], shoonya_7sM7RI9ROVTPDW, 5752250]
[paragraph, [101.0, 869.0, 879.0, 36.0], shoonya_7sM7RI9ROVTPDW, 5752250]
[paragraph, [99.0, 933.0, 882.0, 36.0], 9H31mnqHVP, 5752250]
[paragraph, [99.0, 969.0, 882.0, 36.0], 9H31mnqHVP, 5752250]
[paragraph, [99.0, 1005.0, 882.0, 36.0], 9H31mnqHVP, 5752250]
[paragraph, [99.0, 1041.0, 882.0, 36.0], 9H31mnqHVP, 5752250]
[paragraph, [99.0, 1077.0, 882.0, 36.0], 9H31mnqHVP, 5752250]
[paragraph, [93.0, 1133.0, 886.0, 36.0], VGVpWe6Shg, 5752250]
[paragraph, [93.0, 1169.0, 886.0, 36.0], VGVpWe6Shg, 5752250]
[paragraph, [93.0, 1205.0, 886.0, 36.0], VGVpWe6Shg, 5752250]
[paragraph, [111.0, 1231.0, 885.0, 36.0], shoonya_6sQPCU25LARWS7, 5752250]
[paragraph, [111.0, 1267.0, 885.0, 36.0], shoonya_6sQPCU25LARWS7, 5752250]
[paragraph, [111.0, 1303.0, 885.0, 36.0], shoonya_6sQPCU25LARWS7, 5752250]
[paragraph, [111.0, 1339.0, 885.0, 36.0], shoonya_6sQPCU25LARWS7, 5752250]
[paragraph, [111.0, 1375.0, 885.0, 36.0], shoonya_6sQPCU25LARWS7, 5752250]
[paragraph, [111.0, 1411.0, 885.0, 36.0], shoonya_6sQPCU25LARWS7, 5752250]
[paragraph, [217.0, 1477.0, 630.0, 36.0], shoonya_1sN4CV6N18YUXK, 5752250]
