[2339, 1653]
[section-title, [24.0, 51.0, 94.0, 52.5], 7QutfZ80Qm, 5689909]
[paragraph, [131.0, 63.0, 95.0, 36.0], t4BKRFCIVN, 5689909]
[paragraph, [130.0, 146.0, 95.0, 36.0], gMefZkeQY6, 5689909]
[paragraph, [139.0, 288.0, 1491.0, 36.0], shoonya_10sED7LSXF3TF2, 5689909]
[paragraph, [139.0, 324.0, 1491.0, 36.0], shoonya_10sED7LSXF3TF2, 5689909]
[paragraph, [139.0, 360.0, 1491.0, 36.0], shoonya_10sED7LSXF3TF2, 5689909]
[paragraph, [139.0, 396.0, 1491.0, 36.0], shoonya_10sED7LSXF3TF2, 5689909]
[paragraph, [139.0, 432.0, 1491.0, 36.0], shoonya_10sED7LSXF3TF2, 5689909]
[paragraph, [139.0, 468.0, 1491.0, 36.0], shoonya_10sED7LSXF3TF2, 5689909]
[paragraph, [139.0, 504.0, 1491.0, 36.0], shoonya_10sED7LSXF3TF2, 5689909]
[paragraph, [139.0, 540.0, 1491.0, 36.0], shoonya_10sED7LSXF3TF2, 5689909]
[paragraph, [138.0, 616.0, 1489.0, 36.0], shoonya_1s7S48ROM71HXO, 5689909]
[paragraph, [138.0, 652.0, 1489.0, 36.0], shoonya_1s7S48ROM71HXO, 5689909]
[paragraph, [138.0, 688.0, 1489.0, 36.0], shoonya_1s7S48ROM71HXO, 5689909]
[paragraph, [138.0, 724.0, 1489.0, 36.0], shoonya_1s7S48ROM71HXO, 5689909]
[paragraph, [138.0, 760.0, 1489.0, 36.0], shoonya_1s7S48ROM71HXO, 5689909]
[paragraph, [138.0, 796.0, 1489.0, 36.0], shoonya_1s7S48ROM71HXO, 5689909]
[paragraph, [138.0, 832.0, 1489.0, 36.0], shoonya_1s7S48ROM71HXO, 5689909]
[paragraph, [138.0, 868.0, 1489.0, 36.0], shoonya_1s7S48ROM71HXO, 5689909]
[paragraph, [134.0, 945.0, 1497.0, 36.0], shoonya_0s16JJKIXCC43N, 5689909]
[paragraph, [134.0, 981.0, 1497.0, 36.0], shoonya_0s16JJKIXCC43N, 5689909]
[paragraph, [134.0, 1017.0, 1497.0, 36.0], shoonya_0s16JJKIXCC43N, 5689909]
[paragraph, [134.0, 1053.0, 1497.0, 36.0], shoonya_0s16JJKIXCC43N, 5689909]
[paragraph, [134.0, 1089.0, 1497.0, 36.0], shoonya_0s16JJKIXCC43N, 5689909]
[paragraph, [134.0, 1125.0, 1497.0, 36.0], shoonya_0s16JJKIXCC43N, 5689909]
[paragraph, [134.0, 1161.0, 1497.0, 36.0], shoonya_0s16JJKIXCC43N, 5689909]
[paragraph, [134.0, 1197.0, 1497.0, 36.0], shoonya_0s16JJKIXCC43N, 5689909]
[second-level-question, [141.0, 1289.0, 789.0, 36.0], 7kxSPafLD8, 5689909]
[second-level-question, [141.0, 1325.0, 789.0, 36.0], 7kxSPafLD8, 5689909]
[second-level-question, [141.0, 1361.0, 789.0, 36.0], 7kxSPafLD8, 5689909]
[second-level-question, [141.0, 1397.0, 789.0, 36.0], 7kxSPafLD8, 5689909]
[second-level-question, [141.0, 1433.0, 789.0, 36.0], 7kxSPafLD8, 5689909]
[second-level-question, [141.0, 1469.0, 789.0, 36.0], 7kxSPafLD8, 5689909]
