[1634, 1040]
[folio, [417.0, 95.0, 183.0, 36.0], shoonya_3s2L23JC7BMBWF, 5731378]
[paragraph, [97.0, 161.0, 856.0, 36.0], shoonya_1s77TPV5BOL5JZ, 5731378]
[paragraph, [97.0, 197.0, 856.0, 36.0], shoonya_1s77TPV5BOL5JZ, 5731378]
[paragraph, [97.0, 233.0, 856.0, 36.0], shoonya_1s77TPV5BOL5JZ, 5731378]
[paragraph, [97.0, 269.0, 856.0, 36.0], shoonya_1s77TPV5BOL5JZ, 5731378]
[paragraph, [97.0, 305.0, 856.0, 36.0], shoonya_1s77TPV5BOL5JZ, 5731378]
[paragraph, [97.0, 341.0, 856.0, 36.0], shoonya_1s77TPV5BOL5JZ, 5731378]
[paragraph, [97.0, 377.0, 856.0, 36.0], shoonya_1s77TPV5BOL5JZ, 5731378]
[paragraph, [94.0, 442.0, 855.0, 36.0], shoonya_2sJ9H3ZQ9BZTC2, 5731378]
[paragraph, [94.0, 478.0, 855.0, 36.0], shoonya_2sJ9H3ZQ9BZTC2, 5731378]
[paragraph, [94.0, 514.0, 855.0, 36.0], shoonya_2sJ9H3ZQ9BZTC2, 5731378]
[paragraph, [94.0, 550.0, 855.0, 36.0], shoonya_2sJ9H3ZQ9BZTC2, 5731378]
[paragraph, [94.0, 586.0, 855.0, 36.0], shoonya_2sJ9H3ZQ9BZTC2, 5731378]
[paragraph, [94.0, 622.0, 855.0, 36.0], shoonya_2sJ9H3ZQ9BZTC2, 5731378]
[paragraph, [83.0, 690.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 726.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 762.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 798.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 834.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 870.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 906.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 942.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 978.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 1014.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 1050.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 1086.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 1122.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 1158.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 1194.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 1230.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 1266.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 1302.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 1338.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 1374.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 1410.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 1446.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
[paragraph, [83.0, 1482.0, 867.0, 36.0], shoonya_0s90E2LHZ83LIX, 5731378]
