[1372, 849]
[section-title, [354.0, 68.0, 144.0, 30.0], shoonya_2s4S3MF9LO328R, 5709856]
[paragraph, [63.0, 129.0, 728.0, 18.0], shoonya_1sJ4XF7XAGQ6BB, 5709856]
[paragraph, [63.0, 147.0, 728.0, 18.0], shoonya_1sJ4XF7XAGQ6BB, 5709856]
[paragraph, [63.0, 165.0, 728.0, 18.0], shoonya_1sJ4XF7XAGQ6BB, 5709856]
[paragraph, [63.0, 183.0, 728.0, 18.0], shoonya_1sJ4XF7XAGQ6BB, 5709856]
[paragraph, [63.0, 201.0, 728.0, 18.0], shoonya_1sJ4XF7XAGQ6BB, 5709856]
[paragraph, [63.0, 219.0, 728.0, 18.0], shoonya_1sJ4XF7XAGQ6BB, 5709856]
[paragraph, [63.0, 237.0, 728.0, 18.0], shoonya_1sJ4XF7XAGQ6BB, 5709856]
[paragraph, [63.0, 255.0, 728.0, 18.0], shoonya_1sJ4XF7XAGQ6BB, 5709856]
[paragraph, [63.0, 273.0, 728.0, 18.0], shoonya_1sJ4XF7XAGQ6BB, 5709856]
[paragraph, [63.0, 291.0, 728.0, 18.0], shoonya_1sJ4XF7XAGQ6BB, 5709856]
[paragraph, [63.0, 309.0, 728.0, 18.0], shoonya_1sJ4XF7XAGQ6BB, 5709856]
[paragraph, [63.0, 327.0, 728.0, 18.0], shoonya_1sJ4XF7XAGQ6BB, 5709856]
[paragraph, [63.0, 345.0, 728.0, 18.0], shoonya_1sJ4XF7XAGQ6BB, 5709856]
[paragraph, [63.0, 363.0, 728.0, 18.0], shoonya_1sJ4XF7XAGQ6BB, 5709856]
[paragraph, [63.0, 381.0, 728.0, 18.0], shoonya_1sJ4XF7XAGQ6BB, 5709856]
[paragraph, [63.0, 399.0, 728.0, 18.0], shoonya_1sJ4XF7XAGQ6BB, 5709856]
[paragraph, [63.0, 417.0, 728.0, 18.0], shoonya_1sJ4XF7XAGQ6BB, 5709856]
