[1755, 1241]
[folio, [223.0, 79.0, 499.0, 36.0], MXrHgK4Ibz, 5760678]
[paragraph, [220.0, 150.0, 798.0, 36.0], f4hu1KtntL, 5760678]
[paragraph, [220.0, 186.0, 798.0, 36.0], f4hu1KtntL, 5760678]
[paragraph, [220.0, 222.0, 798.0, 36.0], f4hu1KtntL, 5760678]
[paragraph, [220.0, 258.0, 798.0, 36.0], f4hu1KtntL, 5760678]
[paragraph, [220.0, 294.0, 798.0, 36.0], f4hu1KtntL, 5760678]
[paragraph, [220.0, 330.0, 798.0, 36.0], f4hu1KtntL, 5760678]
[paragraph, [220.0, 366.0, 798.0, 36.0], f4hu1KtntL, 5760678]
[paragraph, [212.0, 417.0, 805.0, 36.0], zrU78yvZRx, 5760678]
[paragraph, [212.0, 453.0, 805.0, 36.0], zrU78yvZRx, 5760678]
[paragraph, [212.0, 489.0, 805.0, 36.0], zrU78yvZRx, 5760678]
[paragraph, [212.0, 525.0, 805.0, 36.0], zrU78yvZRx, 5760678]
[paragraph, [212.0, 561.0, 805.0, 36.0], zrU78yvZRx, 5760678]
[paragraph, [212.0, 597.0, 805.0, 36.0], zrU78yvZRx, 5760678]
[paragraph, [212.0, 633.0, 805.0, 36.0], zrU78yvZRx, 5760678]
[paragraph, [212.0, 669.0, 805.0, 36.0], zrU78yvZRx, 5760678]
[paragraph, [212.0, 705.0, 805.0, 36.0], zrU78yvZRx, 5760678]
[paragraph, [212.0, 741.0, 805.0, 36.0], zrU78yvZRx, 5760678]
[paragraph, [212.0, 777.0, 805.0, 36.0], zrU78yvZRx, 5760678]
[paragraph, [212.0, 813.0, 805.0, 36.0], zrU78yvZRx, 5760678]
[paragraph, [212.0, 849.0, 805.0, 36.0], zrU78yvZRx, 5760678]
[paragraph, [212.0, 885.0, 805.0, 36.0], zrU78yvZRx, 5760678]
[paragraph, [212.0, 921.0, 805.0, 36.0], zrU78yvZRx, 5760678]
[paragraph, [212.0, 957.0, 805.0, 36.0], zrU78yvZRx, 5760678]
[paragraph, [212.0, 993.0, 805.0, 36.0], zrU78yvZRx, 5760678]
[paragraph, [212.0, 1029.0, 805.0, 36.0], zrU78yvZRx, 5760678]
[paragraph, [208.0, 1089.0, 807.0, 36.0], shoonya_0sO6SYGUM32BWT, 5760678]
[paragraph, [208.0, 1125.0, 807.0, 36.0], shoonya_0sO6SYGUM32BWT, 5760678]
[paragraph, [208.0, 1161.0, 807.0, 36.0], shoonya_0sO6SYGUM32BWT, 5760678]
[paragraph, [208.0, 1197.0, 807.0, 36.0], shoonya_0sO6SYGUM32BWT, 5760678]
[paragraph, [208.0, 1233.0, 807.0, 36.0], shoonya_0sO6SYGUM32BWT, 5760678]
[paragraph, [208.0, 1269.0, 807.0, 36.0], shoonya_0sO6SYGUM32BWT, 5760678]
[paragraph, [208.0, 1305.0, 807.0, 36.0], shoonya_0sO6SYGUM32BWT, 5760678]
[paragraph, [208.0, 1341.0, 807.0, 36.0], shoonya_0sO6SYGUM32BWT, 5760678]
[paragraph, [208.0, 1377.0, 807.0, 36.0], shoonya_0sO6SYGUM32BWT, 5760678]
[paragraph, [208.0, 1413.0, 807.0, 36.0], shoonya_0sO6SYGUM32BWT, 5760678]
[paragraph, [208.0, 1449.0, 807.0, 36.0], shoonya_0sO6SYGUM32BWT, 5760678]
[paragraph, [208.0, 1485.0, 807.0, 36.0], shoonya_0sO6SYGUM32BWT, 5760678]
[paragraph, [208.0, 1521.0, 807.0, 36.0], shoonya_0sO6SYGUM32BWT, 5760678]
[paragraph, [210.0, 1571.0, 800.0, 36.0], _RUKLVXvyu, 5760678]
[paragraph, [210.0, 1607.0, 800.0, 36.0], _RUKLVXvyu, 5760678]
