[1600, 2134]
[section-title, [75.0, 113.0, 1672.0, 49.5], shoonya_0sPPQZF8HL6S7Y, 5719354]
[section-title, [75.0, 162.5, 1672.0, 49.5], shoonya_0sPPQZF8HL6S7Y, 5719354]
[section-title, [75.0, 212.0, 1672.0, 49.5], shoonya_0sPPQZF8HL6S7Y, 5719354]
[sub-section-title, [1108.0, 314.0, 595.0, 36.0], shoonya_2sDVD4IMZOA4AL, 5719354]
[sub-section-title, [1108.0, 350.0, 595.0, 36.0], shoonya_2sDVD4IMZOA4AL, 5719354]
[paragraph, [1101.0, 416.0, 944.0, 36.0], shoonya_3sRA0TJEBI8W13, 5719354]
[paragraph, [1101.0, 452.0, 944.0, 36.0], shoonya_3sRA0TJEBI8W13, 5719354]
[paragraph, [1101.0, 488.0, 944.0, 36.0], shoonya_3sRA0TJEBI8W13, 5719354]
[paragraph, [1101.0, 524.0, 944.0, 36.0], shoonya_3sRA0TJEBI8W13, 5719354]
[paragraph, [1101.0, 560.0, 944.0, 36.0], shoonya_3sRA0TJEBI8W13, 5719354]
[paragraph, [1101.0, 596.0, 944.0, 36.0], shoonya_3sRA0TJEBI8W13, 5719354]
[paragraph, [1101.0, 632.0, 944.0, 36.0], shoonya_3sRA0TJEBI8W13, 5719354]
[paragraph, [1101.0, 668.0, 944.0, 36.0], shoonya_3sRA0TJEBI8W13, 5719354]
[paragraph, [1101.0, 704.0, 944.0, 36.0], shoonya_3sRA0TJEBI8W13, 5719354]
[paragraph, [1101.0, 740.0, 944.0, 36.0], shoonya_3sRA0TJEBI8W13, 5719354]
[paragraph, [1101.0, 776.0, 944.0, 36.0], shoonya_3sRA0TJEBI8W13, 5719354]
[paragraph, [1097.0, 838.0, 966.0, 36.0], shoonya_4sRM5GT11ILKBR, 5719354]
[paragraph, [1097.0, 874.0, 966.0, 36.0], shoonya_4sRM5GT11ILKBR, 5719354]
[paragraph, [1097.0, 910.0, 966.0, 36.0], shoonya_4sRM5GT11ILKBR, 5719354]
[paragraph, [1097.0, 946.0, 966.0, 36.0], shoonya_4sRM5GT11ILKBR, 5719354]
[paragraph, [1097.0, 982.0, 966.0, 36.0], shoonya_4sRM5GT11ILKBR, 5719354]
[paragraph, [1097.0, 1018.0, 966.0, 36.0], shoonya_4sRM5GT11ILKBR, 5719354]
[paragraph, [1097.0, 1054.0, 966.0, 36.0], shoonya_4sRM5GT11ILKBR, 5719354]
[paragraph, [1097.0, 1090.0, 966.0, 36.0], shoonya_4sRM5GT11ILKBR, 5719354]
[paragraph, [1097.0, 1126.0, 966.0, 36.0], shoonya_4sRM5GT11ILKBR, 5719354]
[paragraph, [1097.0, 1162.0, 966.0, 36.0], shoonya_4sRM5GT11ILKBR, 5719354]
[paragraph, [1097.0, 1198.0, 966.0, 36.0], shoonya_4sRM5GT11ILKBR, 5719354]
[paragraph, [1097.0, 1234.0, 966.0, 36.0], shoonya_4sRM5GT11ILKBR, 5719354]
[paragraph, [1097.0, 1270.0, 966.0, 36.0], shoonya_4sRM5GT11ILKBR, 5719354]
[paragraph, [1097.0, 1306.0, 966.0, 36.0], shoonya_4sRM5GT11ILKBR, 5719354]
[paragraph, [1097.0, 1342.0, 966.0, 36.0], shoonya_4sRM5GT11ILKBR, 5719354]
[paragraph, [1097.0, 1378.0, 966.0, 36.0], shoonya_4sRM5GT11ILKBR, 5719354]
[paragraph, [1097.0, 1414.0, 966.0, 36.0], shoonya_4sRM5GT11ILKBR, 5719354]
[paragraph, [1097.0, 1450.0, 966.0, 36.0], shoonya_4sRM5GT11ILKBR, 5719354]
[paragraph, [1097.0, 1486.0, 966.0, 36.0], shoonya_4sRM5GT11ILKBR, 5719354]
