[579, 396]
[section-title, [113.0, 59.0, 69.0, 30.0], IaDO8-e6TU, 6493484]
[paragraph, [114.0, 105.0, 149.0, 18.0], LWmDR9FvVX, 6493484]
[paragraph, [114.0, 123.0, 149.0, 18.0], LWmDR9FvVX, 6493484]
[paragraph, [114.0, 141.0, 149.0, 18.0], LWmDR9FvVX, 6493484]
[paragraph, [113.0, 176.0, 229.0, 18.0], VFp8B5bxtl, 6493484]
[paragraph, [113.0, 194.0, 229.0, 18.0], VFp8B5bxtl, 6493484]
[paragraph, [113.0, 212.0, 229.0, 18.0], VFp8B5bxtl, 6493484]
[paragraph, [113.0, 230.0, 229.0, 18.0], VFp8B5bxtl, 6493484]
[paragraph, [113.0, 248.0, 229.0, 18.0], VFp8B5bxtl, 6493484]
[paragraph, [113.0, 266.0, 229.0, 18.0], VFp8B5bxtl, 6493484]
[paragraph, [113.0, 284.0, 229.0, 18.0], VFp8B5bxtl, 6493484]
[paragraph, [111.0, 335.0, 138.0, 18.0], 2euVXVFxvn, 6493484]
[paragraph, [111.0, 353.0, 138.0, 18.0], 2euVXVFxvn, 6493484]
[paragraph, [111.0, 371.0, 138.0, 18.0], 2euVXVFxvn, 6493484]
[paragraph, [111.0, 389.0, 138.0, 18.0], 2euVXVFxvn, 6493484]
[paragraph, [119.0, 423.0, 167.0, 18.0], qn7iweMA-N, 6493484]
[folio, [176.0, 552.0, 113.0, 18.0], DNPyrGsFOc, 6493484]
