[2339, 1653]
[paragraph, [322.0, 153.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 189.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 225.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 261.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 297.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 333.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 369.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 405.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 441.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 477.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 513.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 549.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 585.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 621.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 657.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 693.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 729.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 765.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 801.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 837.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 873.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 909.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 945.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 981.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 1017.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 1053.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [322.0, 1089.0, 1145.0, 36.0], shoonya_2sEH278QQDBWQ1, 5733489]
[paragraph, [326.0, 1166.0, 1139.0, 36.0], shoonya_1sYA3BBY96ITYK, 5733489]
[paragraph, [326.0, 1202.0, 1139.0, 36.0], shoonya_1sYA3BBY96ITYK, 5733489]
[paragraph, [326.0, 1238.0, 1139.0, 36.0], shoonya_1sYA3BBY96ITYK, 5733489]
[paragraph, [326.0, 1274.0, 1139.0, 36.0], shoonya_1sYA3BBY96ITYK, 5733489]
[paragraph, [326.0, 1310.0, 1139.0, 36.0], shoonya_1sYA3BBY96ITYK, 5733489]
[paragraph, [326.0, 1346.0, 1139.0, 36.0], shoonya_1sYA3BBY96ITYK, 5733489]
[paragraph, [326.0, 1382.0, 1139.0, 36.0], shoonya_1sYA3BBY96ITYK, 5733489]
[paragraph, [326.0, 1418.0, 1139.0, 36.0], shoonya_1sYA3BBY96ITYK, 5733489]
[paragraph, [326.0, 1454.0, 1139.0, 36.0], shoonya_1sYA3BBY96ITYK, 5733489]
[paragraph, [326.0, 1490.0, 1139.0, 36.0], shoonya_1sYA3BBY96ITYK, 5733489]
[paragraph, [326.0, 1526.0, 1139.0, 36.0], shoonya_1sYA3BBY96ITYK, 5733489]
[paragraph, [326.0, 1562.0, 1139.0, 36.0], shoonya_1sYA3BBY96ITYK, 5733489]
[paragraph, [326.0, 1598.0, 1139.0, 36.0], shoonya_1sYA3BBY96ITYK, 5733489]
[paragraph, [325.0, 1663.0, 1139.0, 36.0], shoonya_0sEK7LUDXNFSZ3, 5733489]
