[590, 396]
[paragraph, [63.0, 52.0, 301.0, 18.0], znDXBUZ4YW, 6512734]
[paragraph, [63.0, 70.0, 301.0, 18.0], znDXBUZ4YW, 6512734]
[paragraph, [63.0, 88.0, 301.0, 18.0], znDXBUZ4YW, 6512734]
[paragraph, [64.0, 110.0, 303.0, 18.0], bGJZBfvp1A, 6512734]
[paragraph, [64.0, 128.0, 303.0, 18.0], bGJZBfvp1A, 6512734]
[paragraph, [64.0, 146.0, 303.0, 18.0], bGJZBfvp1A, 6512734]
[paragraph, [64.0, 173.0, 301.0, 18.0], Sx5PAQNHQT, 6512734]
[paragraph, [64.0, 191.0, 301.0, 18.0], Sx5PAQNHQT, 6512734]
[paragraph, [64.0, 209.0, 301.0, 18.0], Sx5PAQNHQT, 6512734]
[paragraph, [64.0, 227.0, 301.0, 18.0], Sx5PAQNHQT, 6512734]
[paragraph, [64.0, 245.0, 301.0, 18.0], Sx5PAQNHQT, 6512734]
[paragraph, [64.0, 263.0, 301.0, 18.0], Sx5PAQNHQT, 6512734]
[paragraph, [93.0, 310.0, 233.0, 18.0], 0iERN98Au1, 6512734]
[paragraph, [64.0, 332.0, 300.0, 18.0], M0XqD3FDT_, 6512734]
[paragraph, [64.0, 350.0, 300.0, 18.0], M0XqD3FDT_, 6512734]
[paragraph, [64.0, 368.0, 300.0, 18.0], M0XqD3FDT_, 6512734]
[paragraph, [63.0, 392.0, 303.0, 18.0], ymrF-IBCT6, 6512734]
[paragraph, [63.0, 410.0, 303.0, 18.0], ymrF-IBCT6, 6512734]
[paragraph, [63.0, 428.0, 303.0, 18.0], ymrF-IBCT6, 6512734]
[paragraph, [63.0, 446.0, 303.0, 18.0], ymrF-IBCT6, 6512734]
[paragraph, [63.0, 464.0, 303.0, 18.0], ymrF-IBCT6, 6512734]
[paragraph, [63.0, 482.0, 303.0, 18.0], ymrF-IBCT6, 6512734]
[paragraph, [63.0, 500.0, 303.0, 18.0], ymrF-IBCT6, 6512734]
[paragraph, [6826.0, 17083.0, 36323.0, 18.0], shoonya_0sI843AKEYMJUT, 6512734]
[paragraph, [6826.0, 17101.0, 36323.0, 18.0], shoonya_0sI843AKEYMJUT, 6512734]
[paragraph, [6826.0, 17119.0, 36323.0, 18.0], shoonya_0sI843AKEYMJUT, 6512734]
[paragraph, [6826.0, 17137.0, 36323.0, 18.0], shoonya_0sI843AKEYMJUT, 6512734]
[paragraph, [6826.0, 17155.0, 36323.0, 18.0], shoonya_0sI843AKEYMJUT, 6512734]
[paragraph, [6826.0, 17173.0, 36323.0, 18.0], shoonya_0sI843AKEYMJUT, 6512734]
[paragraph, [6826.0, 17191.0, 36323.0, 18.0], shoonya_0sI843AKEYMJUT, 6512734]
[paragraph, [6826.0, 17209.0, 36323.0, 18.0], shoonya_0sI843AKEYMJUT, 6512734]
[paragraph, [6826.0, 17227.0, 36323.0, 18.0], shoonya_0sI843AKEYMJUT, 6512734]
[paragraph, [6826.0, 17245.0, 36323.0, 18.0], shoonya_0sI843AKEYMJUT, 6512734]
[paragraph, [6826.0, 17263.0, 36323.0, 18.0], shoonya_0sI843AKEYMJUT, 6512734]
[paragraph, [6826.0, 17281.0, 36323.0, 18.0], shoonya_0sI843AKEYMJUT, 6512734]
[paragraph, [6826.0, 17299.0, 36323.0, 18.0], shoonya_0sI843AKEYMJUT, 6512734]
