[1755, 1240]
[paragraph, [216.0, 143.0, 885.0, 36.0], shoonya_1sX3LMF6Y7HFUB, 5693232]
[paragraph, [216.0, 179.0, 885.0, 36.0], shoonya_1sX3LMF6Y7HFUB, 5693232]
[paragraph, [216.0, 215.0, 885.0, 36.0], shoonya_1sX3LMF6Y7HFUB, 5693232]
[paragraph, [216.0, 251.0, 885.0, 36.0], shoonya_1sX3LMF6Y7HFUB, 5693232]
[paragraph, [216.0, 287.0, 885.0, 36.0], shoonya_1sX3LMF6Y7HFUB, 5693232]
[paragraph, [216.0, 323.0, 885.0, 36.0], shoonya_1sX3LMF6Y7HFUB, 5693232]
[paragraph, [216.0, 359.0, 885.0, 36.0], shoonya_1sX3LMF6Y7HFUB, 5693232]
[paragraph, [216.0, 395.0, 885.0, 36.0], shoonya_1sX3LMF6Y7HFUB, 5693232]
[paragraph, [216.0, 431.0, 885.0, 36.0], shoonya_1sX3LMF6Y7HFUB, 5693232]
[paragraph, [216.0, 467.0, 885.0, 36.0], shoonya_1sX3LMF6Y7HFUB, 5693232]
[paragraph, [216.0, 503.0, 885.0, 36.0], shoonya_1sX3LMF6Y7HFUB, 5693232]
[paragraph, [216.0, 539.0, 885.0, 36.0], shoonya_1sX3LMF6Y7HFUB, 5693232]
[paragraph, [216.0, 575.0, 885.0, 36.0], shoonya_1sX3LMF6Y7HFUB, 5693232]
[paragraph, [216.0, 611.0, 885.0, 36.0], shoonya_1sX3LMF6Y7HFUB, 5693232]
[paragraph, [216.0, 647.0, 885.0, 36.0], shoonya_1sX3LMF6Y7HFUB, 5693232]
[paragraph, [216.0, 683.0, 885.0, 36.0], shoonya_1sX3LMF6Y7HFUB, 5693232]
[paragraph, [216.0, 719.0, 885.0, 36.0], shoonya_1sX3LMF6Y7HFUB, 5693232]
[paragraph, [216.0, 755.0, 885.0, 36.0], shoonya_1sX3LMF6Y7HFUB, 5693232]
[paragraph, [216.0, 791.0, 885.0, 36.0], shoonya_1sX3LMF6Y7HFUB, 5693232]
[paragraph, [216.0, 827.0, 885.0, 36.0], shoonya_1sX3LMF6Y7HFUB, 5693232]
[paragraph, [215.0, 908.0, 884.0, 36.0], shoonya_0sOHG2J9SS3X15, 5693232]
[paragraph, [215.0, 944.0, 884.0, 36.0], shoonya_0sOHG2J9SS3X15, 5693232]
[paragraph, [215.0, 980.0, 884.0, 36.0], shoonya_0sOHG2J9SS3X15, 5693232]
[paragraph, [215.0, 1016.0, 884.0, 36.0], shoonya_0sOHG2J9SS3X15, 5693232]
[paragraph, [215.0, 1052.0, 884.0, 36.0], shoonya_0sOHG2J9SS3X15, 5693232]
[paragraph, [215.0, 1088.0, 884.0, 36.0], shoonya_0sOHG2J9SS3X15, 5693232]
[paragraph, [215.0, 1124.0, 884.0, 36.0], shoonya_0sOHG2J9SS3X15, 5693232]
[paragraph, [215.0, 1160.0, 884.0, 36.0], shoonya_0sOHG2J9SS3X15, 5693232]
[paragraph, [215.0, 1196.0, 884.0, 36.0], shoonya_0sOHG2J9SS3X15, 5693232]
[paragraph, [215.0, 1232.0, 884.0, 36.0], shoonya_0sOHG2J9SS3X15, 5693232]
[paragraph, [215.0, 1268.0, 884.0, 36.0], shoonya_0sOHG2J9SS3X15, 5693232]
[paragraph, [215.0, 1304.0, 884.0, 36.0], shoonya_0sOHG2J9SS3X15, 5693232]
[paragraph, [215.0, 1340.0, 884.0, 36.0], shoonya_0sOHG2J9SS3X15, 5693232]
[paragraph, [215.0, 1376.0, 884.0, 36.0], shoonya_0sOHG2J9SS3X15, 5693232]
[paragraph, [215.0, 1412.0, 884.0, 36.0], shoonya_0sOHG2J9SS3X15, 5693232]
[paragraph, [215.0, 1448.0, 884.0, 36.0], shoonya_0sOHG2J9SS3X15, 5693232]
[paragraph, [215.0, 1484.0, 884.0, 36.0], shoonya_0sOHG2J9SS3X15, 5693232]
