[842, 595]
[headline, [157.0, 172.0, 186.0, 25.5], shoonya_3s3F3G0POWZ7PQ, 5744778]
[paragraph, [89.0, 244.0, 212.0, 18.0], shoonya_4sLL6W9Y1QWCRQ, 5744778]
[paragraph, [89.0, 262.0, 212.0, 18.0], shoonya_4sLL6W9Y1QWCRQ, 5744778]
[paragraph, [89.0, 280.0, 212.0, 18.0], shoonya_4sLL6W9Y1QWCRQ, 5744778]
[paragraph, [89.0, 298.0, 212.0, 18.0], shoonya_4sLL6W9Y1QWCRQ, 5744778]
[paragraph, [89.0, 316.0, 212.0, 18.0], shoonya_4sLL6W9Y1QWCRQ, 5744778]
[paragraph, [89.0, 334.0, 212.0, 18.0], shoonya_4sLL6W9Y1QWCRQ, 5744778]
[unordered-list, [90.0, 364.0, 314.0, 18.0], shoonya_1sRPNFV9YDHODW, 5744778]
[unordered-list, [90.0, 382.0, 314.0, 18.0], shoonya_1sRPNFV9YDHODW, 5744778]
[unordered-list, [90.0, 400.0, 314.0, 18.0], shoonya_1sRPNFV9YDHODW, 5744778]
[unordered-list, [90.0, 418.0, 314.0, 18.0], shoonya_1sRPNFV9YDHODW, 5744778]
[unordered-list, [90.0, 436.0, 314.0, 18.0], shoonya_1sRPNFV9YDHODW, 5744778]
[unordered-list, [90.0, 454.0, 314.0, 18.0], shoonya_1sRPNFV9YDHODW, 5744778]
[unordered-list, [90.0, 472.0, 314.0, 18.0], shoonya_1sRPNFV9YDHODW, 5744778]
[unordered-list, [90.0, 490.0, 314.0, 18.0], shoonya_1sRPNFV9YDHODW, 5744778]
[unordered-list, [90.0, 508.0, 314.0, 18.0], shoonya_1sRPNFV9YDHODW, 5744778]
[unordered-list, [90.0, 526.0, 314.0, 18.0], shoonya_1sRPNFV9YDHODW, 5744778]
[unordered-list, [90.0, 544.0, 314.0, 18.0], shoonya_1sRPNFV9YDHODW, 5744778]
[unordered-list, [90.0, 562.0, 314.0, 18.0], shoonya_1sRPNFV9YDHODW, 5744778]
[unordered-list, [90.0, 580.0, 314.0, 18.0], shoonya_1sRPNFV9YDHODW, 5744778]
[unordered-list, [90.0, 598.0, 314.0, 18.0], shoonya_1sRPNFV9YDHODW, 5744778]
[unordered-list, [90.0, 616.0, 314.0, 18.0], shoonya_1sRPNFV9YDHODW, 5744778]
[unordered-list, [90.0, 634.0, 314.0, 18.0], shoonya_1sRPNFV9YDHODW, 5744778]
[sidebar, [410.0, 375.0, 112.0, 18.0], sX3zrJ1Jg1, 5744778]
[sidebar, [410.0, 393.0, 112.0, 18.0], sX3zrJ1Jg1, 5744778]
[sidebar, [410.0, 411.0, 112.0, 18.0], sX3zrJ1Jg1, 5744778]
[sidebar, [410.0, 429.0, 112.0, 18.0], sX3zrJ1Jg1, 5744778]
[sidebar, [410.0, 447.0, 112.0, 18.0], sX3zrJ1Jg1, 5744778]
[sidebar, [410.0, 465.0, 112.0, 18.0], sX3zrJ1Jg1, 5744778]
[sidebar, [410.0, 483.0, 112.0, 18.0], sX3zrJ1Jg1, 5744778]
[sidebar, [410.0, 501.0, 112.0, 18.0], sX3zrJ1Jg1, 5744778]
[sidebar, [410.0, 519.0, 112.0, 18.0], sX3zrJ1Jg1, 5744778]
[sidebar, [410.0, 537.0, 112.0, 18.0], sX3zrJ1Jg1, 5744778]
[sidebar, [410.0, 555.0, 112.0, 18.0], sX3zrJ1Jg1, 5744778]
[sidebar, [410.0, 573.0, 112.0, 18.0], sX3zrJ1Jg1, 5744778]
[sidebar, [410.0, 591.0, 112.0, 18.0], sX3zrJ1Jg1, 5744778]
[sidebar, [410.0, 609.0, 112.0, 18.0], sX3zrJ1Jg1, 5744778]
[sidebar, [410.0, 627.0, 112.0, 18.0], sX3zrJ1Jg1, 5744778]
[sidebar, [410.0, 645.0, 112.0, 18.0], sX3zrJ1Jg1, 5744778]
[quote, [412.0, 380.0, 92.0, 18.0], u6bNJa94Av, 5744778]
[quote, [412.0, 398.0, 92.0, 18.0], u6bNJa94Av, 5744778]
[quote, [412.0, 416.0, 92.0, 18.0], u6bNJa94Av, 5744778]
[quote, [412.0, 434.0, 92.0, 18.0], u6bNJa94Av, 5744778]
[quote, [412.0, 452.0, 92.0, 18.0], u6bNJa94Av, 5744778]
[quote, [412.0, 470.0, 92.0, 18.0], u6bNJa94Av, 5744778]
[quote, [412.0, 488.0, 92.0, 18.0], u6bNJa94Av, 5744778]
[quote, [412.0, 506.0, 92.0, 18.0], u6bNJa94Av, 5744778]
[quote, [412.0, 524.0, 92.0, 18.0], u6bNJa94Av, 5744778]
[quote, [412.0, 542.0, 92.0, 18.0], u6bNJa94Av, 5744778]
[contact-info, [422.0, 641.0, 75.0, 18.0], shoonya_5sRQC7HQJJIDN2, 5744778]
[folio, [107.0, 683.0, 250.0, 18.0], shoonya_7s4O2AZHAEVMJI, 5744778]
