[1250, 2500]
[section-title, [168.0, 7.0, 279.0, 30.0], Sa0Iqncx1C, 5726139]
[paragraph, [15.0, 42.0, 574.0, 18.0], UCO726XFkd, 5726139]
[paragraph, [15.0, 60.0, 574.0, 18.0], UCO726XFkd, 5726139]
[paragraph, [15.0, 78.0, 574.0, 18.0], UCO726XFkd, 5726139]
[paragraph, [15.0, 96.0, 574.0, 18.0], UCO726XFkd, 5726139]
[paragraph, [15.0, 114.0, 574.0, 18.0], UCO726XFkd, 5726139]
[paragraph, [15.0, 132.0, 574.0, 18.0], UCO726XFkd, 5726139]
[paragraph, [15.0, 150.0, 574.0, 18.0], UCO726XFkd, 5726139]
[paragraph, [14.0, 204.0, 576.0, 18.0], shoonya_0sGIYPJTHZWKE5, 5726139]
[paragraph, [14.0, 222.0, 576.0, 18.0], shoonya_0sGIYPJTHZWKE5, 5726139]
[paragraph, [14.0, 240.0, 576.0, 18.0], shoonya_0sGIYPJTHZWKE5, 5726139]
[paragraph, [14.0, 258.0, 576.0, 18.0], shoonya_0sGIYPJTHZWKE5, 5726139]
[paragraph, [14.0, 276.0, 576.0, 18.0], shoonya_0sGIYPJTHZWKE5, 5726139]
[paragraph, [14.0, 294.0, 576.0, 18.0], shoonya_0sGIYPJTHZWKE5, 5726139]
[paragraph, [14.0, 312.0, 576.0, 18.0], shoonya_0sGIYPJTHZWKE5, 5726139]
[paragraph, [14.0, 330.0, 576.0, 18.0], shoonya_0sGIYPJTHZWKE5, 5726139]
[paragraph, [14.0, 348.0, 576.0, 18.0], shoonya_0sGIYPJTHZWKE5, 5726139]
[paragraph, [14.0, 366.0, 576.0, 18.0], shoonya_0sGIYPJTHZWKE5, 5726139]
[paragraph, [14.0, 384.0, 576.0, 18.0], shoonya_0sGIYPJTHZWKE5, 5726139]
[paragraph, [14.0, 402.0, 576.0, 18.0], shoonya_0sGIYPJTHZWKE5, 5726139]
[paragraph, [1.0, 457.0, 604.0, 18.0], WLhz_H1GYs, 5726139]
[paragraph, [1.0, 475.0, 604.0, 18.0], WLhz_H1GYs, 5726139]
[paragraph, [1.0, 493.0, 604.0, 18.0], WLhz_H1GYs, 5726139]
[paragraph, [1.0, 511.0, 604.0, 18.0], WLhz_H1GYs, 5726139]
[paragraph, [1.0, 529.0, 604.0, 18.0], WLhz_H1GYs, 5726139]
[paragraph, [1.0, 547.0, 604.0, 18.0], WLhz_H1GYs, 5726139]
[paragraph, [5.0, 564.0, 602.0, 18.0], KOnJYYMARO, 5726139]
[paragraph, [5.0, 582.0, 602.0, 18.0], KOnJYYMARO, 5726139]
[paragraph, [5.0, 600.0, 602.0, 18.0], KOnJYYMARO, 5726139]
[paragraph, [5.0, 618.0, 602.0, 18.0], KOnJYYMARO, 5726139]
[paragraph, [5.0, 636.0, 602.0, 18.0], KOnJYYMARO, 5726139]
