[766, 567]
[headline, [61.0, 202.0, 460.0, 25.5], shoonya_8sS3QHUTJZZAL4, 5772031]
[sub-headline, [126.0, 246.0, 336.0, 25.5], aQIW3gJ5FW, 5772031]
[sub-headline, [126.0, 271.5, 336.0, 25.5], aQIW3gJ5FW, 5772031]
[paragraph, [74.0, 302.0, 433.0, 18.0], gZocXhEXVn, 5772031]
[paragraph, [74.0, 320.0, 433.0, 18.0], gZocXhEXVn, 5772031]
[paragraph, [74.0, 338.0, 433.0, 18.0], gZocXhEXVn, 5772031]
[paragraph, [74.0, 356.0, 433.0, 18.0], gZocXhEXVn, 5772031]
[paragraph, [49.0, 406.0, 265.0, 18.0], shoonya_3s8SD0E16W8OC5, 5772031]
[paragraph, [49.0, 424.0, 265.0, 18.0], shoonya_3s8SD0E16W8OC5, 5772031]
[paragraph, [49.0, 442.0, 265.0, 18.0], shoonya_3s8SD0E16W8OC5, 5772031]
[paragraph, [49.0, 460.0, 265.0, 18.0], shoonya_3s8SD0E16W8OC5, 5772031]
[paragraph, [49.0, 478.0, 265.0, 18.0], shoonya_3s8SD0E16W8OC5, 5772031]
[paragraph, [49.0, 496.0, 265.0, 18.0], shoonya_3s8SD0E16W8OC5, 5772031]
[paragraph, [49.0, 514.0, 265.0, 18.0], shoonya_3s8SD0E16W8OC5, 5772031]
[paragraph, [49.0, 532.0, 265.0, 18.0], shoonya_3s8SD0E16W8OC5, 5772031]
[paragraph, [320.0, 407.0, 212.0, 18.0], shoonya_5sONIFTXFK0MCW, 5772031]
[paragraph, [320.0, 425.0, 212.0, 18.0], shoonya_5sONIFTXFK0MCW, 5772031]
[paragraph, [320.0, 443.0, 212.0, 18.0], shoonya_5sONIFTXFK0MCW, 5772031]
[paragraph, [320.0, 461.0, 212.0, 18.0], shoonya_5sONIFTXFK0MCW, 5772031]
[paragraph, [320.0, 479.0, 212.0, 18.0], shoonya_5sONIFTXFK0MCW, 5772031]
[paragraph, [320.0, 497.0, 212.0, 18.0], shoonya_5sONIFTXFK0MCW, 5772031]
[paragraph, [320.0, 515.0, 212.0, 18.0], shoonya_5sONIFTXFK0MCW, 5772031]
[paragraph, [319.0, 534.0, 213.0, 18.0], shoonya_1sM8IX55H4A9ET, 5772031]
[paragraph, [319.0, 552.0, 213.0, 18.0], shoonya_1sM8IX55H4A9ET, 5772031]
[paragraph, [319.0, 570.0, 213.0, 18.0], shoonya_1sM8IX55H4A9ET, 5772031]
[paragraph, [319.0, 588.0, 213.0, 18.0], shoonya_1sM8IX55H4A9ET, 5772031]
[paragraph, [48.0, 549.0, 263.0, 18.0], shoonya_4sQRHQ0ETI7IRS, 5772031]
[paragraph, [48.0, 567.0, 263.0, 18.0], shoonya_4sQRHQ0ETI7IRS, 5772031]
[paragraph, [48.0, 585.0, 263.0, 18.0], shoonya_4sQRHQ0ETI7IRS, 5772031]
[paragraph, [321.0, 605.0, 210.0, 18.0], QzYGp3BZs6, 5772031]
[paragraph, [321.0, 623.0, 210.0, 18.0], QzYGp3BZs6, 5772031]
[paragraph, [321.0, 641.0, 210.0, 18.0], QzYGp3BZs6, 5772031]
[paragraph, [321.0, 659.0, 210.0, 18.0], QzYGp3BZs6, 5772031]
[paragraph, [49.0, 606.0, 263.0, 18.0], S_KIS47d3j, 5772031]
[paragraph, [49.0, 624.0, 263.0, 18.0], S_KIS47d3j, 5772031]
[paragraph, [49.0, 642.0, 263.0, 18.0], S_KIS47d3j, 5772031]
[paragraph, [49.0, 660.0, 263.0, 18.0], S_KIS47d3j, 5772031]
[folio, [360.0, 701.0, 61.0, 18.0], FY51-9mC3G, 5772031]
