[1754, 1241]
[ordered-list, [88.0, 141.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 177.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 213.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 249.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 285.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 321.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 357.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 393.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 429.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 465.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 501.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 537.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 573.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 609.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 645.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 681.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 717.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 753.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 789.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 825.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 861.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 897.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 933.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 969.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 1005.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 1041.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 1077.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 1113.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 1149.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 1185.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 1221.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 1257.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 1293.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 1329.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 1365.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 1401.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 1437.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 1473.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 1509.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 1545.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 1581.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[ordered-list, [88.0, 1617.0, 1042.0, 36.0], DMBJr_JOV8, 5708856]
[sub-ordered-list, [187.0, 193.0, 941.0, 36.0], _vi1niETZ5, 5708856]
[sub-ordered-list, [187.0, 229.0, 941.0, 36.0], _vi1niETZ5, 5708856]
[sub-ordered-list, [187.0, 265.0, 941.0, 36.0], _vi1niETZ5, 5708856]
[sub-ordered-list, [184.0, 348.0, 948.0, 36.0], yO4TsEExpN, 5708856]
[sub-ordered-list, [184.0, 384.0, 948.0, 36.0], yO4TsEExpN, 5708856]
[sub-ordered-list, [184.0, 420.0, 948.0, 36.0], yO4TsEExpN, 5708856]
[sub-ordered-list, [184.0, 456.0, 948.0, 36.0], yO4TsEExpN, 5708856]
[sub-ordered-list, [184.0, 492.0, 948.0, 36.0], yO4TsEExpN, 5708856]
[sub-ordered-list, [184.0, 528.0, 948.0, 36.0], yO4TsEExpN, 5708856]
[sub-ordered-list, [182.0, 596.0, 943.0, 36.0], 3u-Pu4DQwq, 5708856]
