[1650, 1275]
[folio, [257.0, 123.0, 255.0, 36.0], shoonya_0s2YXBTTGOIL7O, 5714314]
[paragraph, [219.0, 184.0, 905.0, 36.0], shoonya_2sOUVZZHZBOKC3, 5714314]
[paragraph, [219.0, 220.0, 905.0, 36.0], shoonya_2sOUVZZHZBOKC3, 5714314]
[paragraph, [219.0, 256.0, 905.0, 36.0], shoonya_2sOUVZZHZBOKC3, 5714314]
[paragraph, [219.0, 292.0, 905.0, 36.0], shoonya_2sOUVZZHZBOKC3, 5714314]
[paragraph, [219.0, 328.0, 905.0, 36.0], shoonya_2sOUVZZHZBOKC3, 5714314]
[paragraph, [219.0, 364.0, 905.0, 36.0], shoonya_2sOUVZZHZBOKC3, 5714314]
[paragraph, [219.0, 400.0, 905.0, 36.0], shoonya_2sOUVZZHZBOKC3, 5714314]
[paragraph, [219.0, 436.0, 905.0, 36.0], shoonya_2sOUVZZHZBOKC3, 5714314]
[paragraph, [219.0, 472.0, 905.0, 36.0], shoonya_2sOUVZZHZBOKC3, 5714314]
[paragraph, [219.0, 508.0, 905.0, 36.0], shoonya_2sOUVZZHZBOKC3, 5714314]
[paragraph, [219.0, 544.0, 905.0, 36.0], shoonya_2sOUVZZHZBOKC3, 5714314]
[paragraph, [219.0, 580.0, 905.0, 36.0], shoonya_2sOUVZZHZBOKC3, 5714314]
[paragraph, [219.0, 616.0, 905.0, 36.0], shoonya_2sOUVZZHZBOKC3, 5714314]
[paragraph, [219.0, 652.0, 905.0, 36.0], shoonya_2sOUVZZHZBOKC3, 5714314]
[paragraph, [219.0, 688.0, 905.0, 36.0], shoonya_2sOUVZZHZBOKC3, 5714314]
[paragraph, [219.0, 724.0, 905.0, 36.0], shoonya_2sOUVZZHZBOKC3, 5714314]
[paragraph, [219.0, 760.0, 905.0, 36.0], shoonya_2sOUVZZHZBOKC3, 5714314]
[paragraph, [219.0, 796.0, 905.0, 36.0], shoonya_2sOUVZZHZBOKC3, 5714314]
[paragraph, [219.0, 832.0, 905.0, 36.0], shoonya_2sOUVZZHZBOKC3, 5714314]
[paragraph, [219.0, 868.0, 905.0, 36.0], shoonya_2sOUVZZHZBOKC3, 5714314]
[paragraph, [219.0, 904.0, 905.0, 36.0], shoonya_2sOUVZZHZBOKC3, 5714314]
[paragraph, [224.0, 979.0, 901.0, 36.0], shoonya_3sB0D9QAFVFIY0, 5714314]
[paragraph, [224.0, 1015.0, 901.0, 36.0], shoonya_3sB0D9QAFVFIY0, 5714314]
[paragraph, [224.0, 1051.0, 901.0, 36.0], shoonya_3sB0D9QAFVFIY0, 5714314]
[paragraph, [224.0, 1087.0, 901.0, 36.0], shoonya_3sB0D9QAFVFIY0, 5714314]
[paragraph, [224.0, 1123.0, 901.0, 36.0], shoonya_3sB0D9QAFVFIY0, 5714314]
[paragraph, [224.0, 1159.0, 901.0, 36.0], shoonya_3sB0D9QAFVFIY0, 5714314]
[paragraph, [224.0, 1195.0, 901.0, 36.0], shoonya_3sB0D9QAFVFIY0, 5714314]
[paragraph, [224.0, 1231.0, 901.0, 36.0], shoonya_3sB0D9QAFVFIY0, 5714314]
[paragraph, [224.0, 1267.0, 901.0, 36.0], shoonya_3sB0D9QAFVFIY0, 5714314]
[paragraph, [224.0, 1303.0, 901.0, 36.0], shoonya_3sB0D9QAFVFIY0, 5714314]
[paragraph, [224.0, 1339.0, 901.0, 36.0], shoonya_3sB0D9QAFVFIY0, 5714314]
[paragraph, [224.0, 1375.0, 901.0, 36.0], shoonya_3sB0D9QAFVFIY0, 5714314]
[paragraph, [224.0, 1411.0, 901.0, 36.0], shoonya_3sB0D9QAFVFIY0, 5714314]
[paragraph, [224.0, 1447.0, 901.0, 36.0], shoonya_3sB0D9QAFVFIY0, 5714314]
