[1326, 829]
[headline, [73.0, 66.0, 680.0, 25.5], shoonya_0sNEM3WN2A2KV2, 5769959]
[headline, [73.0, 91.5, 680.0, 25.5], shoonya_0sNEM3WN2A2KV2, 5769959]
[headline, [73.0, 117.0, 680.0, 25.5], shoonya_0sNEM3WN2A2KV2, 5769959]
[author, [260.0, 148.0, 310.0, 18.0], cYne48tpaG, 5769959]
[author, [260.0, 166.0, 310.0, 18.0], cYne48tpaG, 5769959]
[paragraph, [111.0, 231.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 249.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 267.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 285.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 303.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 321.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 339.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 357.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 375.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 393.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 411.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 429.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 447.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 465.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 483.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 501.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 519.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 537.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 555.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 573.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 591.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 609.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[paragraph, [111.0, 627.0, 609.0, 18.0], nASmeZ-I3R, 5769959]
[reference, [568.0, 626.0, 141.0, 18.0], mnEwW-3Xrq, 5769959]
[paragraph, [434.0, 656.0, 279.0, 18.0], PuEl4Qke5j, 5769959]
[paragraph, [434.0, 674.0, 279.0, 18.0], PuEl4Qke5j, 5769959]
[paragraph, [434.0, 692.0, 279.0, 18.0], PuEl4Qke5j, 5769959]
[section-title, [79.0, 658.0, 152.0, 30.0], shoonya_3sS3MZDZG54BWW, 5769959]
[paragraph, [72.0, 689.0, 344.0, 18.0], irhcAYPok7, 5769959]
[paragraph, [72.0, 707.0, 344.0, 18.0], irhcAYPok7, 5769959]
[paragraph, [72.0, 725.0, 344.0, 18.0], irhcAYPok7, 5769959]
[paragraph, [72.0, 743.0, 344.0, 18.0], irhcAYPok7, 5769959]
[paragraph, [72.0, 761.0, 344.0, 18.0], irhcAYPok7, 5769959]
[paragraph, [72.0, 779.0, 344.0, 18.0], irhcAYPok7, 5769959]
[paragraph, [72.0, 797.0, 344.0, 18.0], irhcAYPok7, 5769959]
[paragraph, [72.0, 815.0, 344.0, 18.0], irhcAYPok7, 5769959]
[paragraph, [420.0, 706.0, 338.0, 18.0], _eN_iNfE-Y, 5769959]
[paragraph, [420.0, 724.0, 338.0, 18.0], _eN_iNfE-Y, 5769959]
[paragraph, [420.0, 742.0, 338.0, 18.0], _eN_iNfE-Y, 5769959]
[paragraph, [420.0, 760.0, 338.0, 18.0], _eN_iNfE-Y, 5769959]
[paragraph, [420.0, 778.0, 338.0, 18.0], _eN_iNfE-Y, 5769959]
[paragraph, [420.0, 796.0, 338.0, 18.0], _eN_iNfE-Y, 5769959]
[paragraph, [420.0, 814.0, 338.0, 18.0], _eN_iNfE-Y, 5769959]
[paragraph, [420.0, 832.0, 338.0, 18.0], _eN_iNfE-Y, 5769959]
[paragraph, [420.0, 850.0, 338.0, 18.0], _eN_iNfE-Y, 5769959]
[paragraph, [420.0, 868.0, 338.0, 18.0], _eN_iNfE-Y, 5769959]
[paragraph, [420.0, 886.0, 338.0, 18.0], _eN_iNfE-Y, 5769959]
[paragraph, [420.0, 904.0, 338.0, 18.0], _eN_iNfE-Y, 5769959]
[paragraph, [420.0, 922.0, 338.0, 18.0], _eN_iNfE-Y, 5769959]
[reference, [67.0, 847.0, 145.0, 18.0], dKPSa3OUIx, 5769959]
[paragraph, [77.0, 877.0, 331.0, 18.0], shoonya_1sHH6VONVYO6CN, 5769959]
[paragraph, [77.0, 895.0, 331.0, 18.0], shoonya_1sHH6VONVYO6CN, 5769959]
[paragraph, [77.0, 913.0, 331.0, 18.0], shoonya_1sHH6VONVYO6CN, 5769959]
[reference, [193.0, 907.0, 121.0, 18.0], LoQRqgfSXE, 5769959]
[reference, [419.0, 936.0, 122.0, 18.0], GdpZ-jDUJG, 5769959]
[paragraph, [68.0, 938.0, 348.0, 18.0], j8ga8PFkrn, 5769959]
[paragraph, [68.0, 956.0, 348.0, 18.0], j8ga8PFkrn, 5769959]
[paragraph, [68.0, 974.0, 348.0, 18.0], j8ga8PFkrn, 5769959]
[paragraph, [68.0, 992.0, 348.0, 18.0], j8ga8PFkrn, 5769959]
[paragraph, [68.0, 1010.0, 348.0, 18.0], j8ga8PFkrn, 5769959]
[paragraph, [68.0, 1028.0, 348.0, 18.0], j8ga8PFkrn, 5769959]
[paragraph, [68.0, 1046.0, 348.0, 18.0], j8ga8PFkrn, 5769959]
[paragraph, [421.0, 971.0, 335.0, 18.0], SJi2sdJ_dv, 5769959]
[paragraph, [421.0, 989.0, 335.0, 18.0], SJi2sdJ_dv, 5769959]
[paragraph, [421.0, 1007.0, 335.0, 18.0], SJi2sdJ_dv, 5769959]
[paragraph, [421.0, 1025.0, 335.0, 18.0], SJi2sdJ_dv, 5769959]
[paragraph, [421.0, 1043.0, 335.0, 18.0], SJi2sdJ_dv, 5769959]
[paragraph, [421.0, 1061.0, 335.0, 18.0], SJi2sdJ_dv, 5769959]
[paragraph, [63.0, 1071.0, 350.0, 18.0], IqElOwQHOX, 5769959]
[paragraph, [63.0, 1089.0, 350.0, 18.0], IqElOwQHOX, 5769959]
[paragraph, [63.0, 1107.0, 350.0, 18.0], IqElOwQHOX, 5769959]
[paragraph, [63.0, 1125.0, 350.0, 18.0], IqElOwQHOX, 5769959]
[paragraph, [63.0, 1143.0, 350.0, 18.0], IqElOwQHOX, 5769959]
[paragraph, [417.0, 1076.0, 339.0, 18.0], xNi0fu5hJI, 5769959]
[paragraph, [417.0, 1094.0, 339.0, 18.0], xNi0fu5hJI, 5769959]
[paragraph, [417.0, 1112.0, 339.0, 18.0], xNi0fu5hJI, 5769959]
[paragraph, [417.0, 1130.0, 339.0, 18.0], xNi0fu5hJI, 5769959]
[paragraph, [417.0, 1148.0, 339.0, 18.0], xNi0fu5hJI, 5769959]
[paragraph, [417.0, 1166.0, 339.0, 18.0], xNi0fu5hJI, 5769959]
[footnote, [118.0, 1180.0, 507.0, 18.0], shoonya_2sWX9AAHUHFJO9, 5769959]
