[3300, 2550]
[paragraph, [260.0, 261.0, 2014.0, 52.5], shoonya_1s5GQTWFB29TPQ, 5720585]
[paragraph, [260.0, 313.5, 2014.0, 52.5], shoonya_1s5GQTWFB29TPQ, 5720585]
[paragraph, [260.0, 366.0, 2014.0, 52.5], shoonya_1s5GQTWFB29TPQ, 5720585]
[paragraph, [260.0, 418.5, 2014.0, 52.5], shoonya_1s5GQTWFB29TPQ, 5720585]
[paragraph, [260.0, 471.0, 2014.0, 52.5], shoonya_1s5GQTWFB29TPQ, 5720585]
[paragraph, [260.0, 523.5, 2014.0, 52.5], shoonya_1s5GQTWFB29TPQ, 5720585]
[paragraph, [260.0, 576.0, 2014.0, 52.5], shoonya_1s5GQTWFB29TPQ, 5720585]
[paragraph, [277.0, 689.0, 1065.0, 52.5], CsFv7EdyJB, 5720585]
[paragraph, [277.0, 741.5, 1065.0, 52.5], CsFv7EdyJB, 5720585]
[paragraph, [271.0, 842.0, 2013.0, 52.5], PPG1Bg4wCW, 5720585]
[paragraph, [271.0, 894.5, 2013.0, 52.5], PPG1Bg4wCW, 5720585]
[paragraph, [271.0, 947.0, 2013.0, 52.5], PPG1Bg4wCW, 5720585]
[paragraph, [271.0, 999.5, 2013.0, 52.5], PPG1Bg4wCW, 5720585]
[paragraph, [271.0, 1052.0, 2013.0, 52.5], PPG1Bg4wCW, 5720585]
[paragraph, [271.0, 1104.5, 2013.0, 52.5], PPG1Bg4wCW, 5720585]
[paragraph, [271.0, 1157.0, 2013.0, 52.5], PPG1Bg4wCW, 5720585]
[paragraph, [271.0, 1209.5, 2013.0, 52.5], PPG1Bg4wCW, 5720585]
[paragraph, [271.0, 1262.0, 2013.0, 52.5], PPG1Bg4wCW, 5720585]
[paragraph, [261.0, 1350.0, 2020.0, 52.5], 8SByWX3PHd, 5720585]
[paragraph, [261.0, 1402.5, 2020.0, 52.5], 8SByWX3PHd, 5720585]
[paragraph, [261.0, 1455.0, 2020.0, 52.5], 8SByWX3PHd, 5720585]
[paragraph, [261.0, 1507.5, 2020.0, 52.5], 8SByWX3PHd, 5720585]
[paragraph, [261.0, 1560.0, 2020.0, 52.5], 8SByWX3PHd, 5720585]
[paragraph, [261.0, 1612.5, 2020.0, 52.5], 8SByWX3PHd, 5720585]
[paragraph, [261.0, 1665.0, 2020.0, 52.5], 8SByWX3PHd, 5720585]
[paragraph, [261.0, 1717.5, 2020.0, 52.5], 8SByWX3PHd, 5720585]
[paragraph, [261.0, 1770.0, 2020.0, 52.5], 8SByWX3PHd, 5720585]
[paragraph, [261.0, 1822.5, 2020.0, 52.5], 8SByWX3PHd, 5720585]
[paragraph, [261.0, 1875.0, 2020.0, 52.5], 8SByWX3PHd, 5720585]
[paragraph, [261.0, 1927.5, 2020.0, 52.5], 8SByWX3PHd, 5720585]
[paragraph, [261.0, 1980.0, 2020.0, 52.5], 8SByWX3PHd, 5720585]
[paragraph, [261.0, 2032.5, 2020.0, 52.5], 8SByWX3PHd, 5720585]
[paragraph, [258.0, 2141.0, 2048.0, 52.5], jJfrnaOuKm, 5720585]
[paragraph, [258.0, 2193.5, 2048.0, 52.5], jJfrnaOuKm, 5720585]
[paragraph, [258.0, 2246.0, 2048.0, 52.5], jJfrnaOuKm, 5720585]
[paragraph, [258.0, 2298.5, 2048.0, 52.5], jJfrnaOuKm, 5720585]
[paragraph, [258.0, 2351.0, 2048.0, 52.5], jJfrnaOuKm, 5720585]
[paragraph, [258.0, 2403.5, 2048.0, 52.5], jJfrnaOuKm, 5720585]
[paragraph, [258.0, 2456.0, 2048.0, 52.5], jJfrnaOuKm, 5720585]
[paragraph, [258.0, 2508.5, 2048.0, 52.5], jJfrnaOuKm, 5720585]
[paragraph, [258.0, 2561.0, 2048.0, 52.5], jJfrnaOuKm, 5720585]
[paragraph, [258.0, 2613.5, 2048.0, 52.5], jJfrnaOuKm, 5720585]
[paragraph, [258.0, 2666.0, 2048.0, 52.5], jJfrnaOuKm, 5720585]
[paragraph, [258.0, 2718.5, 2048.0, 52.5], jJfrnaOuKm, 5720585]
