[1388, 886]
[folio, [365.0, 61.0, 165.0, 18.0], shoonya_1sXGOF0OYXSD21, 5742033]
[folio, [365.0, 79.0, 165.0, 18.0], shoonya_1sXGOF0OYXSD21, 5742033]
[paragraph, [37.0, 130.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 148.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 166.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 184.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 202.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 220.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 238.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 256.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 274.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 292.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 310.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 328.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 346.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 364.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 382.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 400.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 418.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 436.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 454.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 472.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 490.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 508.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 526.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 544.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 562.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 580.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 598.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 616.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 634.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 652.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 670.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 688.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
[paragraph, [37.0, 706.0, 403.0, 18.0], iZ3J-GcRd-, 5742033]
