[2200, 1700]
[unordered-list, [420.0, 106.0, 1090.0, 36.0], 4VXWv9UP63, 5734568]
[unordered-list, [420.0, 142.0, 1090.0, 36.0], 4VXWv9UP63, 5734568]
[unordered-list, [420.0, 178.0, 1090.0, 36.0], 4VXWv9UP63, 5734568]
[unordered-list, [420.0, 214.0, 1090.0, 36.0], 4VXWv9UP63, 5734568]
[section-title, [373.0, 414.0, 192.0, 52.5], shoonya_0sVKWHESVTN9R2, 5734568]
[paragraph, [368.0, 483.0, 1140.0, 36.0], shoonya_1sQB4L75W50YW9, 5734568]
[paragraph, [368.0, 519.0, 1140.0, 36.0], shoonya_1sQB4L75W50YW9, 5734568]
[paragraph, [368.0, 555.0, 1140.0, 36.0], shoonya_1sQB4L75W50YW9, 5734568]
[paragraph, [368.0, 591.0, 1140.0, 36.0], shoonya_1sQB4L75W50YW9, 5734568]
[paragraph, [368.0, 627.0, 1140.0, 36.0], shoonya_1sQB4L75W50YW9, 5734568]
[paragraph, [368.0, 663.0, 1140.0, 36.0], shoonya_1sQB4L75W50YW9, 5734568]
[paragraph, [368.0, 699.0, 1140.0, 36.0], shoonya_1sQB4L75W50YW9, 5734568]
[paragraph, [368.0, 735.0, 1140.0, 36.0], shoonya_1sQB4L75W50YW9, 5734568]
[paragraph, [368.0, 771.0, 1140.0, 36.0], shoonya_1sQB4L75W50YW9, 5734568]
[paragraph, [368.0, 807.0, 1140.0, 36.0], shoonya_1sQB4L75W50YW9, 5734568]
[ordered-list, [360.0, 879.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 915.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 951.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 987.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1023.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1059.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1095.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1131.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1167.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1203.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1239.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1275.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1311.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1347.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1383.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1419.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1455.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1491.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1527.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1563.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1599.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1635.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1671.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1707.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1743.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1779.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1815.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1851.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1887.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1923.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1959.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
[ordered-list, [360.0, 1995.0, 1165.0, 36.0], _-_IvgyiC9, 5734568]
