[3509, 2480]
[paragraph, [323.0, 388.0, 1819.0, 52.5], shoonya_0sEIDP4XCT9G1C, 5723846]
[paragraph, [323.0, 440.5, 1819.0, 52.5], shoonya_0sEIDP4XCT9G1C, 5723846]
[paragraph, [323.0, 493.0, 1819.0, 52.5], shoonya_0sEIDP4XCT9G1C, 5723846]
[paragraph, [323.0, 545.5, 1819.0, 52.5], shoonya_0sEIDP4XCT9G1C, 5723846]
[paragraph, [323.0, 598.0, 1819.0, 52.5], shoonya_0sEIDP4XCT9G1C, 5723846]
[paragraph, [323.0, 650.5, 1819.0, 52.5], shoonya_0sEIDP4XCT9G1C, 5723846]
[paragraph, [323.0, 703.0, 1819.0, 52.5], shoonya_0sEIDP4XCT9G1C, 5723846]
[paragraph, [323.0, 755.5, 1819.0, 52.5], shoonya_0sEIDP4XCT9G1C, 5723846]
[paragraph, [323.0, 808.0, 1819.0, 52.5], shoonya_0sEIDP4XCT9G1C, 5723846]
[paragraph, [323.0, 860.5, 1819.0, 52.5], shoonya_0sEIDP4XCT9G1C, 5723846]
[paragraph, [323.0, 913.0, 1819.0, 52.5], shoonya_0sEIDP4XCT9G1C, 5723846]
[paragraph, [323.0, 965.5, 1819.0, 52.5], shoonya_0sEIDP4XCT9G1C, 5723846]
[paragraph, [325.0, 1090.0, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 1142.5, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 1195.0, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 1247.5, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 1300.0, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 1352.5, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 1405.0, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 1457.5, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 1510.0, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 1562.5, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 1615.0, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 1667.5, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 1720.0, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 1772.5, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 1825.0, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 1877.5, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 1930.0, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 1982.5, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 2035.0, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 2087.5, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 2140.0, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 2192.5, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 2245.0, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 2297.5, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 2350.0, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 2402.5, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 2455.0, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 2507.5, 1817.0, 52.5], 8BSjSyx0hv, 5723846]
[paragraph, [325.0, 2796.0, 1814.0, 52.5], 73ZXMxLHXg, 5723846]
[paragraph, [325.0, 2848.5, 1814.0, 52.5], 73ZXMxLHXg, 5723846]
[paragraph, [325.0, 2901.0, 1814.0, 52.5], 73ZXMxLHXg, 5723846]
[paragraph, [325.0, 2953.5, 1814.0, 52.5], 73ZXMxLHXg, 5723846]
[paragraph, [325.0, 3006.0, 1814.0, 52.5], 73ZXMxLHXg, 5723846]
[paragraph, [325.0, 3058.5, 1814.0, 52.5], 73ZXMxLHXg, 5723846]
