[1518, 1075]
[headline, [242.0, 269.0, 508.0, 37.5], shoonya_5s03AUVSVV4890, 5722118]
[sub-headline, [285.0, 349.0, 464.0, 36.0], shoonya_9s2VSRQYX5HHNF, 5722118]
[paragraph, [534.0, 438.0, 428.0, 36.0], shoonya_1sB4OZEU9C1KV2, 5722118]
[paragraph, [534.0, 474.0, 428.0, 36.0], shoonya_1sB4OZEU9C1KV2, 5722118]
[paragraph, [534.0, 510.0, 428.0, 36.0], shoonya_1sB4OZEU9C1KV2, 5722118]
[paragraph, [534.0, 546.0, 428.0, 36.0], shoonya_1sB4OZEU9C1KV2, 5722118]
[paragraph, [534.0, 582.0, 428.0, 36.0], shoonya_1sB4OZEU9C1KV2, 5722118]
[paragraph, [534.0, 618.0, 428.0, 36.0], shoonya_1sB4OZEU9C1KV2, 5722118]
[paragraph, [534.0, 654.0, 428.0, 36.0], shoonya_1sB4OZEU9C1KV2, 5722118]
[paragraph, [90.0, 439.0, 428.0, 36.0], shoonya_2sTLVYMYO8TARW, 5722118]
[paragraph, [90.0, 475.0, 428.0, 36.0], shoonya_2sTLVYMYO8TARW, 5722118]
[paragraph, [90.0, 511.0, 428.0, 36.0], shoonya_2sTLVYMYO8TARW, 5722118]
[paragraph, [90.0, 547.0, 428.0, 36.0], shoonya_2sTLVYMYO8TARW, 5722118]
[paragraph, [90.0, 583.0, 428.0, 36.0], shoonya_2sTLVYMYO8TARW, 5722118]
[paragraph, [91.0, 632.0, 425.0, 36.0], shoonya_0sFBPTP19VAVVX, 5722118]
[paragraph, [91.0, 668.0, 425.0, 36.0], shoonya_0sFBPTP19VAVVX, 5722118]
[paragraph, [91.0, 704.0, 425.0, 36.0], shoonya_0sFBPTP19VAVVX, 5722118]
[paragraph, [91.0, 740.0, 425.0, 36.0], shoonya_0sFBPTP19VAVVX, 5722118]
[paragraph, [91.0, 776.0, 425.0, 36.0], shoonya_0sFBPTP19VAVVX, 5722118]
[paragraph, [91.0, 812.0, 425.0, 36.0], shoonya_0sFBPTP19VAVVX, 5722118]
[paragraph, [534.0, 713.0, 424.0, 36.0], shoonya_3s88FAKO7WB9VB, 5722118]
[paragraph, [534.0, 749.0, 424.0, 36.0], shoonya_3s88FAKO7WB9VB, 5722118]
[paragraph, [534.0, 785.0, 424.0, 36.0], shoonya_3s88FAKO7WB9VB, 5722118]
[paragraph, [534.0, 821.0, 424.0, 36.0], shoonya_3s88FAKO7WB9VB, 5722118]
[paragraph, [534.0, 857.0, 424.0, 36.0], shoonya_3s88FAKO7WB9VB, 5722118]
[paragraph, [91.0, 876.0, 427.0, 36.0], shoonya_4sEZA62HWMH9LV, 5722118]
[paragraph, [91.0, 912.0, 427.0, 36.0], shoonya_4sEZA62HWMH9LV, 5722118]
[paragraph, [91.0, 948.0, 427.0, 36.0], shoonya_4sEZA62HWMH9LV, 5722118]
[paragraph, [91.0, 984.0, 427.0, 36.0], shoonya_4sEZA62HWMH9LV, 5722118]
[paragraph, [91.0, 1020.0, 427.0, 36.0], shoonya_4sEZA62HWMH9LV, 5722118]
[paragraph, [91.0, 1056.0, 427.0, 36.0], shoonya_4sEZA62HWMH9LV, 5722118]
[paragraph, [91.0, 1092.0, 427.0, 36.0], shoonya_4sEZA62HWMH9LV, 5722118]
[paragraph, [91.0, 1128.0, 427.0, 36.0], shoonya_4sEZA62HWMH9LV, 5722118]
[paragraph, [534.0, 932.0, 423.0, 36.0], PVZMDwQH55, 5722118]
[paragraph, [534.0, 968.0, 423.0, 36.0], PVZMDwQH55, 5722118]
[paragraph, [534.0, 1004.0, 423.0, 36.0], PVZMDwQH55, 5722118]
[paragraph, [534.0, 1040.0, 423.0, 36.0], PVZMDwQH55, 5722118]
[paragraph, [534.0, 1076.0, 423.0, 36.0], PVZMDwQH55, 5722118]
[paragraph, [534.0, 1112.0, 423.0, 36.0], PVZMDwQH55, 5722118]
[paragraph, [533.0, 1171.0, 426.0, 36.0], VAxmln1MSt, 5722118]
[paragraph, [90.0, 1257.0, 870.0, 36.0], RW9uDoxp9M, 5722118]
[paragraph, [90.0, 1293.0, 870.0, 36.0], RW9uDoxp9M, 5722118]
[folio, [662.0, 1388.0, 215.0, 36.0], oWdby-isUY, 5722118]
