[1729, 1317]
[quote, [560.0, 138.0, 538.0, 36.0], ZBCQLTy7PI, 5772214]
[quote, [560.0, 174.0, 538.0, 36.0], ZBCQLTy7PI, 5772214]
[quote, [560.0, 210.0, 538.0, 36.0], ZBCQLTy7PI, 5772214]
[paragraph, [124.0, 141.0, 422.0, 36.0], shoonya_6sYU8N9BA1H6BH, 5772214]
[paragraph, [122.0, 205.0, 424.0, 36.0], shoonya_1sSI0YQU0324P9, 5772214]
[paragraph, [122.0, 241.0, 424.0, 36.0], shoonya_1sSI0YQU0324P9, 5772214]
[paragraph, [122.0, 277.0, 424.0, 36.0], shoonya_1sSI0YQU0324P9, 5772214]
[paragraph, [122.0, 313.0, 424.0, 36.0], shoonya_1sSI0YQU0324P9, 5772214]
[paragraph, [122.0, 349.0, 424.0, 36.0], shoonya_1sSI0YQU0324P9, 5772214]
[paragraph, [122.0, 385.0, 424.0, 36.0], shoonya_1sSI0YQU0324P9, 5772214]
[paragraph, [122.0, 421.0, 424.0, 36.0], shoonya_1sSI0YQU0324P9, 5772214]
[paragraph, [122.0, 457.0, 424.0, 36.0], shoonya_1sSI0YQU0324P9, 5772214]
[paragraph, [122.0, 493.0, 424.0, 36.0], shoonya_1sSI0YQU0324P9, 5772214]
[paragraph, [122.0, 529.0, 424.0, 36.0], shoonya_1sSI0YQU0324P9, 5772214]
[paragraph, [122.0, 565.0, 424.0, 36.0], shoonya_1sSI0YQU0324P9, 5772214]
[paragraph, [122.0, 601.0, 424.0, 36.0], shoonya_1sSI0YQU0324P9, 5772214]
[paragraph, [120.0, 643.0, 431.0, 36.0], shoonya_15sFKVVWFK7KFS, 5772214]
[paragraph, [120.0, 679.0, 431.0, 36.0], shoonya_15sFKVVWFK7KFS, 5772214]
[paragraph, [664.0, 693.0, 522.0, 36.0], shoonya_10s70QTQTVM05G, 5772214]
[paragraph, [664.0, 729.0, 522.0, 36.0], shoonya_10s70QTQTVM05G, 5772214]
[paragraph, [664.0, 765.0, 522.0, 36.0], shoonya_10s70QTQTVM05G, 5772214]
[paragraph, [664.0, 801.0, 522.0, 36.0], shoonya_10s70QTQTVM05G, 5772214]
[paragraph, [118.0, 736.0, 530.0, 36.0], shoonya_14sHA32JKLIEWY, 5772214]
[paragraph, [122.0, 798.0, 526.0, 36.0], shoonya_7s5QVVZ4LT31MD, 5772214]
[paragraph, [122.0, 834.0, 526.0, 36.0], shoonya_7s5QVVZ4LT31MD, 5772214]
[paragraph, [122.0, 870.0, 526.0, 36.0], shoonya_7s5QVVZ4LT31MD, 5772214]
[paragraph, [122.0, 906.0, 526.0, 36.0], shoonya_7s5QVVZ4LT31MD, 5772214]
[paragraph, [122.0, 942.0, 526.0, 36.0], shoonya_7s5QVVZ4LT31MD, 5772214]
[paragraph, [122.0, 978.0, 526.0, 36.0], shoonya_7s5QVVZ4LT31MD, 5772214]
[paragraph, [663.0, 854.0, 528.0, 36.0], shoonya_19sMMJKMPJSX50, 5772214]
[paragraph, [663.0, 890.0, 528.0, 36.0], shoonya_19sMMJKMPJSX50, 5772214]
[paragraph, [663.0, 926.0, 528.0, 36.0], shoonya_19sMMJKMPJSX50, 5772214]
[paragraph, [663.0, 962.0, 528.0, 36.0], shoonya_19sMMJKMPJSX50, 5772214]
[paragraph, [663.0, 998.0, 528.0, 36.0], shoonya_19sMMJKMPJSX50, 5772214]
[paragraph, [664.0, 1033.0, 530.0, 36.0], blirl_WjZc, 5772214]
[paragraph, [664.0, 1069.0, 530.0, 36.0], blirl_WjZc, 5772214]
[paragraph, [126.0, 1048.0, 523.0, 36.0], shoonya_8sUB306DAF8YQ3, 5772214]
[paragraph, [123.0, 1111.0, 525.0, 36.0], shoonya_5sLJ8UKZDFWZGT, 5772214]
[paragraph, [123.0, 1147.0, 525.0, 36.0], shoonya_5sLJ8UKZDFWZGT, 5772214]
[paragraph, [123.0, 1183.0, 525.0, 36.0], shoonya_5sLJ8UKZDFWZGT, 5772214]
[paragraph, [667.0, 1133.0, 524.0, 36.0], shoonya_12sRXG17Y7ANT9, 5772214]
[paragraph, [667.0, 1169.0, 524.0, 36.0], shoonya_12sRXG17Y7ANT9, 5772214]
[paragraph, [667.0, 1205.0, 524.0, 36.0], shoonya_12sRXG17Y7ANT9, 5772214]
[paragraph, [122.0, 1236.0, 527.0, 36.0], shoonya_2sHW4UHL2O79RS, 5772214]
[paragraph, [122.0, 1272.0, 527.0, 36.0], shoonya_2sHW4UHL2O79RS, 5772214]
[paragraph, [122.0, 1308.0, 527.0, 36.0], shoonya_2sHW4UHL2O79RS, 5772214]
[paragraph, [122.0, 1344.0, 527.0, 36.0], shoonya_2sHW4UHL2O79RS, 5772214]
[paragraph, [664.0, 1257.0, 526.0, 36.0], shoonya_13s40TMY2R5K3C, 5772214]
[paragraph, [664.0, 1293.0, 526.0, 36.0], shoonya_13s40TMY2R5K3C, 5772214]
[paragraph, [664.0, 1329.0, 526.0, 36.0], shoonya_13s40TMY2R5K3C, 5772214]
[paragraph, [666.0, 1384.0, 526.0, 36.0], shoonya_4sSSRG1MLINCGA, 5772214]
[paragraph, [666.0, 1420.0, 526.0, 36.0], shoonya_4sSSRG1MLINCGA, 5772214]
[paragraph, [666.0, 1456.0, 526.0, 36.0], shoonya_4sSSRG1MLINCGA, 5772214]
[paragraph, [666.0, 1492.0, 526.0, 36.0], shoonya_4sSSRG1MLINCGA, 5772214]
[paragraph, [122.0, 1392.0, 530.0, 36.0], shoonya_3s1VJ9B1MJ8HOE, 5772214]
[paragraph, [122.0, 1428.0, 530.0, 36.0], shoonya_3s1VJ9B1MJ8HOE, 5772214]
[paragraph, [122.0, 1464.0, 530.0, 36.0], shoonya_3s1VJ9B1MJ8HOE, 5772214]
[paragraph, [122.0, 1500.0, 530.0, 36.0], shoonya_3s1VJ9B1MJ8HOE, 5772214]
[folio, [565.0, 1569.0, 187.0, 36.0], paKzqTMb2k, 5772214]
