[2667, 1880]
[headline, [135.0, 97.0, 1608.0, 52.5], shoonya_3sKLFGZTR3SWKM, 6473865]
[headline, [135.0, 149.5, 1608.0, 52.5], shoonya_3sKLFGZTR3SWKM, 6473865]
[headline, [135.0, 202.0, 1608.0, 52.5], shoonya_3sKLFGZTR3SWKM, 6473865]
[headline, [135.0, 254.5, 1608.0, 52.5], shoonya_3sKLFGZTR3SWKM, 6473865]
[headline, [135.0, 307.0, 1608.0, 52.5], shoonya_3sKLFGZTR3SWKM, 6473865]
[headline, [135.0, 359.5, 1608.0, 52.5], shoonya_3sKLFGZTR3SWKM, 6473865]
[headline, [135.0, 412.0, 1608.0, 52.5], shoonya_3sKLFGZTR3SWKM, 6473865]
[headline, [135.0, 464.5, 1608.0, 52.5], shoonya_3sKLFGZTR3SWKM, 6473865]
[headline, [135.0, 517.0, 1608.0, 52.5], shoonya_3sKLFGZTR3SWKM, 6473865]
[figure-caption, [775.0, 650.0, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 696.5, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 743.0, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 789.5, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 836.0, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 882.5, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 929.0, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 975.5, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 1022.0, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 1068.5, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 1115.0, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 1161.5, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 1208.0, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 1254.5, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 1301.0, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 1347.5, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 1394.0, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 1440.5, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 1487.0, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 1533.5, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 1580.0, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 1626.5, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 1673.0, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 1719.5, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 1766.0, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[figure-caption, [775.0, 1812.5, 708.0, 46.5], 0DWcMGTWwu, 6473865]
[paragraph, [56.0, 2135.0, 1771.0, 46.5], shoonya_1sNJGTU6SU5DE4, 6473865]
[paragraph, [56.0, 2181.5, 1771.0, 46.5], shoonya_1sNJGTU6SU5DE4, 6473865]
[paragraph, [56.0, 2228.0, 1771.0, 46.5], shoonya_1sNJGTU6SU5DE4, 6473865]
[paragraph, [56.0, 2274.5, 1771.0, 46.5], shoonya_1sNJGTU6SU5DE4, 6473865]
[contact-info, [833.0, 2445.0, 774.0, 46.5], shoonya_2sBIWPNK18G2IX, 6473865]
[contact-info, [833.0, 2491.5, 774.0, 46.5], shoonya_2sBIWPNK18G2IX, 6473865]
[contact-info, [833.0, 2538.0, 774.0, 46.5], shoonya_2sBIWPNK18G2IX, 6473865]
[contact-info, [833.0, 2584.5, 774.0, 46.5], shoonya_2sBIWPNK18G2IX, 6473865]
