[872, 605]
[section-title, [250.0, 29.0, 112.0, 30.0], HHITy72WDm, 6457174]
[folio, [35.0, 30.0, 85.0, 18.0], shoonya_0sI17TYSTFNEFX, 6457174]
[paragraph, [36.0, 68.0, 261.0, 18.0], fohE5ihviX, 6457174]
[paragraph, [36.0, 86.0, 261.0, 18.0], fohE5ihviX, 6457174]
[paragraph, [36.0, 104.0, 261.0, 18.0], fohE5ihviX, 6457174]
[paragraph, [36.0, 122.0, 261.0, 18.0], fohE5ihviX, 6457174]
[paragraph, [36.0, 140.0, 261.0, 18.0], fohE5ihviX, 6457174]
[paragraph, [313.0, 72.0, 220.0, 18.0], tYFhD-5MaB, 6457174]
[paragraph, [313.0, 90.0, 220.0, 18.0], tYFhD-5MaB, 6457174]
[paragraph, [297.0, 114.0, 260.0, 18.0], iETO4qaEnx, 6457174]
[paragraph, [297.0, 132.0, 260.0, 18.0], iETO4qaEnx, 6457174]
[paragraph, [301.0, 155.0, 257.0, 18.0], wMZvtmnmWv, 6457174]
[paragraph, [301.0, 173.0, 257.0, 18.0], wMZvtmnmWv, 6457174]
[paragraph, [301.0, 191.0, 257.0, 18.0], wMZvtmnmWv, 6457174]
[paragraph, [301.0, 209.0, 257.0, 18.0], wMZvtmnmWv, 6457174]
[paragraph, [301.0, 227.0, 257.0, 18.0], wMZvtmnmWv, 6457174]
[paragraph, [301.0, 245.0, 257.0, 18.0], wMZvtmnmWv, 6457174]
[paragraph, [301.0, 263.0, 257.0, 18.0], wMZvtmnmWv, 6457174]
[paragraph, [301.0, 281.0, 257.0, 18.0], wMZvtmnmWv, 6457174]
[paragraph, [37.0, 162.0, 244.0, 18.0], 2CPaFqsafZ, 6457174]
[paragraph, [39.0, 180.0, 255.0, 18.0], o7GU_LKnq7, 6457174]
[paragraph, [39.0, 198.0, 255.0, 18.0], o7GU_LKnq7, 6457174]
[paragraph, [39.0, 214.0, 249.0, 18.0], OZDlLhLQwd, 6457174]
[paragraph, [39.0, 232.0, 249.0, 18.0], OZDlLhLQwd, 6457174]
[paragraph, [38.0, 248.0, 262.0, 18.0], j6-jd8IIOj, 6457174]
[paragraph, [38.0, 266.0, 262.0, 18.0], j6-jd8IIOj, 6457174]
[paragraph, [39.0, 285.0, 258.0, 18.0], EadU_T8J8t, 6457174]
[paragraph, [39.0, 303.0, 258.0, 18.0], EadU_T8J8t, 6457174]
[paragraph, [39.0, 321.0, 258.0, 18.0], EadU_T8J8t, 6457174]
[paragraph, [39.0, 339.0, 258.0, 18.0], EadU_T8J8t, 6457174]
[paragraph, [301.0, 310.0, 258.0, 18.0], Uos5kNTkXu, 6457174]
[paragraph, [301.0, 328.0, 258.0, 18.0], Uos5kNTkXu, 6457174]
[paragraph, [301.0, 346.0, 258.0, 18.0], Uos5kNTkXu, 6457174]
[paragraph, [301.0, 364.0, 258.0, 18.0], Uos5kNTkXu, 6457174]
[paragraph, [41.0, 357.0, 225.0, 18.0], nYOGmLqVYS, 6457174]
[paragraph, [53.0, 381.0, 229.0, 18.0], h4s9vdTaqI, 6457174]
[paragraph, [315.0, 388.0, 219.0, 18.0], MEP117owqM, 6457174]
[paragraph, [315.0, 406.0, 219.0, 18.0], MEP117owqM, 6457174]
[paragraph, [315.0, 424.0, 219.0, 18.0], MEP117owqM, 6457174]
[paragraph, [315.0, 442.0, 219.0, 18.0], MEP117owqM, 6457174]
[paragraph, [52.0, 401.0, 203.0, 18.0], 6mfxLa8hg8, 6457174]
[paragraph, [52.0, 419.0, 203.0, 18.0], 6mfxLa8hg8, 6457174]
