[1240, 875]
[headline, [72.0, 114.0, 719.0, 25.5], shoonya_0sS7V00HI1ZXDH, 5773605]
[headline, [72.0, 139.5, 719.0, 25.5], shoonya_0sS7V00HI1ZXDH, 5773605]
[headline, [72.0, 165.0, 719.0, 25.5], shoonya_0sS7V00HI1ZXDH, 5773605]
[headline, [72.0, 190.5, 719.0, 25.5], shoonya_0sS7V00HI1ZXDH, 5773605]
[headline, [72.0, 216.0, 719.0, 25.5], shoonya_0sS7V00HI1ZXDH, 5773605]
[headline, [72.0, 241.5, 719.0, 25.5], shoonya_0sS7V00HI1ZXDH, 5773605]
[paragraph, [57.0, 331.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 349.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 367.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 385.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 403.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 421.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 439.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 457.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 475.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 493.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 511.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 529.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 547.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 565.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 583.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 601.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 619.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 637.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 655.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 673.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 691.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 709.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 727.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 745.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 763.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 781.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 799.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 817.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 835.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 853.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 871.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 889.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 907.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 925.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 943.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 961.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 979.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 997.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 1015.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 1033.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 1051.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 1069.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 1087.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 1105.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 1123.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
[paragraph, [57.0, 1141.0, 780.0, 18.0], V8hLS3D3QT, 5773605]
