[842, 595]
[headline, [165.0, 72.0, 243.0, 25.5], LgbN3-Arva, 6459781]
[author, [114.0, 115.0, 341.0, 18.0], aTwlIj17ju, 6459781]
[author, [114.0, 133.0, 341.0, 18.0], aTwlIj17ju, 6459781]
[author, [114.0, 151.0, 341.0, 18.0], aTwlIj17ju, 6459781]
[paragraph, [63.0, 183.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 201.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 219.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 237.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 255.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 273.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 291.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 309.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 327.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 345.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 363.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 381.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 399.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 417.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 435.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 453.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 471.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 489.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 507.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 525.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 543.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 561.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 579.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [63.0, 597.0, 444.0, 18.0], shoonya_0sMBOHW3CK0FJP, 6459781]
[paragraph, [64.0, 616.0, 444.0, 18.0], dOQ-ohLaCN, 6459781]
[paragraph, [64.0, 634.0, 444.0, 18.0], dOQ-ohLaCN, 6459781]
[paragraph, [64.0, 652.0, 444.0, 18.0], dOQ-ohLaCN, 6459781]
[paragraph, [64.0, 670.0, 444.0, 18.0], dOQ-ohLaCN, 6459781]
[paragraph, [64.0, 688.0, 444.0, 18.0], dOQ-ohLaCN, 6459781]
[paragraph, [64.0, 706.0, 444.0, 18.0], dOQ-ohLaCN, 6459781]
