[842, 596]
[ordered-list, [85.0, 68.0, 170.0, 18.0], xENnPbiQJX, 6461886]
[ordered-list, [63.0, 89.0, 216.0, 18.0], F3iLERjq2D, 6461886]
[ordered-list, [63.0, 107.0, 216.0, 18.0], F3iLERjq2D, 6461886]
[ordered-list, [63.0, 125.0, 216.0, 18.0], F3iLERjq2D, 6461886]
[ordered-list, [63.0, 143.0, 216.0, 18.0], F3iLERjq2D, 6461886]
[ordered-list, [63.0, 161.0, 216.0, 18.0], F3iLERjq2D, 6461886]
[ordered-list, [63.0, 179.0, 216.0, 18.0], F3iLERjq2D, 6461886]
[ordered-list, [63.0, 197.0, 216.0, 18.0], F3iLERjq2D, 6461886]
[ordered-list, [63.0, 215.0, 216.0, 18.0], F3iLERjq2D, 6461886]
[ordered-list, [63.0, 233.0, 216.0, 18.0], F3iLERjq2D, 6461886]
[ordered-list, [63.0, 251.0, 216.0, 18.0], F3iLERjq2D, 6461886]
[ordered-list, [63.0, 269.0, 216.0, 18.0], F3iLERjq2D, 6461886]
[ordered-list, [63.0, 287.0, 216.0, 18.0], F3iLERjq2D, 6461886]
[ordered-list, [63.0, 305.0, 216.0, 18.0], F3iLERjq2D, 6461886]
[ordered-list, [63.0, 323.0, 216.0, 18.0], F3iLERjq2D, 6461886]
[sub-ordered-list, [100.0, 109.0, 83.0, 18.0], 3m76BMW_iQ, 6461886]
[sub-ordered-list, [100.0, 127.0, 83.0, 18.0], 3m76BMW_iQ, 6461886]
[sub-ordered-list, [100.0, 145.0, 83.0, 18.0], 3m76BMW_iQ, 6461886]
[sub-ordered-list, [102.0, 201.0, 170.0, 18.0], fmqsKYxEgC, 6461886]
[sub-ordered-list, [102.0, 219.0, 170.0, 18.0], fmqsKYxEgC, 6461886]
[sub-ordered-list, [102.0, 237.0, 170.0, 18.0], fmqsKYxEgC, 6461886]
[subsub-section-title, [135.0, 224.0, 134.0, 15.0], 7UYT4HHwKi, 6461886]
[subsub-section-title, [135.0, 239.0, 134.0, 15.0], 7UYT4HHwKi, 6461886]
[sub-ordered-list, [101.0, 271.0, 170.0, 18.0], ImYgA1stQR, 6461886]
[sub-ordered-list, [101.0, 289.0, 170.0, 18.0], ImYgA1stQR, 6461886]
[sub-ordered-list, [101.0, 307.0, 170.0, 18.0], ImYgA1stQR, 6461886]
[subsub-section-title, [138.0, 289.0, 128.0, 15.0], OfzMGPQpWc, 6461886]
[subsub-section-title, [138.0, 304.0, 128.0, 15.0], OfzMGPQpWc, 6461886]
[subsub-section-title, [138.0, 319.0, 128.0, 15.0], OfzMGPQpWc, 6461886]
