[2339, 1656]
[folio, [434.0, 14.0, 489.0, 36.0], c83_gSVU9o, 5656700]
[section-title, [399.0, 97.0, 857.0, 52.5], fdYZdv3zbY, 5656700]
[author, [538.0, 246.0, 579.0, 36.0], shoonya_4sX92IOSJIQU9K, 5656700]
[contact-info, [469.0, 308.0, 700.0, 36.0], SiGhR1Nwox, 5656700]
[contact-info, [469.0, 344.0, 700.0, 36.0], SiGhR1Nwox, 5656700]
[contact-info, [469.0, 380.0, 700.0, 36.0], SiGhR1Nwox, 5656700]
[contact-info, [469.0, 416.0, 700.0, 36.0], SiGhR1Nwox, 5656700]
[contact-info, [469.0, 452.0, 700.0, 36.0], SiGhR1Nwox, 5656700]
[contact-info, [469.0, 488.0, 700.0, 36.0], SiGhR1Nwox, 5656700]
[paragraph, [99.0, 668.0, 1459.0, 36.0], shoonya_1sYHLEJWV7G6E0, 5656700]
[paragraph, [99.0, 704.0, 1459.0, 36.0], shoonya_1sYHLEJWV7G6E0, 5656700]
[paragraph, [99.0, 740.0, 1459.0, 36.0], shoonya_1sYHLEJWV7G6E0, 5656700]
[paragraph, [99.0, 776.0, 1459.0, 36.0], shoonya_1sYHLEJWV7G6E0, 5656700]
[paragraph, [99.0, 812.0, 1459.0, 36.0], shoonya_1sYHLEJWV7G6E0, 5656700]
[paragraph, [99.0, 848.0, 1459.0, 36.0], shoonya_1sYHLEJWV7G6E0, 5656700]
[paragraph, [99.0, 884.0, 1459.0, 36.0], shoonya_1sYHLEJWV7G6E0, 5656700]
[paragraph, [99.0, 920.0, 1459.0, 36.0], shoonya_1sYHLEJWV7G6E0, 5656700]
[paragraph, [99.0, 956.0, 1459.0, 36.0], shoonya_1sYHLEJWV7G6E0, 5656700]
[paragraph, [99.0, 992.0, 1459.0, 36.0], shoonya_1sYHLEJWV7G6E0, 5656700]
[paragraph, [99.0, 1028.0, 1459.0, 36.0], shoonya_1sYHLEJWV7G6E0, 5656700]
[paragraph, [99.0, 1064.0, 1459.0, 36.0], shoonya_1sYHLEJWV7G6E0, 5656700]
[paragraph, [94.0, 1143.0, 1467.0, 36.0], shoonya_0sV19K7WDBTIMI, 5656700]
[paragraph, [94.0, 1179.0, 1467.0, 36.0], shoonya_0sV19K7WDBTIMI, 5656700]
[paragraph, [94.0, 1215.0, 1467.0, 36.0], shoonya_0sV19K7WDBTIMI, 5656700]
[paragraph, [94.0, 1251.0, 1467.0, 36.0], shoonya_0sV19K7WDBTIMI, 5656700]
[paragraph, [94.0, 1287.0, 1467.0, 36.0], shoonya_0sV19K7WDBTIMI, 5656700]
[paragraph, [94.0, 1323.0, 1467.0, 36.0], shoonya_0sV19K7WDBTIMI, 5656700]
[paragraph, [94.0, 1359.0, 1467.0, 36.0], shoonya_0sV19K7WDBTIMI, 5656700]
[paragraph, [94.0, 1395.0, 1467.0, 36.0], shoonya_0sV19K7WDBTIMI, 5656700]
[paragraph, [94.0, 1431.0, 1467.0, 36.0], shoonya_0sV19K7WDBTIMI, 5656700]
[paragraph, [94.0, 1467.0, 1467.0, 36.0], shoonya_0sV19K7WDBTIMI, 5656700]
[paragraph, [94.0, 1503.0, 1467.0, 36.0], shoonya_0sV19K7WDBTIMI, 5656700]
[paragraph, [94.0, 1539.0, 1467.0, 36.0], shoonya_0sV19K7WDBTIMI, 5656700]
[paragraph, [94.0, 1575.0, 1467.0, 36.0], shoonya_0sV19K7WDBTIMI, 5656700]
[paragraph, [94.0, 1611.0, 1467.0, 36.0], shoonya_0sV19K7WDBTIMI, 5656700]
[paragraph, [94.0, 1647.0, 1467.0, 36.0], shoonya_0sV19K7WDBTIMI, 5656700]
[paragraph, [94.0, 1683.0, 1467.0, 36.0], shoonya_0sV19K7WDBTIMI, 5656700]
[paragraph, [94.0, 1719.0, 1467.0, 36.0], shoonya_0sV19K7WDBTIMI, 5656700]
[paragraph, [94.0, 1755.0, 1467.0, 36.0], shoonya_0sV19K7WDBTIMI, 5656700]
[paragraph, [94.0, 1791.0, 1467.0, 36.0], shoonya_0sV19K7WDBTIMI, 5656700]
[paragraph, [99.0, 1878.0, 1458.0, 36.0], shoonya_2sSGR1K40AMK9Y, 5656700]
[paragraph, [99.0, 1914.0, 1458.0, 36.0], shoonya_2sSGR1K40AMK9Y, 5656700]
[paragraph, [99.0, 1950.0, 1458.0, 36.0], shoonya_2sSGR1K40AMK9Y, 5656700]
[paragraph, [99.0, 1986.0, 1458.0, 36.0], shoonya_2sSGR1K40AMK9Y, 5656700]
[paragraph, [99.0, 2022.0, 1458.0, 36.0], shoonya_2sSGR1K40AMK9Y, 5656700]
[paragraph, [99.0, 2058.0, 1458.0, 36.0], shoonya_2sSGR1K40AMK9Y, 5656700]
[paragraph, [202.0, 2150.0, 1355.0, 36.0], shoonya_5s0JLGONISSIH2, 5656700]
[folio, [334.0, 2258.0, 967.0, 36.0], XbuCAp2GOc, 5656700]
[folio, [334.0, 2294.0, 967.0, 36.0], XbuCAp2GOc, 5656700]
