[2339, 1653]
[folio, [229.0, 334.0, 156.0, 36.0], UDEdgYIwQ2, 5736132]
[folio, [1085.0, 334.0, 323.0, 36.0], CsWS3YKRjF, 5736132]
[sidebar, [1452.0, 937.0, 144.0, 36.0], mgbFYr-IsI, 5736132]
[sidebar, [1452.0, 973.0, 144.0, 36.0], mgbFYr-IsI, 5736132]
[figure-caption, [447.0, 1408.0, 711.0, 36.0], shoonya_5sB9XTPH9CH69D, 5736132]
[paragraph, [236.0, 1499.0, 581.0, 36.0], shoonya_0sE0UMH3NUR1E4, 5736132]
[paragraph, [236.0, 1535.0, 581.0, 36.0], shoonya_0sE0UMH3NUR1E4, 5736132]
[paragraph, [236.0, 1571.0, 581.0, 36.0], shoonya_0sE0UMH3NUR1E4, 5736132]
[paragraph, [236.0, 1607.0, 581.0, 36.0], shoonya_0sE0UMH3NUR1E4, 5736132]
[paragraph, [236.0, 1643.0, 581.0, 36.0], shoonya_0sE0UMH3NUR1E4, 5736132]
[paragraph, [236.0, 1679.0, 581.0, 36.0], shoonya_0sE0UMH3NUR1E4, 5736132]
[paragraph, [236.0, 1715.0, 581.0, 36.0], shoonya_0sE0UMH3NUR1E4, 5736132]
[paragraph, [236.0, 1751.0, 581.0, 36.0], shoonya_0sE0UMH3NUR1E4, 5736132]
[paragraph, [236.0, 1787.0, 581.0, 36.0], shoonya_0sE0UMH3NUR1E4, 5736132]
[paragraph, [236.0, 1823.0, 581.0, 36.0], shoonya_0sE0UMH3NUR1E4, 5736132]
[paragraph, [236.0, 1859.0, 581.0, 36.0], shoonya_0sE0UMH3NUR1E4, 5736132]
[paragraph, [236.0, 1895.0, 581.0, 36.0], shoonya_0sE0UMH3NUR1E4, 5736132]
[paragraph, [835.0, 1499.0, 585.0, 36.0], shoonya_2s8IV7E7UEU382, 5736132]
[paragraph, [835.0, 1535.0, 585.0, 36.0], shoonya_2s8IV7E7UEU382, 5736132]
[paragraph, [835.0, 1571.0, 585.0, 36.0], shoonya_2s8IV7E7UEU382, 5736132]
[paragraph, [835.0, 1607.0, 585.0, 36.0], shoonya_2s8IV7E7UEU382, 5736132]
[paragraph, [835.0, 1679.0, 578.0, 36.0], shoonya_3s6KC7S6WGDW2J, 5736132]
[paragraph, [835.0, 1715.0, 578.0, 36.0], shoonya_3s6KC7S6WGDW2J, 5736132]
[paragraph, [835.0, 1751.0, 578.0, 36.0], shoonya_3s6KC7S6WGDW2J, 5736132]
[paragraph, [835.0, 1787.0, 578.0, 36.0], shoonya_3s6KC7S6WGDW2J, 5736132]
[paragraph, [835.0, 1823.0, 578.0, 36.0], shoonya_3s6KC7S6WGDW2J, 5736132]
[paragraph, [835.0, 1859.0, 578.0, 36.0], shoonya_3s6KC7S6WGDW2J, 5736132]
[paragraph, [835.0, 1895.0, 578.0, 36.0], shoonya_3s6KC7S6WGDW2J, 5736132]
[folio, [241.0, 1965.0, 224.0, 36.0], oef6mubse3, 5736132]
