[906, 612]
[paragraph, [133.0, 74.0, 331.0, 18.0], UAWuMQck4Y, 6459969]
[paragraph, [133.0, 92.0, 331.0, 18.0], UAWuMQck4Y, 6459969]
[paragraph, [133.0, 110.0, 331.0, 18.0], UAWuMQck4Y, 6459969]
[paragraph, [133.0, 128.0, 331.0, 18.0], UAWuMQck4Y, 6459969]
[paragraph, [133.0, 146.0, 331.0, 18.0], UAWuMQck4Y, 6459969]
[paragraph, [133.0, 164.0, 331.0, 18.0], UAWuMQck4Y, 6459969]
[paragraph, [133.0, 182.0, 331.0, 18.0], UAWuMQck4Y, 6459969]
[paragraph, [133.0, 200.0, 331.0, 18.0], UAWuMQck4Y, 6459969]
[paragraph, [120.0, 228.0, 333.0, 18.0], mxZwUXEZcB, 6459969]
[paragraph, [120.0, 246.0, 333.0, 18.0], mxZwUXEZcB, 6459969]
[paragraph, [120.0, 264.0, 333.0, 18.0], mxZwUXEZcB, 6459969]
[paragraph, [120.0, 282.0, 333.0, 18.0], mxZwUXEZcB, 6459969]
[paragraph, [120.0, 300.0, 333.0, 18.0], mxZwUXEZcB, 6459969]
[paragraph, [120.0, 318.0, 333.0, 18.0], mxZwUXEZcB, 6459969]
[paragraph, [120.0, 336.0, 333.0, 18.0], mxZwUXEZcB, 6459969]
[paragraph, [120.0, 354.0, 333.0, 18.0], mxZwUXEZcB, 6459969]
[paragraph, [128.0, 396.0, 332.0, 18.0], 0WbdFR_jlN, 6459969]
[paragraph, [128.0, 414.0, 332.0, 18.0], 0WbdFR_jlN, 6459969]
[paragraph, [128.0, 432.0, 332.0, 18.0], 0WbdFR_jlN, 6459969]
[paragraph, [128.0, 450.0, 332.0, 18.0], 0WbdFR_jlN, 6459969]
[paragraph, [128.0, 468.0, 332.0, 18.0], 0WbdFR_jlN, 6459969]
[paragraph, [128.0, 486.0, 332.0, 18.0], 0WbdFR_jlN, 6459969]
[paragraph, [128.0, 504.0, 332.0, 18.0], 0WbdFR_jlN, 6459969]
[paragraph, [140.0, 561.0, 328.0, 18.0], YlAjPaawya, 6459969]
[paragraph, [140.0, 579.0, 328.0, 18.0], YlAjPaawya, 6459969]
[paragraph, [140.0, 597.0, 328.0, 18.0], YlAjPaawya, 6459969]
[paragraph, [140.0, 615.0, 328.0, 18.0], YlAjPaawya, 6459969]
[paragraph, [140.0, 633.0, 328.0, 18.0], YlAjPaawya, 6459969]
[paragraph, [140.0, 651.0, 328.0, 18.0], YlAjPaawya, 6459969]
[paragraph, [140.0, 669.0, 328.0, 18.0], YlAjPaawya, 6459969]
[paragraph, [137.0, 716.0, 324.0, 18.0], shoonya_0sQZRTTTGB7ITC, 6459969]
[paragraph, [137.0, 734.0, 324.0, 18.0], shoonya_0sQZRTTTGB7ITC, 6459969]
[paragraph, [137.0, 752.0, 324.0, 18.0], shoonya_0sQZRTTTGB7ITC, 6459969]
[paragraph, [137.0, 770.0, 324.0, 18.0], shoonya_0sQZRTTTGB7ITC, 6459969]
[paragraph, [137.0, 788.0, 324.0, 18.0], shoonya_0sQZRTTTGB7ITC, 6459969]
[paragraph, [137.0, 806.0, 324.0, 18.0], shoonya_0sQZRTTTGB7ITC, 6459969]
[paragraph, [137.0, 824.0, 324.0, 18.0], shoonya_0sQZRTTTGB7ITC, 6459969]
