[2068, 1551]
[folio, [98.0, 40.0, 195.0, 36.0], ZN5OJ83lLY, 5712945]
[sidebar, [791.0, 106.0, 712.0, 36.0], shoonya_2s8L9BUQRRUAZK, 5712945]
[sidebar, [791.0, 142.0, 712.0, 36.0], shoonya_2s8L9BUQRRUAZK, 5712945]
[sidebar, [791.0, 178.0, 712.0, 36.0], shoonya_2s8L9BUQRRUAZK, 5712945]
[sidebar, [791.0, 214.0, 712.0, 36.0], shoonya_2s8L9BUQRRUAZK, 5712945]
[sidebar, [791.0, 250.0, 712.0, 36.0], shoonya_2s8L9BUQRRUAZK, 5712945]
[sidebar, [791.0, 286.0, 712.0, 36.0], shoonya_2s8L9BUQRRUAZK, 5712945]
[sidebar, [791.0, 322.0, 712.0, 36.0], shoonya_2s8L9BUQRRUAZK, 5712945]
[sidebar, [791.0, 358.0, 712.0, 36.0], shoonya_2s8L9BUQRRUAZK, 5712945]
[sidebar, [791.0, 394.0, 712.0, 36.0], shoonya_2s8L9BUQRRUAZK, 5712945]
[sidebar, [791.0, 430.0, 712.0, 36.0], shoonya_2s8L9BUQRRUAZK, 5712945]
[sidebar, [791.0, 466.0, 712.0, 36.0], shoonya_2s8L9BUQRRUAZK, 5712945]
[sidebar, [791.0, 502.0, 712.0, 36.0], shoonya_2s8L9BUQRRUAZK, 5712945]
[folio, [687.0, 116.0, 79.0, 36.0], AkkSou0G_-, 5712945]
[headline, [71.0, 142.0, 310.0, 67.5], shoonya_3sA7F9ULSUQHXU, 5712945]
[author, [449.0, 234.0, 313.0, 36.0], EzE2QQ_cgY, 5712945]
[author, [449.0, 270.0, 313.0, 36.0], EzE2QQ_cgY, 5712945]
[paragraph, [481.0, 364.0, 303.0, 36.0], shoonya_5sSLEHDXMJCMX9, 5712945]
[paragraph, [481.0, 400.0, 303.0, 36.0], shoonya_5sSLEHDXMJCMX9, 5712945]
[paragraph, [481.0, 436.0, 303.0, 36.0], shoonya_5sSLEHDXMJCMX9, 5712945]
[paragraph, [481.0, 472.0, 303.0, 36.0], shoonya_5sSLEHDXMJCMX9, 5712945]
[paragraph, [481.0, 508.0, 303.0, 36.0], shoonya_5sSLEHDXMJCMX9, 5712945]
[paragraph, [481.0, 544.0, 303.0, 36.0], shoonya_5sSLEHDXMJCMX9, 5712945]
[paragraph, [481.0, 580.0, 303.0, 36.0], shoonya_5sSLEHDXMJCMX9, 5712945]
[paragraph, [481.0, 616.0, 303.0, 36.0], shoonya_5sSLEHDXMJCMX9, 5712945]
[paragraph, [481.0, 652.0, 303.0, 36.0], shoonya_5sSLEHDXMJCMX9, 5712945]
[paragraph, [481.0, 688.0, 303.0, 36.0], shoonya_5sSLEHDXMJCMX9, 5712945]
[paragraph, [481.0, 724.0, 303.0, 36.0], shoonya_5sSLEHDXMJCMX9, 5712945]
[paragraph, [481.0, 760.0, 303.0, 36.0], shoonya_5sSLEHDXMJCMX9, 5712945]
[paragraph, [481.0, 796.0, 303.0, 36.0], shoonya_5sSLEHDXMJCMX9, 5712945]
[paragraph, [481.0, 832.0, 303.0, 36.0], shoonya_5sSLEHDXMJCMX9, 5712945]
[paragraph, [481.0, 868.0, 303.0, 36.0], shoonya_5sSLEHDXMJCMX9, 5712945]
[paragraph, [481.0, 904.0, 303.0, 36.0], shoonya_5sSLEHDXMJCMX9, 5712945]
[paragraph, [481.0, 940.0, 303.0, 36.0], shoonya_5sSLEHDXMJCMX9, 5712945]
[paragraph, [782.0, 559.0, 737.0, 36.0], shoonya_4sT8VYDJ1AX2WS, 5712945]
[paragraph, [782.0, 595.0, 737.0, 36.0], shoonya_4sT8VYDJ1AX2WS, 5712945]
[paragraph, [782.0, 631.0, 737.0, 36.0], shoonya_4sT8VYDJ1AX2WS, 5712945]
[paragraph, [782.0, 667.0, 737.0, 36.0], shoonya_4sT8VYDJ1AX2WS, 5712945]
[paragraph, [782.0, 703.0, 737.0, 36.0], shoonya_4sT8VYDJ1AX2WS, 5712945]
[paragraph, [782.0, 739.0, 737.0, 36.0], shoonya_4sT8VYDJ1AX2WS, 5712945]
[paragraph, [782.0, 775.0, 737.0, 36.0], shoonya_4sT8VYDJ1AX2WS, 5712945]
[paragraph, [782.0, 811.0, 737.0, 36.0], shoonya_4sT8VYDJ1AX2WS, 5712945]
[paragraph, [782.0, 847.0, 737.0, 36.0], shoonya_4sT8VYDJ1AX2WS, 5712945]
[paragraph, [782.0, 883.0, 737.0, 36.0], shoonya_4sT8VYDJ1AX2WS, 5712945]
[paragraph, [782.0, 919.0, 737.0, 36.0], shoonya_4sT8VYDJ1AX2WS, 5712945]
[paragraph, [782.0, 955.0, 737.0, 36.0], shoonya_4sT8VYDJ1AX2WS, 5712945]
[paragraph, [486.0, 995.0, 299.0, 36.0], shoonya_0sB7HTNGWEVLK5, 5712945]
