[1492, 1000]
[headline, [190.0, 290.0, 649.0, 25.5], shoonya_0sPQ5P7MFY6UDS, 5720100]
[headline, [190.0, 315.5, 649.0, 25.5], shoonya_0sPQ5P7MFY6UDS, 5720100]
[chapter-title, [435.0, 409.0, 157.0, 30.0], shoonya_2sP7SEP6I95BG0, 5720100]
[section-title, [424.0, 449.0, 180.0, 30.0], shoonya_1sMNVIJ0UU8KHI, 5720100]
[paragraph, [138.0, 488.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 506.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 524.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 542.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 560.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 578.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 596.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 614.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 632.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 650.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 668.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 686.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 704.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 722.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 740.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 758.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 776.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 794.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 812.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 830.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 848.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 866.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 884.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 902.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 920.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 938.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 956.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 974.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [138.0, 992.0, 746.0, 18.0], ScEgh9Q-9f, 5720100]
[paragraph, [143.0, 1014.0, 738.0, 18.0], aV_J7ioiW-, 5720100]
[paragraph, [143.0, 1032.0, 738.0, 18.0], aV_J7ioiW-, 5720100]
[paragraph, [143.0, 1050.0, 738.0, 18.0], aV_J7ioiW-, 5720100]
[paragraph, [143.0, 1068.0, 738.0, 18.0], aV_J7ioiW-, 5720100]
[paragraph, [143.0, 1086.0, 738.0, 18.0], aV_J7ioiW-, 5720100]
[paragraph, [143.0, 1104.0, 738.0, 18.0], aV_J7ioiW-, 5720100]
[paragraph, [143.0, 1122.0, 738.0, 18.0], aV_J7ioiW-, 5720100]
[paragraph, [143.0, 1140.0, 738.0, 18.0], aV_J7ioiW-, 5720100]
[paragraph, [143.0, 1158.0, 738.0, 18.0], aV_J7ioiW-, 5720100]
[paragraph, [143.0, 1176.0, 738.0, 18.0], aV_J7ioiW-, 5720100]
[paragraph, [143.0, 1194.0, 738.0, 18.0], aV_J7ioiW-, 5720100]
[paragraph, [143.0, 1212.0, 738.0, 18.0], aV_J7ioiW-, 5720100]
[paragraph, [143.0, 1230.0, 738.0, 18.0], aV_J7ioiW-, 5720100]
[paragraph, [143.0, 1248.0, 738.0, 18.0], aV_J7ioiW-, 5720100]
[paragraph, [143.0, 1266.0, 738.0, 18.0], aV_J7ioiW-, 5720100]
[paragraph, [143.0, 1284.0, 738.0, 18.0], aV_J7ioiW-, 5720100]
[paragraph, [143.0, 1302.0, 738.0, 18.0], aV_J7ioiW-, 5720100]
