[842, 595]
[paragraph, [101.0, 51.0, 451.0, 18.0], c3HXSeH6cF, 5661121]
[paragraph, [101.0, 69.0, 451.0, 18.0], c3HXSeH6cF, 5661121]
[paragraph, [101.0, 87.0, 451.0, 18.0], c3HXSeH6cF, 5661121]
[unordered-list, [62.0, 108.0, 487.0, 18.0], shoonya_1sT730YEW07UF6, 5661121]
[unordered-list, [62.0, 126.0, 487.0, 18.0], shoonya_1sT730YEW07UF6, 5661121]
[unordered-list, [62.0, 144.0, 487.0, 18.0], shoonya_1sT730YEW07UF6, 5661121]
[unordered-list, [62.0, 162.0, 487.0, 18.0], shoonya_1sT730YEW07UF6, 5661121]
[unordered-list, [62.0, 180.0, 487.0, 18.0], shoonya_1sT730YEW07UF6, 5661121]
[unordered-list, [62.0, 198.0, 487.0, 18.0], shoonya_1sT730YEW07UF6, 5661121]
[unordered-list, [62.0, 216.0, 487.0, 18.0], shoonya_1sT730YEW07UF6, 5661121]
[unordered-list, [62.0, 234.0, 487.0, 18.0], shoonya_1sT730YEW07UF6, 5661121]
[unordered-list, [62.0, 252.0, 487.0, 18.0], shoonya_1sT730YEW07UF6, 5661121]
[unordered-list, [62.0, 270.0, 487.0, 18.0], shoonya_1sT730YEW07UF6, 5661121]
[unordered-list, [62.0, 288.0, 487.0, 18.0], shoonya_1sT730YEW07UF6, 5661121]
[unordered-list, [62.0, 306.0, 487.0, 18.0], shoonya_1sT730YEW07UF6, 5661121]
[unordered-list, [62.0, 324.0, 487.0, 18.0], shoonya_1sT730YEW07UF6, 5661121]
[unordered-list, [62.0, 342.0, 487.0, 18.0], shoonya_1sT730YEW07UF6, 5661121]
[unordered-list, [62.0, 360.0, 487.0, 18.0], shoonya_1sT730YEW07UF6, 5661121]
[unordered-list, [62.0, 378.0, 487.0, 18.0], shoonya_1sT730YEW07UF6, 5661121]
[section-title, [46.0, 409.0, 126.0, 30.0], shoonya_3sLSPHKUBEZRCQ, 5661121]
[unordered-list, [83.0, 448.0, 466.0, 18.0], shoonya_0sAP6SNOVZ9ZG0, 5661121]
[unordered-list, [83.0, 466.0, 466.0, 18.0], shoonya_0sAP6SNOVZ9ZG0, 5661121]
[unordered-list, [83.0, 484.0, 466.0, 18.0], shoonya_0sAP6SNOVZ9ZG0, 5661121]
[unordered-list, [83.0, 502.0, 466.0, 18.0], shoonya_0sAP6SNOVZ9ZG0, 5661121]
[unordered-list, [83.0, 520.0, 466.0, 18.0], shoonya_0sAP6SNOVZ9ZG0, 5661121]
[unordered-list, [83.0, 538.0, 466.0, 18.0], shoonya_0sAP6SNOVZ9ZG0, 5661121]
[unordered-list, [83.0, 556.0, 466.0, 18.0], shoonya_0sAP6SNOVZ9ZG0, 5661121]
[unordered-list, [83.0, 574.0, 466.0, 18.0], shoonya_0sAP6SNOVZ9ZG0, 5661121]
[unordered-list, [83.0, 592.0, 466.0, 18.0], shoonya_0sAP6SNOVZ9ZG0, 5661121]
[unordered-list, [83.0, 610.0, 466.0, 18.0], shoonya_0sAP6SNOVZ9ZG0, 5661121]
[unordered-list, [83.0, 628.0, 466.0, 18.0], shoonya_0sAP6SNOVZ9ZG0, 5661121]
[unordered-list, [83.0, 646.0, 466.0, 18.0], shoonya_0sAP6SNOVZ9ZG0, 5661121]
[unordered-list, [83.0, 664.0, 466.0, 18.0], shoonya_0sAP6SNOVZ9ZG0, 5661121]
[unordered-list, [83.0, 682.0, 466.0, 18.0], shoonya_0sAP6SNOVZ9ZG0, 5661121]
[unordered-list, [83.0, 700.0, 466.0, 18.0], shoonya_0sAP6SNOVZ9ZG0, 5661121]
[unordered-list, [83.0, 718.0, 466.0, 18.0], shoonya_0sAP6SNOVZ9ZG0, 5661121]
[unordered-list, [83.0, 736.0, 466.0, 18.0], shoonya_0sAP6SNOVZ9ZG0, 5661121]
[unordered-list, [83.0, 754.0, 466.0, 18.0], shoonya_0sAP6SNOVZ9ZG0, 5661121]
