[3509, 2482]
[folio, [828.0, 238.0, 521.0, 52.5], N5vDtVtEIt, 5691492]
[folio, [828.0, 290.5, 521.0, 52.5], N5vDtVtEIt, 5691492]
[paragraph, [140.0, 373.0, 1858.0, 52.5], shoonya_0sHECHLFXRCGA3, 5691492]
[paragraph, [140.0, 425.5, 1858.0, 52.5], shoonya_0sHECHLFXRCGA3, 5691492]
[paragraph, [140.0, 478.0, 1858.0, 52.5], shoonya_0sHECHLFXRCGA3, 5691492]
[paragraph, [245.0, 549.0, 843.0, 52.5], CegCmODkzq, 5691492]
[paragraph, [195.0, 620.0, 1793.0, 52.5], bmgTL6h338, 5691492]
[paragraph, [195.0, 672.5, 1793.0, 52.5], bmgTL6h338, 5691492]
[paragraph, [195.0, 725.0, 1793.0, 52.5], bmgTL6h338, 5691492]
[paragraph, [195.0, 777.5, 1793.0, 52.5], bmgTL6h338, 5691492]
[paragraph, [195.0, 830.0, 1793.0, 52.5], bmgTL6h338, 5691492]
[paragraph, [195.0, 882.5, 1793.0, 52.5], bmgTL6h338, 5691492]
[paragraph, [195.0, 935.0, 1793.0, 52.5], bmgTL6h338, 5691492]
[paragraph, [197.0, 1007.0, 611.0, 52.5], shoonya_1sZDCT4LXJG7MV, 5691492]
[paragraph, [201.0, 1085.0, 1842.0, 52.5], 68GW8QUeWz, 5691492]
[paragraph, [201.0, 1137.5, 1842.0, 52.5], 68GW8QUeWz, 5691492]
[paragraph, [201.0, 1190.0, 1842.0, 52.5], 68GW8QUeWz, 5691492]
[paragraph, [201.0, 1242.5, 1842.0, 52.5], 68GW8QUeWz, 5691492]
[paragraph, [201.0, 1295.0, 1842.0, 52.5], 68GW8QUeWz, 5691492]
[paragraph, [201.0, 1347.5, 1842.0, 52.5], 68GW8QUeWz, 5691492]
[paragraph, [201.0, 1400.0, 1842.0, 52.5], 68GW8QUeWz, 5691492]
[paragraph, [201.0, 1452.5, 1842.0, 52.5], 68GW8QUeWz, 5691492]
[paragraph, [201.0, 1505.0, 1842.0, 52.5], 68GW8QUeWz, 5691492]
[paragraph, [201.0, 1557.5, 1842.0, 52.5], 68GW8QUeWz, 5691492]
[paragraph, [201.0, 1610.0, 1842.0, 52.5], 68GW8QUeWz, 5691492]
[paragraph, [201.0, 1690.0, 1836.0, 52.5], CiGRlfglUN, 5691492]
[paragraph, [201.0, 1742.5, 1836.0, 52.5], CiGRlfglUN, 5691492]
[paragraph, [201.0, 1795.0, 1836.0, 52.5], CiGRlfglUN, 5691492]
[paragraph, [220.0, 1861.0, 1824.0, 52.5], GMn6C8odLw, 5691492]
[paragraph, [220.0, 1913.5, 1824.0, 52.5], GMn6C8odLw, 5691492]
[paragraph, [220.0, 1966.0, 1824.0, 52.5], GMn6C8odLw, 5691492]
[paragraph, [220.0, 2018.5, 1824.0, 52.5], GMn6C8odLw, 5691492]
[paragraph, [220.0, 2071.0, 1824.0, 52.5], GMn6C8odLw, 5691492]
[paragraph, [220.0, 2123.5, 1824.0, 52.5], GMn6C8odLw, 5691492]
[paragraph, [220.0, 2176.0, 1824.0, 52.5], GMn6C8odLw, 5691492]
[paragraph, [285.0, 2255.0, 840.0, 52.5], Hw4qTWABMT, 5691492]
[paragraph, [204.0, 2320.0, 1805.0, 52.5], ib4qj-CNNM, 5691492]
[paragraph, [204.0, 2372.5, 1805.0, 52.5], ib4qj-CNNM, 5691492]
[paragraph, [204.0, 2425.0, 1805.0, 52.5], ib4qj-CNNM, 5691492]
[paragraph, [204.0, 2477.5, 1805.0, 52.5], ib4qj-CNNM, 5691492]
[paragraph, [204.0, 2530.0, 1805.0, 52.5], ib4qj-CNNM, 5691492]
[paragraph, [204.0, 2582.5, 1805.0, 52.5], ib4qj-CNNM, 5691492]
[paragraph, [204.0, 2635.0, 1805.0, 52.5], ib4qj-CNNM, 5691492]
[paragraph, [198.0, 2702.0, 1836.0, 52.5], lm440Hg53z, 5691492]
[paragraph, [198.0, 2754.5, 1836.0, 52.5], lm440Hg53z, 5691492]
[paragraph, [214.0, 2866.0, 1796.0, 52.5], 4_KDTIW9GJ, 5691492]
[paragraph, [214.0, 2918.5, 1796.0, 52.5], 4_KDTIW9GJ, 5691492]
[paragraph, [214.0, 2971.0, 1796.0, 52.5], 4_KDTIW9GJ, 5691492]
[paragraph, [214.0, 3023.5, 1796.0, 52.5], 4_KDTIW9GJ, 5691492]
[paragraph, [229.0, 3099.0, 1017.0, 52.5], wVr2TVWA66, 5691492]
[paragraph, [229.0, 3180.0, 1793.0, 52.5], AiaiD22yz9, 5691492]
[paragraph, [229.0, 3232.5, 1793.0, 52.5], AiaiD22yz9, 5691492]
