[2200, 1700]
[section-title, [284.0, 101.0, 456.0, 52.5], 5WG-a9lO-p, 5730723]
[paragraph, [292.0, 168.0, 1071.0, 36.0], shoonya_6sEEXPA5K6WGTM, 5730723]
[paragraph, [292.0, 204.0, 1071.0, 36.0], shoonya_6sEEXPA5K6WGTM, 5730723]
[paragraph, [292.0, 240.0, 1071.0, 36.0], shoonya_6sEEXPA5K6WGTM, 5730723]
[paragraph, [292.0, 276.0, 1071.0, 36.0], shoonya_6sEEXPA5K6WGTM, 5730723]
[paragraph, [291.0, 344.0, 1078.0, 36.0], shoonya_0sLEC1T4B2CLAW, 5730723]
[paragraph, [291.0, 380.0, 1078.0, 36.0], shoonya_0sLEC1T4B2CLAW, 5730723]
[paragraph, [291.0, 416.0, 1078.0, 36.0], shoonya_0sLEC1T4B2CLAW, 5730723]
[paragraph, [291.0, 452.0, 1078.0, 36.0], shoonya_0sLEC1T4B2CLAW, 5730723]
[paragraph, [291.0, 488.0, 1078.0, 36.0], shoonya_0sLEC1T4B2CLAW, 5730723]
[paragraph, [291.0, 524.0, 1078.0, 36.0], shoonya_0sLEC1T4B2CLAW, 5730723]
[paragraph, [298.0, 561.0, 1069.0, 36.0], shoonya_2s0RBHTIFVBKA9, 5730723]
[paragraph, [298.0, 597.0, 1069.0, 36.0], shoonya_2s0RBHTIFVBKA9, 5730723]
[paragraph, [298.0, 633.0, 1069.0, 36.0], shoonya_2s0RBHTIFVBKA9, 5730723]
[paragraph, [298.0, 669.0, 1069.0, 36.0], shoonya_2s0RBHTIFVBKA9, 5730723]
[paragraph, [297.0, 733.0, 1079.0, 36.0], shoonya_1sBSBGR4SRBQA9, 5730723]
[paragraph, [297.0, 769.0, 1079.0, 36.0], shoonya_1sBSBGR4SRBQA9, 5730723]
[paragraph, [297.0, 805.0, 1079.0, 36.0], shoonya_1sBSBGR4SRBQA9, 5730723]
[paragraph, [297.0, 841.0, 1079.0, 36.0], shoonya_1sBSBGR4SRBQA9, 5730723]
[paragraph, [303.0, 902.0, 1071.0, 36.0], D7uhLm3TXs, 5730723]
[paragraph, [303.0, 938.0, 1071.0, 36.0], D7uhLm3TXs, 5730723]
[paragraph, [303.0, 974.0, 1071.0, 36.0], D7uhLm3TXs, 5730723]
[paragraph, [303.0, 1010.0, 1071.0, 36.0], D7uhLm3TXs, 5730723]
[paragraph, [303.0, 1046.0, 1071.0, 36.0], D7uhLm3TXs, 5730723]
[paragraph, [303.0, 1082.0, 1071.0, 36.0], D7uhLm3TXs, 5730723]
[paragraph, [301.0, 1123.0, 1061.0, 36.0], zAyZafrzen, 5730723]
[paragraph, [301.0, 1159.0, 1061.0, 36.0], zAyZafrzen, 5730723]
[paragraph, [301.0, 1195.0, 1061.0, 36.0], zAyZafrzen, 5730723]
[paragraph, [301.0, 1231.0, 1061.0, 36.0], zAyZafrzen, 5730723]
[paragraph, [301.0, 1288.0, 1063.0, 36.0], 8Gfau3BkEt, 5730723]
[paragraph, [301.0, 1324.0, 1063.0, 36.0], 8Gfau3BkEt, 5730723]
[paragraph, [301.0, 1360.0, 1063.0, 36.0], 8Gfau3BkEt, 5730723]
[paragraph, [301.0, 1396.0, 1063.0, 36.0], 8Gfau3BkEt, 5730723]
[paragraph, [301.0, 1432.0, 1063.0, 36.0], 8Gfau3BkEt, 5730723]
[paragraph, [301.0, 1468.0, 1063.0, 36.0], 8Gfau3BkEt, 5730723]
[section-title, [498.0, 1548.0, 670.0, 52.5], fdDU9gTvFU, 5730723]
[sub-section-title, [303.0, 1637.0, 255.0, 55.5], shoonya_3sQVSITNKWJZPP, 5730723]
[paragraph, [301.0, 1701.0, 1072.0, 36.0], shoonya_4sFFWSARSWN7YU, 5730723]
[paragraph, [301.0, 1737.0, 1072.0, 36.0], shoonya_4sFFWSARSWN7YU, 5730723]
[paragraph, [301.0, 1773.0, 1072.0, 36.0], shoonya_4sFFWSARSWN7YU, 5730723]
[paragraph, [301.0, 1809.0, 1072.0, 36.0], shoonya_4sFFWSARSWN7YU, 5730723]
[paragraph, [301.0, 1845.0, 1072.0, 36.0], shoonya_4sFFWSARSWN7YU, 5730723]
[paragraph, [301.0, 1881.0, 1072.0, 36.0], shoonya_4sFFWSARSWN7YU, 5730723]
[folio, [952.0, 2013.0, 333.0, 36.0], Z2W2TmNuuR, 5730723]
