[540, 960]
[section-title, [46.0, 98.0, 821.0, 30.0], shoonya_5s701D2S2SMLOE, 5716167]
[unordered-list, [52.0, 179.0, 600.0, 18.0], shoonya_2sX9P4TL6ZK5NQ, 5716167]
[unordered-list, [52.0, 197.0, 600.0, 18.0], shoonya_2sX9P4TL6ZK5NQ, 5716167]
[unordered-list, [52.0, 215.0, 600.0, 18.0], shoonya_2sX9P4TL6ZK5NQ, 5716167]
[unordered-list, [52.0, 233.0, 600.0, 18.0], shoonya_2sX9P4TL6ZK5NQ, 5716167]
[unordered-list, [52.0, 251.0, 600.0, 18.0], shoonya_2sX9P4TL6ZK5NQ, 5716167]
[unordered-list, [52.0, 269.0, 600.0, 18.0], shoonya_2sX9P4TL6ZK5NQ, 5716167]
[unordered-list, [52.0, 287.0, 600.0, 18.0], shoonya_2sX9P4TL6ZK5NQ, 5716167]
[unordered-list, [52.0, 305.0, 600.0, 18.0], shoonya_2sX9P4TL6ZK5NQ, 5716167]
[unordered-list, [52.0, 323.0, 600.0, 18.0], shoonya_2sX9P4TL6ZK5NQ, 5716167]
[unordered-list, [52.0, 341.0, 600.0, 18.0], shoonya_2sX9P4TL6ZK5NQ, 5716167]
[unordered-list, [52.0, 359.0, 600.0, 18.0], shoonya_2sX9P4TL6ZK5NQ, 5716167]
[unordered-list, [52.0, 377.0, 600.0, 18.0], shoonya_2sX9P4TL6ZK5NQ, 5716167]
[unordered-list, [52.0, 395.0, 600.0, 18.0], shoonya_2sX9P4TL6ZK5NQ, 5716167]
[unordered-list, [52.0, 413.0, 600.0, 18.0], shoonya_2sX9P4TL6ZK5NQ, 5716167]
[unordered-list, [52.0, 431.0, 600.0, 18.0], shoonya_2sX9P4TL6ZK5NQ, 5716167]
[unordered-list, [52.0, 449.0, 600.0, 18.0], shoonya_2sX9P4TL6ZK5NQ, 5716167]
[unordered-list, [52.0, 467.0, 600.0, 18.0], shoonya_2sX9P4TL6ZK5NQ, 5716167]
[unordered-list, [52.0, 485.0, 600.0, 18.0], shoonya_2sX9P4TL6ZK5NQ, 5716167]
[folio, [864.0, 492.0, 94.0, 18.0], shoonya_1sKN859S4CPEJ3, 5716167]
[folio, [864.0, 510.0, 94.0, 18.0], shoonya_1sKN859S4CPEJ3, 5716167]
[folio, [3.0, 496.0, 111.0, 18.0], sLjCgrUFHX, 5716167]
[folio, [3.0, 514.0, 111.0, 18.0], sLjCgrUFHX, 5716167]
