[1300, 900]
[folio, [321.0, 35.0, 253.0, 18.0], ojLYIzWvR6, 5730596]
[paragraph, [95.0, 98.0, 704.0, 18.0], shoonya_0s9HWNY0T61NVH, 5730596]
[paragraph, [95.0, 116.0, 704.0, 18.0], shoonya_0s9HWNY0T61NVH, 5730596]
[paragraph, [95.0, 134.0, 704.0, 18.0], shoonya_0s9HWNY0T61NVH, 5730596]
[paragraph, [95.0, 152.0, 704.0, 18.0], shoonya_0s9HWNY0T61NVH, 5730596]
[paragraph, [95.0, 170.0, 704.0, 18.0], shoonya_0s9HWNY0T61NVH, 5730596]
[paragraph, [95.0, 188.0, 704.0, 18.0], shoonya_0s9HWNY0T61NVH, 5730596]
[paragraph, [95.0, 206.0, 704.0, 18.0], shoonya_0s9HWNY0T61NVH, 5730596]
[paragraph, [95.0, 224.0, 704.0, 18.0], shoonya_0s9HWNY0T61NVH, 5730596]
[paragraph, [95.0, 242.0, 704.0, 18.0], shoonya_0s9HWNY0T61NVH, 5730596]
[paragraph, [155.0, 270.0, 559.0, 18.0], MhjU3npj40, 5730596]
[paragraph, [539.0, 315.0, 255.0, 18.0], 61bftCoJkP, 5730596]
[paragraph, [97.0, 351.0, 700.0, 18.0], LCNIWnb37w, 5730596]
[paragraph, [97.0, 369.0, 700.0, 18.0], LCNIWnb37w, 5730596]
[paragraph, [97.0, 387.0, 700.0, 18.0], LCNIWnb37w, 5730596]
[paragraph, [97.0, 405.0, 700.0, 18.0], LCNIWnb37w, 5730596]
[paragraph, [100.0, 437.0, 695.0, 18.0], -9AThPlPpI, 5730596]
[paragraph, [100.0, 455.0, 695.0, 18.0], -9AThPlPpI, 5730596]
[paragraph, [100.0, 473.0, 695.0, 18.0], -9AThPlPpI, 5730596]
[paragraph, [100.0, 491.0, 695.0, 18.0], -9AThPlPpI, 5730596]
[paragraph, [153.0, 522.0, 578.0, 18.0], 2KC5cUzz8O, 5730596]
[paragraph, [153.0, 540.0, 578.0, 18.0], 2KC5cUzz8O, 5730596]
[paragraph, [153.0, 558.0, 578.0, 18.0], 2KC5cUzz8O, 5730596]
[paragraph, [153.0, 576.0, 578.0, 18.0], 2KC5cUzz8O, 5730596]
[paragraph, [626.0, 612.0, 168.0, 18.0], _-0y4nJqHh, 5730596]
[paragraph, [93.0, 648.0, 704.0, 18.0], P2sFwSqYr8, 5730596]
[paragraph, [93.0, 666.0, 704.0, 18.0], P2sFwSqYr8, 5730596]
[paragraph, [93.0, 684.0, 704.0, 18.0], P2sFwSqYr8, 5730596]
[paragraph, [93.0, 702.0, 704.0, 18.0], P2sFwSqYr8, 5730596]
[paragraph, [93.0, 720.0, 704.0, 18.0], P2sFwSqYr8, 5730596]
[paragraph, [93.0, 738.0, 704.0, 18.0], P2sFwSqYr8, 5730596]
[paragraph, [96.0, 776.0, 699.0, 18.0], VD8aFDREAc, 5730596]
[paragraph, [96.0, 794.0, 699.0, 18.0], VD8aFDREAc, 5730596]
[paragraph, [96.0, 812.0, 699.0, 18.0], VD8aFDREAc, 5730596]
[paragraph, [96.0, 830.0, 699.0, 18.0], VD8aFDREAc, 5730596]
[paragraph, [98.0, 860.0, 698.0, 18.0], THkWwwOeWd, 5730596]
[paragraph, [98.0, 878.0, 698.0, 18.0], THkWwwOeWd, 5730596]
[paragraph, [98.0, 896.0, 698.0, 18.0], THkWwwOeWd, 5730596]
[paragraph, [98.0, 914.0, 698.0, 18.0], THkWwwOeWd, 5730596]
[paragraph, [98.0, 932.0, 698.0, 18.0], THkWwwOeWd, 5730596]
[paragraph, [98.0, 950.0, 698.0, 18.0], THkWwwOeWd, 5730596]
[paragraph, [152.0, 987.0, 580.0, 18.0], WQ6T0Ju94P, 5730596]
[paragraph, [152.0, 1005.0, 580.0, 18.0], WQ6T0Ju94P, 5730596]
[paragraph, [152.0, 1023.0, 580.0, 18.0], WQ6T0Ju94P, 5730596]
[paragraph, [152.0, 1041.0, 580.0, 18.0], WQ6T0Ju94P, 5730596]
[paragraph, [649.0, 1074.0, 149.0, 18.0], yW6m1LMoYk, 5730596]
[paragraph, [98.0, 1110.0, 705.0, 18.0], cLfzKbPnQX, 5730596]
[paragraph, [98.0, 1128.0, 705.0, 18.0], cLfzKbPnQX, 5730596]
[paragraph, [98.0, 1146.0, 705.0, 18.0], cLfzKbPnQX, 5730596]
[paragraph, [98.0, 1164.0, 705.0, 18.0], cLfzKbPnQX, 5730596]
[paragraph, [98.0, 1182.0, 705.0, 18.0], cLfzKbPnQX, 5730596]
[paragraph, [98.0, 1200.0, 705.0, 18.0], cLfzKbPnQX, 5730596]
[paragraph, [98.0, 1218.0, 705.0, 18.0], cLfzKbPnQX, 5730596]
