[2075, 4986]
[paragraph, [3705.0, 193.0, 1124.0, 36.0], F1UHkThFez, 5779520]
[paragraph, [3705.0, 229.0, 1124.0, 36.0], F1UHkThFez, 5779520]
[paragraph, [3705.0, 265.0, 1124.0, 36.0], F1UHkThFez, 5779520]
[paragraph, [3705.0, 301.0, 1124.0, 36.0], F1UHkThFez, 5779520]
[paragraph, [3705.0, 337.0, 1124.0, 36.0], F1UHkThFez, 5779520]
[paragraph, [3705.0, 373.0, 1124.0, 36.0], F1UHkThFez, 5779520]
[paragraph, [3705.0, 409.0, 1124.0, 36.0], F1UHkThFez, 5779520]
[paragraph, [3705.0, 445.0, 1124.0, 36.0], F1UHkThFez, 5779520]
[paragraph, [3705.0, 481.0, 1124.0, 36.0], F1UHkThFez, 5779520]
[paragraph, [3705.0, 517.0, 1124.0, 36.0], F1UHkThFez, 5779520]
[paragraph, [3705.0, 553.0, 1124.0, 36.0], F1UHkThFez, 5779520]
[paragraph, [3705.0, 589.0, 1124.0, 36.0], F1UHkThFez, 5779520]
[paragraph, [3705.0, 625.0, 1124.0, 36.0], F1UHkThFez, 5779520]
[paragraph, [3705.0, 661.0, 1124.0, 36.0], F1UHkThFez, 5779520]
[folio, [3024.0, 256.0, 587.0, 36.0], 1-ql_iyI9A, 5779520]
[folio, [3024.0, 292.0, 587.0, 36.0], 1-ql_iyI9A, 5779520]
[folio, [3024.0, 328.0, 587.0, 36.0], 1-ql_iyI9A, 5779520]
[folio, [3024.0, 364.0, 587.0, 36.0], 1-ql_iyI9A, 5779520]
[folio, [3024.0, 400.0, 587.0, 36.0], 1-ql_iyI9A, 5779520]
[folio, [3024.0, 436.0, 587.0, 36.0], 1-ql_iyI9A, 5779520]
[folio, [3024.0, 472.0, 587.0, 36.0], 1-ql_iyI9A, 5779520]
[folio, [3024.0, 508.0, 587.0, 36.0], 1-ql_iyI9A, 5779520]
[folio, [3024.0, 544.0, 587.0, 36.0], 1-ql_iyI9A, 5779520]
[folio, [3024.0, 580.0, 587.0, 36.0], 1-ql_iyI9A, 5779520]
[folio, [3024.0, 616.0, 587.0, 36.0], 1-ql_iyI9A, 5779520]
[folio, [3024.0, 652.0, 587.0, 36.0], 1-ql_iyI9A, 5779520]
[folio, [3024.0, 688.0, 587.0, 36.0], 1-ql_iyI9A, 5779520]
[folio, [3024.0, 724.0, 587.0, 36.0], 1-ql_iyI9A, 5779520]
[folio, [3024.0, 760.0, 587.0, 36.0], 1-ql_iyI9A, 5779520]
[folio, [3024.0, 796.0, 587.0, 36.0], 1-ql_iyI9A, 5779520]
[folio, [3024.0, 832.0, 587.0, 36.0], 1-ql_iyI9A, 5779520]
[folio, [3024.0, 868.0, 587.0, 36.0], 1-ql_iyI9A, 5779520]
[folio, [3024.0, 904.0, 587.0, 36.0], 1-ql_iyI9A, 5779520]
[folio, [3024.0, 940.0, 587.0, 36.0], 1-ql_iyI9A, 5779520]
[folio, [3024.0, 976.0, 587.0, 36.0], 1-ql_iyI9A, 5779520]
[section-title, [321.0, 546.0, 1766.0, 52.5], shoonya_2sV7KHZEIUBUBO, 5779520]
[section-title, [321.0, 598.5, 1766.0, 52.5], shoonya_2sV7KHZEIUBUBO, 5779520]
[section-title, [321.0, 651.0, 1766.0, 52.5], shoonya_2sV7KHZEIUBUBO, 5779520]
[section-title, [321.0, 703.5, 1766.0, 52.5], shoonya_2sV7KHZEIUBUBO, 5779520]
[section-title, [321.0, 756.0, 1766.0, 52.5], shoonya_2sV7KHZEIUBUBO, 5779520]
[section-title, [321.0, 808.5, 1766.0, 52.5], shoonya_2sV7KHZEIUBUBO, 5779520]
[section-title, [321.0, 861.0, 1766.0, 52.5], shoonya_2sV7KHZEIUBUBO, 5779520]
[section-title, [321.0, 913.5, 1766.0, 52.5], shoonya_2sV7KHZEIUBUBO, 5779520]
[section-title, [321.0, 966.0, 1766.0, 52.5], shoonya_2sV7KHZEIUBUBO, 5779520]
[paragraph, [318.0, 1099.0, 1770.0, 36.0], shoonya_3sJ9J8Q8PPEGOV, 5779520]
[paragraph, [318.0, 1135.0, 1770.0, 36.0], shoonya_3sJ9J8Q8PPEGOV, 5779520]
[paragraph, [318.0, 1171.0, 1770.0, 36.0], shoonya_3sJ9J8Q8PPEGOV, 5779520]
[paragraph, [318.0, 1207.0, 1770.0, 36.0], shoonya_3sJ9J8Q8PPEGOV, 5779520]
[paragraph, [318.0, 1243.0, 1770.0, 36.0], shoonya_3sJ9J8Q8PPEGOV, 5779520]
[paragraph, [318.0, 1279.0, 1770.0, 36.0], shoonya_3sJ9J8Q8PPEGOV, 5779520]
[paragraph, [318.0, 1315.0, 1770.0, 36.0], shoonya_3sJ9J8Q8PPEGOV, 5779520]
[paragraph, [318.0, 1351.0, 1770.0, 36.0], shoonya_3sJ9J8Q8PPEGOV, 5779520]
[paragraph, [318.0, 1387.0, 1770.0, 36.0], shoonya_3sJ9J8Q8PPEGOV, 5779520]
[paragraph, [318.0, 1423.0, 1770.0, 36.0], shoonya_3sJ9J8Q8PPEGOV, 5779520]
[paragraph, [318.0, 1459.0, 1770.0, 36.0], shoonya_3sJ9J8Q8PPEGOV, 5779520]
[paragraph, [318.0, 1495.0, 1770.0, 36.0], shoonya_3sJ9J8Q8PPEGOV, 5779520]
[paragraph, [318.0, 1531.0, 1770.0, 36.0], shoonya_3sJ9J8Q8PPEGOV, 5779520]
[folio, [29.0, 1953.0, 397.0, 36.0], shoonya_0sBKIVWQ2ASHRH, 5779520]
