[842, 596]
[section-title, [46.0, 47.0, 87.0, 30.0], 5afn7eIHbz, 5766782]
[paragraph, [44.0, 78.0, 509.0, 18.0], shoonya_0sG0W9UJOQDFGI, 5766782]
[paragraph, [44.0, 96.0, 509.0, 18.0], shoonya_0sG0W9UJOQDFGI, 5766782]
[paragraph, [44.0, 114.0, 509.0, 18.0], shoonya_0sG0W9UJOQDFGI, 5766782]
[paragraph, [44.0, 132.0, 509.0, 18.0], shoonya_0sG0W9UJOQDFGI, 5766782]
[paragraph, [44.0, 150.0, 509.0, 18.0], shoonya_0sG0W9UJOQDFGI, 5766782]
[paragraph, [44.0, 168.0, 509.0, 18.0], shoonya_0sG0W9UJOQDFGI, 5766782]
[paragraph, [44.0, 186.0, 509.0, 18.0], shoonya_0sG0W9UJOQDFGI, 5766782]
[paragraph, [54.0, 236.0, 487.0, 18.0], shoonya_2s5942XWDAV27O, 5766782]
[paragraph, [54.0, 254.0, 487.0, 18.0], shoonya_2s5942XWDAV27O, 5766782]
[paragraph, [54.0, 272.0, 487.0, 18.0], shoonya_2s5942XWDAV27O, 5766782]
[paragraph, [54.0, 290.0, 487.0, 18.0], shoonya_2s5942XWDAV27O, 5766782]
[paragraph, [52.0, 353.0, 490.0, 18.0], shoonya_1sCCUBUMRH719S, 5766782]
[paragraph, [52.0, 371.0, 490.0, 18.0], shoonya_1sCCUBUMRH719S, 5766782]
[paragraph, [52.0, 389.0, 490.0, 18.0], shoonya_1sCCUBUMRH719S, 5766782]
[paragraph, [52.0, 407.0, 490.0, 18.0], shoonya_1sCCUBUMRH719S, 5766782]
[paragraph, [52.0, 425.0, 490.0, 18.0], shoonya_1sCCUBUMRH719S, 5766782]
[paragraph, [52.0, 443.0, 490.0, 18.0], shoonya_1sCCUBUMRH719S, 5766782]
[paragraph, [52.0, 461.0, 490.0, 18.0], shoonya_1sCCUBUMRH719S, 5766782]
[paragraph, [52.0, 479.0, 490.0, 18.0], shoonya_1sCCUBUMRH719S, 5766782]
[paragraph, [52.0, 497.0, 490.0, 18.0], shoonya_1sCCUBUMRH719S, 5766782]
[paragraph, [52.0, 515.0, 490.0, 18.0], shoonya_1sCCUBUMRH719S, 5766782]
[paragraph, [52.0, 533.0, 490.0, 18.0], shoonya_1sCCUBUMRH719S, 5766782]
[paragraph, [52.0, 551.0, 490.0, 18.0], shoonya_1sCCUBUMRH719S, 5766782]
[paragraph, [52.0, 569.0, 490.0, 18.0], shoonya_1sCCUBUMRH719S, 5766782]
[paragraph, [52.0, 587.0, 490.0, 18.0], shoonya_1sCCUBUMRH719S, 5766782]
[paragraph, [52.0, 605.0, 490.0, 18.0], shoonya_1sCCUBUMRH719S, 5766782]
[paragraph, [52.0, 623.0, 490.0, 18.0], shoonya_1sCCUBUMRH719S, 5766782]
[paragraph, [52.0, 641.0, 490.0, 18.0], shoonya_1sCCUBUMRH719S, 5766782]
[paragraph, [48.0, 706.0, 505.0, 18.0], shoonya_5s6IDNC8VGX9F4, 5766782]
[paragraph, [48.0, 724.0, 505.0, 18.0], shoonya_5s6IDNC8VGX9F4, 5766782]
[paragraph, [48.0, 742.0, 505.0, 18.0], shoonya_5s6IDNC8VGX9F4, 5766782]
[paragraph, [48.0, 760.0, 505.0, 18.0], shoonya_5s6IDNC8VGX9F4, 5766782]
