[5478, 3644]
[folio, [2159.0, 469.0, 933.0, 52.5], QMdgFzYLO-, 5709811]
[folio, [2159.0, 521.5, 933.0, 52.5], QMdgFzYLO-, 5709811]
[paragraph, [661.0, 671.0, 1560.0, 52.5], shoonya_0sSTG2HU3D74JI, 5709811]
[paragraph, [661.0, 723.5, 1560.0, 52.5], shoonya_0sSTG2HU3D74JI, 5709811]
[paragraph, [661.0, 776.0, 1560.0, 52.5], shoonya_0sSTG2HU3D74JI, 5709811]
[paragraph, [661.0, 828.5, 1560.0, 52.5], shoonya_0sSTG2HU3D74JI, 5709811]
[quote, [650.0, 931.0, 1572.0, 52.5], vW-IQY0zmD, 5709811]
[quote, [650.0, 983.5, 1572.0, 52.5], vW-IQY0zmD, 5709811]
[paragraph, [645.0, 1078.0, 1312.0, 52.5], vBV92zHC7M, 5709811]
[paragraph, [645.0, 1130.5, 1312.0, 52.5], vBV92zHC7M, 5709811]
[quote, [677.0, 1197.0, 1236.0, 52.5], T8jtQvpmkw, 5709811]
[quote, [677.0, 1249.5, 1236.0, 52.5], T8jtQvpmkw, 5709811]
[paragraph, [656.0, 1332.0, 1133.0, 52.5], uZb-bR12kt, 5709811]
[paragraph, [656.0, 1384.5, 1133.0, 52.5], uZb-bR12kt, 5709811]
[quote, [656.0, 1462.0, 1014.0, 52.5], rsdMTclbQO, 5709811]
[quote, [656.0, 1514.5, 1014.0, 52.5], rsdMTclbQO, 5709811]
[quote, [466.0, 1582.0, 2548.0, 52.5], 4RTHljsq-O, 5709811]
[quote, [466.0, 1634.5, 2548.0, 52.5], 4RTHljsq-O, 5709811]
[quote, [466.0, 1687.0, 2548.0, 52.5], 4RTHljsq-O, 5709811]
[quote, [466.0, 1739.5, 2548.0, 52.5], 4RTHljsq-O, 5709811]
[quote, [466.0, 1792.0, 2548.0, 52.5], 4RTHljsq-O, 5709811]
[quote, [656.0, 1858.0, 1258.0, 52.5], x9l-mUNFIX, 5709811]
[quote, [656.0, 1910.5, 1258.0, 52.5], x9l-mUNFIX, 5709811]
[quote, [466.0, 1993.0, 2570.0, 52.5], RuoDCc98bJ, 5709811]
[quote, [466.0, 2045.5, 2570.0, 52.5], RuoDCc98bJ, 5709811]
[quote, [466.0, 2098.0, 2570.0, 52.5], RuoDCc98bJ, 5709811]
[quote, [466.0, 2150.5, 2570.0, 52.5], RuoDCc98bJ, 5709811]
[paragraph, [428.0, 2248.0, 2635.0, 52.5], lGx1LZ299T, 5709811]
[paragraph, [428.0, 2300.5, 2635.0, 52.5], lGx1LZ299T, 5709811]
[paragraph, [428.0, 2353.0, 2635.0, 52.5], lGx1LZ299T, 5709811]
[paragraph, [428.0, 2405.5, 2635.0, 52.5], lGx1LZ299T, 5709811]
[paragraph, [428.0, 2458.0, 2635.0, 52.5], lGx1LZ299T, 5709811]
[paragraph, [428.0, 2510.5, 2635.0, 52.5], lGx1LZ299T, 5709811]
[paragraph, [428.0, 2563.0, 2635.0, 52.5], lGx1LZ299T, 5709811]
[quote, [428.0, 2638.0, 2646.0, 52.5], ROC8XnCWMo, 5709811]
[quote, [428.0, 2690.5, 2646.0, 52.5], ROC8XnCWMo, 5709811]
[quote, [428.0, 2743.0, 2646.0, 52.5], ROC8XnCWMo, 5709811]
[quote, [428.0, 2795.5, 2646.0, 52.5], ROC8XnCWMo, 5709811]
[quote, [428.0, 2848.0, 2646.0, 52.5], ROC8XnCWMo, 5709811]
[quote, [428.0, 2900.5, 2646.0, 52.5], ROC8XnCWMo, 5709811]
[quote, [428.0, 2953.0, 2646.0, 52.5], ROC8XnCWMo, 5709811]
[paragraph, [406.0, 3028.0, 2667.0, 52.5], vjSGFnBxP-, 5709811]
[paragraph, [406.0, 3080.5, 2667.0, 52.5], vjSGFnBxP-, 5709811]
[paragraph, [406.0, 3133.0, 2667.0, 52.5], vjSGFnBxP-, 5709811]
[paragraph, [406.0, 3185.5, 2667.0, 52.5], vjSGFnBxP-, 5709811]
[paragraph, [406.0, 3238.0, 2667.0, 52.5], vjSGFnBxP-, 5709811]
[paragraph, [406.0, 3290.5, 2667.0, 52.5], vjSGFnBxP-, 5709811]
[paragraph, [406.0, 3343.0, 2667.0, 52.5], vjSGFnBxP-, 5709811]
[paragraph, [683.0, 3419.0, 2315.0, 52.5], ha6Hesxn8L, 5709811]
[paragraph, [683.0, 3471.5, 2315.0, 52.5], ha6Hesxn8L, 5709811]
[quote, [683.0, 3570.0, 770.0, 52.5], vGTlTknIKa, 5709811]
[quote, [683.0, 3622.5, 770.0, 52.5], vGTlTknIKa, 5709811]
[paragraph, [688.0, 3689.0, 1778.0, 52.5], 9g0qJ5dF9N, 5709811]
[paragraph, [688.0, 3741.5, 1778.0, 52.5], 9g0qJ5dF9N, 5709811]
[paragraph, [466.0, 3803.0, 2597.0, 52.5], DGED0f6Xy8, 5709811]
[paragraph, [466.0, 3855.5, 2597.0, 52.5], DGED0f6Xy8, 5709811]
[paragraph, [466.0, 3908.0, 2597.0, 52.5], DGED0f6Xy8, 5709811]
[paragraph, [466.0, 3960.5, 2597.0, 52.5], DGED0f6Xy8, 5709811]
[paragraph, [466.0, 4013.0, 2597.0, 52.5], DGED0f6Xy8, 5709811]
[paragraph, [466.0, 4065.5, 2597.0, 52.5], DGED0f6Xy8, 5709811]
[paragraph, [466.0, 4118.0, 2597.0, 52.5], DGED0f6Xy8, 5709811]
[paragraph, [466.0, 4170.5, 2597.0, 52.5], DGED0f6Xy8, 5709811]
[paragraph, [466.0, 4223.0, 2597.0, 52.5], DGED0f6Xy8, 5709811]
[paragraph, [466.0, 4275.5, 2597.0, 52.5], DGED0f6Xy8, 5709811]
[paragraph, [466.0, 4328.0, 2597.0, 52.5], DGED0f6Xy8, 5709811]
[paragraph, [466.0, 4380.5, 2597.0, 52.5], DGED0f6Xy8, 5709811]
[paragraph, [471.0, 4459.0, 2575.0, 52.5], b1iX7kIVEy, 5709811]
[paragraph, [471.0, 4511.5, 2575.0, 52.5], b1iX7kIVEy, 5709811]
[paragraph, [471.0, 4564.0, 2575.0, 52.5], b1iX7kIVEy, 5709811]
[paragraph, [471.0, 4616.5, 2575.0, 52.5], b1iX7kIVEy, 5709811]
[paragraph, [629.0, 4703.0, 2434.0, 52.5], zoHMH10HiC, 5709811]
[paragraph, [629.0, 4755.5, 2434.0, 52.5], zoHMH10HiC, 5709811]
