[842, 596]
[paragraph, [110.0, 54.0, 415.0, 18.0], uWbzWdHL49, 5658370]
[paragraph, [110.0, 72.0, 415.0, 18.0], uWbzWdHL49, 5658370]
[ordered-list, [67.0, 93.0, 459.0, 18.0], shoonya_0sBND4Y8CID2V2, 5658370]
[ordered-list, [67.0, 111.0, 459.0, 18.0], shoonya_0sBND4Y8CID2V2, 5658370]
[ordered-list, [67.0, 129.0, 459.0, 18.0], shoonya_0sBND4Y8CID2V2, 5658370]
[ordered-list, [67.0, 147.0, 459.0, 18.0], shoonya_0sBND4Y8CID2V2, 5658370]
[ordered-list, [67.0, 165.0, 459.0, 18.0], shoonya_0sBND4Y8CID2V2, 5658370]
[ordered-list, [67.0, 183.0, 459.0, 18.0], shoonya_0sBND4Y8CID2V2, 5658370]
[ordered-list, [67.0, 201.0, 459.0, 18.0], shoonya_0sBND4Y8CID2V2, 5658370]
[ordered-list, [67.0, 219.0, 459.0, 18.0], shoonya_0sBND4Y8CID2V2, 5658370]
[ordered-list, [67.0, 237.0, 459.0, 18.0], shoonya_0sBND4Y8CID2V2, 5658370]
[ordered-list, [67.0, 255.0, 459.0, 18.0], shoonya_0sBND4Y8CID2V2, 5658370]
[ordered-list, [67.0, 273.0, 459.0, 18.0], shoonya_0sBND4Y8CID2V2, 5658370]
[ordered-list, [67.0, 291.0, 459.0, 18.0], shoonya_0sBND4Y8CID2V2, 5658370]
[ordered-list, [67.0, 309.0, 459.0, 18.0], shoonya_0sBND4Y8CID2V2, 5658370]
[ordered-list, [67.0, 327.0, 459.0, 18.0], shoonya_0sBND4Y8CID2V2, 5658370]
[ordered-list, [51.0, 353.0, 487.0, 18.0], UBpue97-bF, 5658370]
[ordered-list, [51.0, 371.0, 487.0, 18.0], UBpue97-bF, 5658370]
[ordered-list, [51.0, 389.0, 487.0, 18.0], UBpue97-bF, 5658370]
[ordered-list, [51.0, 407.0, 487.0, 18.0], UBpue97-bF, 5658370]
[ordered-list, [51.0, 425.0, 487.0, 18.0], UBpue97-bF, 5658370]
[ordered-list, [51.0, 443.0, 487.0, 18.0], UBpue97-bF, 5658370]
[ordered-list, [51.0, 461.0, 487.0, 18.0], UBpue97-bF, 5658370]
[ordered-list, [51.0, 479.0, 487.0, 18.0], UBpue97-bF, 5658370]
[ordered-list, [51.0, 497.0, 487.0, 18.0], UBpue97-bF, 5658370]
[ordered-list, [51.0, 515.0, 487.0, 18.0], UBpue97-bF, 5658370]
[ordered-list, [51.0, 533.0, 487.0, 18.0], UBpue97-bF, 5658370]
[ordered-list, [51.0, 551.0, 487.0, 18.0], UBpue97-bF, 5658370]
[ordered-list, [51.0, 569.0, 487.0, 18.0], UBpue97-bF, 5658370]
[ordered-list, [51.0, 587.0, 487.0, 18.0], UBpue97-bF, 5658370]
[ordered-list, [51.0, 605.0, 487.0, 18.0], UBpue97-bF, 5658370]
[ordered-list, [51.0, 623.0, 487.0, 18.0], UBpue97-bF, 5658370]
[ordered-list, [51.0, 641.0, 487.0, 18.0], UBpue97-bF, 5658370]
[ordered-list, [51.0, 659.0, 487.0, 18.0], UBpue97-bF, 5658370]
[ordered-list, [51.0, 677.0, 487.0, 18.0], UBpue97-bF, 5658370]
[ordered-list, [51.0, 695.0, 487.0, 18.0], UBpue97-bF, 5658370]
[ordered-list, [51.0, 713.0, 487.0, 18.0], UBpue97-bF, 5658370]
[ordered-list, [51.0, 731.0, 487.0, 18.0], UBpue97-bF, 5658370]
[sub-ordered-list, [60.0, 370.0, 466.0, 18.0], K_CrSjDhZH, 5658370]
[sub-ordered-list, [60.0, 388.0, 466.0, 18.0], K_CrSjDhZH, 5658370]
[sub-ordered-list, [60.0, 406.0, 466.0, 18.0], K_CrSjDhZH, 5658370]
[sub-ordered-list, [60.0, 424.0, 466.0, 18.0], K_CrSjDhZH, 5658370]
[sub-ordered-list, [60.0, 442.0, 466.0, 18.0], K_CrSjDhZH, 5658370]
[sub-ordered-list, [60.0, 460.0, 466.0, 18.0], K_CrSjDhZH, 5658370]
[sub-ordered-list, [60.0, 478.0, 466.0, 18.0], K_CrSjDhZH, 5658370]
[sub-ordered-list, [60.0, 496.0, 466.0, 18.0], K_CrSjDhZH, 5658370]
[sub-ordered-list, [60.0, 514.0, 466.0, 18.0], K_CrSjDhZH, 5658370]
[sub-ordered-list, [60.0, 532.0, 466.0, 18.0], K_CrSjDhZH, 5658370]
[sub-ordered-list, [60.0, 550.0, 466.0, 18.0], K_CrSjDhZH, 5658370]
[sub-ordered-list, [60.0, 568.0, 466.0, 18.0], K_CrSjDhZH, 5658370]
[sub-ordered-list, [60.0, 586.0, 466.0, 18.0], K_CrSjDhZH, 5658370]
[sub-ordered-list, [60.0, 604.0, 466.0, 18.0], K_CrSjDhZH, 5658370]
[sub-ordered-list, [60.0, 622.0, 466.0, 18.0], K_CrSjDhZH, 5658370]
[sub-ordered-list, [67.0, 667.0, 455.0, 18.0], aKw46YU3J4, 5658370]
[sub-ordered-list, [67.0, 685.0, 455.0, 18.0], aKw46YU3J4, 5658370]
[sub-ordered-list, [67.0, 703.0, 455.0, 18.0], aKw46YU3J4, 5658370]
[sub-ordered-list, [67.0, 721.0, 455.0, 18.0], aKw46YU3J4, 5658370]
[footnote, [77.0, 777.0, 464.0, 18.0], shoonya_1sR7SN0X4STF7E, 5658370]
