[1806, 1262]
[paragraph, [91.0, 159.0, 1057.0, 36.0], shoonya_3sGRYYF42IPRHE, 5680561]
[paragraph, [91.0, 195.0, 1057.0, 36.0], shoonya_3sGRYYF42IPRHE, 5680561]
[paragraph, [91.0, 231.0, 1057.0, 36.0], shoonya_3sGRYYF42IPRHE, 5680561]
[paragraph, [91.0, 267.0, 1057.0, 36.0], shoonya_3sGRYYF42IPRHE, 5680561]
[paragraph, [89.0, 316.0, 1057.0, 36.0], shoonya_2sZ37YY8SKNKTW, 5680561]
[paragraph, [89.0, 352.0, 1057.0, 36.0], shoonya_2sZ37YY8SKNKTW, 5680561]
[paragraph, [89.0, 388.0, 1057.0, 36.0], shoonya_2sZ37YY8SKNKTW, 5680561]
[paragraph, [89.0, 424.0, 1057.0, 36.0], shoonya_2sZ37YY8SKNKTW, 5680561]
[paragraph, [106.0, 463.0, 1043.0, 36.0], shoonya_4sQKOUAZ03JHN7, 5680561]
[paragraph, [106.0, 499.0, 1043.0, 36.0], shoonya_4sQKOUAZ03JHN7, 5680561]
[paragraph, [106.0, 535.0, 1043.0, 36.0], shoonya_4sQKOUAZ03JHN7, 5680561]
[paragraph, [106.0, 571.0, 1043.0, 36.0], shoonya_4sQKOUAZ03JHN7, 5680561]
[paragraph, [106.0, 607.0, 1043.0, 36.0], shoonya_4sQKOUAZ03JHN7, 5680561]
[paragraph, [106.0, 643.0, 1043.0, 36.0], shoonya_4sQKOUAZ03JHN7, 5680561]
[paragraph, [106.0, 679.0, 1043.0, 36.0], shoonya_4sQKOUAZ03JHN7, 5680561]
[paragraph, [106.0, 715.0, 1043.0, 36.0], shoonya_4sQKOUAZ03JHN7, 5680561]
[paragraph, [106.0, 751.0, 1043.0, 36.0], shoonya_4sQKOUAZ03JHN7, 5680561]
[paragraph, [104.0, 800.0, 1047.0, 36.0], shoonya_1s4A3G7TWB1UGV, 5680561]
[paragraph, [104.0, 836.0, 1047.0, 36.0], shoonya_1s4A3G7TWB1UGV, 5680561]
[paragraph, [104.0, 872.0, 1047.0, 36.0], shoonya_1s4A3G7TWB1UGV, 5680561]
[paragraph, [104.0, 908.0, 1047.0, 36.0], shoonya_1s4A3G7TWB1UGV, 5680561]
[paragraph, [104.0, 944.0, 1047.0, 36.0], shoonya_1s4A3G7TWB1UGV, 5680561]
[paragraph, [108.0, 1009.0, 1048.0, 36.0], shoonya_0sHQNXNXKM0824, 5680561]
[paragraph, [108.0, 1045.0, 1048.0, 36.0], shoonya_0sHQNXNXKM0824, 5680561]
[paragraph, [108.0, 1081.0, 1048.0, 36.0], shoonya_0sHQNXNXKM0824, 5680561]
[paragraph, [108.0, 1117.0, 1048.0, 36.0], shoonya_0sHQNXNXKM0824, 5680561]
[paragraph, [108.0, 1153.0, 1048.0, 36.0], shoonya_0sHQNXNXKM0824, 5680561]
[paragraph, [108.0, 1189.0, 1048.0, 36.0], shoonya_0sHQNXNXKM0824, 5680561]
[paragraph, [108.0, 1225.0, 1048.0, 36.0], shoonya_0sHQNXNXKM0824, 5680561]
[paragraph, [108.0, 1261.0, 1048.0, 36.0], shoonya_0sHQNXNXKM0824, 5680561]
[paragraph, [108.0, 1297.0, 1048.0, 36.0], shoonya_0sHQNXNXKM0824, 5680561]
[paragraph, [108.0, 1333.0, 1048.0, 36.0], shoonya_0sHQNXNXKM0824, 5680561]
[paragraph, [108.0, 1369.0, 1048.0, 36.0], shoonya_0sHQNXNXKM0824, 5680561]
[paragraph, [108.0, 1408.0, 1046.0, 36.0], rdk8CKHEQi, 5680561]
[paragraph, [108.0, 1444.0, 1046.0, 36.0], rdk8CKHEQi, 5680561]
[paragraph, [108.0, 1480.0, 1046.0, 36.0], rdk8CKHEQi, 5680561]
[paragraph, [108.0, 1516.0, 1046.0, 36.0], rdk8CKHEQi, 5680561]
[paragraph, [108.0, 1552.0, 1046.0, 36.0], rdk8CKHEQi, 5680561]
[paragraph, [108.0, 1588.0, 1046.0, 36.0], rdk8CKHEQi, 5680561]
[paragraph, [108.0, 1624.0, 1046.0, 36.0], rdk8CKHEQi, 5680561]
[paragraph, [108.0, 1660.0, 1046.0, 36.0], rdk8CKHEQi, 5680561]
