[576, 360]
[folio, [62.0, 31.0, 71.0, 18.0], LcKXmPMsdD, 6517064]
[paragraph, [26.0, 56.0, 307.0, 18.0], shoonya_2s5XL8EPMESRUE, 6517064]
[paragraph, [26.0, 74.0, 307.0, 18.0], shoonya_2s5XL8EPMESRUE, 6517064]
[paragraph, [26.0, 92.0, 307.0, 18.0], shoonya_2s5XL8EPMESRUE, 6517064]
[paragraph, [23.0, 145.0, 312.0, 18.0], shoonya_0sZ5OPDS351K83, 6517064]
[paragraph, [23.0, 163.0, 312.0, 18.0], shoonya_0sZ5OPDS351K83, 6517064]
[paragraph, [23.0, 181.0, 312.0, 18.0], shoonya_0sZ5OPDS351K83, 6517064]
[paragraph, [23.0, 199.0, 312.0, 18.0], shoonya_0sZ5OPDS351K83, 6517064]
[paragraph, [23.0, 217.0, 312.0, 18.0], shoonya_0sZ5OPDS351K83, 6517064]
[paragraph, [23.0, 235.0, 312.0, 18.0], shoonya_0sZ5OPDS351K83, 6517064]
[paragraph, [23.0, 253.0, 312.0, 18.0], shoonya_0sZ5OPDS351K83, 6517064]
[paragraph, [23.0, 271.0, 312.0, 18.0], shoonya_0sZ5OPDS351K83, 6517064]
[paragraph, [23.0, 289.0, 312.0, 18.0], shoonya_0sZ5OPDS351K83, 6517064]
[paragraph, [23.0, 307.0, 312.0, 18.0], shoonya_0sZ5OPDS351K83, 6517064]
[paragraph, [23.0, 325.0, 312.0, 18.0], shoonya_0sZ5OPDS351K83, 6517064]
[paragraph, [23.0, 343.0, 312.0, 18.0], shoonya_0sZ5OPDS351K83, 6517064]
[paragraph, [23.0, 361.0, 312.0, 18.0], shoonya_0sZ5OPDS351K83, 6517064]
[paragraph, [26.0, 397.0, 305.0, 18.0], shoonya_1s1GRRPFYKM1NB, 6517064]
[paragraph, [26.0, 415.0, 305.0, 18.0], shoonya_1s1GRRPFYKM1NB, 6517064]
[paragraph, [26.0, 433.0, 305.0, 18.0], shoonya_1s1GRRPFYKM1NB, 6517064]
[paragraph, [26.0, 451.0, 305.0, 18.0], shoonya_1s1GRRPFYKM1NB, 6517064]
[paragraph, [26.0, 469.0, 305.0, 18.0], shoonya_1s1GRRPFYKM1NB, 6517064]
[paragraph, [26.0, 487.0, 305.0, 18.0], shoonya_1s1GRRPFYKM1NB, 6517064]
[paragraph, [26.0, 505.0, 305.0, 18.0], shoonya_1s1GRRPFYKM1NB, 6517064]
[paragraph, [26.0, 523.0, 305.0, 18.0], shoonya_1s1GRRPFYKM1NB, 6517064]
