[1755, 1241]
[section-title, [210.0, 446.0, 783.0, 49.5], iYQ8IyRfIB, 5705271]
[section-title, [210.0, 495.5, 783.0, 49.5], iYQ8IyRfIB, 5705271]
[section-title, [210.0, 545.0, 783.0, 49.5], iYQ8IyRfIB, 5705271]
[section-title, [210.0, 594.5, 783.0, 49.5], iYQ8IyRfIB, 5705271]
[headline, [373.0, 657.0, 491.0, 37.5], V1XfMX6L2v, 5705271]
[headline, [373.0, 694.5, 491.0, 37.5], V1XfMX6L2v, 5705271]
[contact-info, [646.0, 758.0, 305.0, 36.0], igvNm0lgUG, 5705271]
[contact-info, [646.0, 794.0, 305.0, 36.0], igvNm0lgUG, 5705271]
[contact-info, [646.0, 830.0, 305.0, 36.0], igvNm0lgUG, 5705271]
[contact-info, [646.0, 866.0, 305.0, 36.0], igvNm0lgUG, 5705271]
[contact-info, [646.0, 902.0, 305.0, 36.0], igvNm0lgUG, 5705271]
[contact-info, [232.0, 764.0, 404.0, 36.0], cnTrlIJtlv, 5705271]
[contact-info, [232.0, 800.0, 404.0, 36.0], cnTrlIJtlv, 5705271]
[contact-info, [232.0, 836.0, 404.0, 36.0], cnTrlIJtlv, 5705271]
[contact-info, [232.0, 872.0, 404.0, 36.0], cnTrlIJtlv, 5705271]
[contact-info, [232.0, 908.0, 404.0, 36.0], cnTrlIJtlv, 5705271]
[unordered-list, [254.0, 1107.0, 733.0, 36.0], 9Tm3QNwUpR, 5705271]
[unordered-list, [254.0, 1143.0, 733.0, 36.0], 9Tm3QNwUpR, 5705271]
[unordered-list, [254.0, 1179.0, 733.0, 36.0], 9Tm3QNwUpR, 5705271]
[unordered-list, [254.0, 1215.0, 733.0, 36.0], 9Tm3QNwUpR, 5705271]
[unordered-list, [254.0, 1251.0, 733.0, 36.0], 9Tm3QNwUpR, 5705271]
[unordered-list, [254.0, 1287.0, 733.0, 36.0], 9Tm3QNwUpR, 5705271]
[unordered-list, [254.0, 1323.0, 733.0, 36.0], 9Tm3QNwUpR, 5705271]
[unordered-list, [254.0, 1359.0, 733.0, 36.0], 9Tm3QNwUpR, 5705271]
[unordered-list, [254.0, 1395.0, 733.0, 36.0], 9Tm3QNwUpR, 5705271]
[website-link, [145.0, 1550.0, 295.0, 18.0], shoonya_0sCVJCD4ML4IOU, 5705271]
[website-link, [145.0, 1568.0, 295.0, 18.0], shoonya_0sCVJCD4ML4IOU, 5705271]
