[2339, 1653]
[paragraph, [325.0, 165.0, 1133.0, 36.0], shoonya_3sHPPSSH9NA9PY, 5734412]
[paragraph, [325.0, 201.0, 1133.0, 36.0], shoonya_3sHPPSSH9NA9PY, 5734412]
[paragraph, [325.0, 279.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 315.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 351.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 387.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 423.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 459.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 495.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 531.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 567.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 603.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 639.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 675.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 711.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 747.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 783.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 819.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 855.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 891.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 927.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 963.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 999.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 1035.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 1071.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 1107.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 1143.0, 1136.0, 36.0], shoonya_2sEU6I80513YLI, 5734412]
[paragraph, [325.0, 1221.0, 1135.0, 36.0], shoonya_0sET49AWGBVJWA, 5734412]
[paragraph, [325.0, 1257.0, 1135.0, 36.0], shoonya_0sET49AWGBVJWA, 5734412]
[paragraph, [325.0, 1293.0, 1135.0, 36.0], shoonya_0sET49AWGBVJWA, 5734412]
[paragraph, [325.0, 1329.0, 1135.0, 36.0], shoonya_0sET49AWGBVJWA, 5734412]
[paragraph, [325.0, 1365.0, 1135.0, 36.0], shoonya_0sET49AWGBVJWA, 5734412]
[paragraph, [325.0, 1401.0, 1135.0, 36.0], shoonya_0sET49AWGBVJWA, 5734412]
[paragraph, [325.0, 1437.0, 1135.0, 36.0], shoonya_0sET49AWGBVJWA, 5734412]
[paragraph, [325.0, 1473.0, 1135.0, 36.0], shoonya_0sET49AWGBVJWA, 5734412]
[paragraph, [325.0, 1509.0, 1135.0, 36.0], shoonya_0sET49AWGBVJWA, 5734412]
[paragraph, [325.0, 1545.0, 1135.0, 36.0], shoonya_0sET49AWGBVJWA, 5734412]
[paragraph, [325.0, 1581.0, 1135.0, 36.0], shoonya_0sET49AWGBVJWA, 5734412]
[paragraph, [325.0, 1617.0, 1135.0, 36.0], shoonya_0sET49AWGBVJWA, 5734412]
[paragraph, [325.0, 1653.0, 1135.0, 36.0], shoonya_0sET49AWGBVJWA, 5734412]
[paragraph, [325.0, 1689.0, 1135.0, 36.0], shoonya_0sET49AWGBVJWA, 5734412]
[paragraph, [325.0, 1725.0, 1135.0, 36.0], shoonya_0sET49AWGBVJWA, 5734412]
[paragraph, [325.0, 1777.0, 1136.0, 36.0], shoonya_1sDY901EUJ4K08, 5734412]
[paragraph, [325.0, 1813.0, 1136.0, 36.0], shoonya_1sDY901EUJ4K08, 5734412]
[paragraph, [325.0, 1849.0, 1136.0, 36.0], shoonya_1sDY901EUJ4K08, 5734412]
[paragraph, [325.0, 1885.0, 1136.0, 36.0], shoonya_1sDY901EUJ4K08, 5734412]
[paragraph, [325.0, 1921.0, 1136.0, 36.0], shoonya_1sDY901EUJ4K08, 5734412]
[paragraph, [325.0, 1957.0, 1136.0, 36.0], shoonya_1sDY901EUJ4K08, 5734412]
[paragraph, [325.0, 1993.0, 1136.0, 36.0], shoonya_1sDY901EUJ4K08, 5734412]
[paragraph, [325.0, 2029.0, 1136.0, 36.0], shoonya_1sDY901EUJ4K08, 5734412]
[paragraph, [325.0, 2065.0, 1136.0, 36.0], shoonya_1sDY901EUJ4K08, 5734412]
[folio, [808.0, 2155.0, 571.0, 36.0], _3pWj4rGqD, 5734412]
