[1326, 829]
[headline, [350.0, 70.0, 140.0, 25.5], 5PC94YL2sT, 5770741]
[paragraph, [415.0, 132.0, 338.0, 18.0], VtNgRILAtr, 5770741]
[paragraph, [415.0, 150.0, 338.0, 18.0], VtNgRILAtr, 5770741]
[paragraph, [415.0, 168.0, 338.0, 18.0], VtNgRILAtr, 5770741]
[paragraph, [415.0, 186.0, 338.0, 18.0], VtNgRILAtr, 5770741]
[paragraph, [415.0, 204.0, 338.0, 18.0], VtNgRILAtr, 5770741]
[paragraph, [415.0, 222.0, 338.0, 18.0], VtNgRILAtr, 5770741]
[paragraph, [415.0, 240.0, 338.0, 18.0], VtNgRILAtr, 5770741]
[paragraph, [415.0, 258.0, 338.0, 18.0], VtNgRILAtr, 5770741]
[paragraph, [415.0, 276.0, 338.0, 18.0], VtNgRILAtr, 5770741]
[paragraph, [415.0, 294.0, 338.0, 18.0], VtNgRILAtr, 5770741]
[paragraph, [98.0, 135.0, 226.0, 18.0], Fe_bohUd2o, 5770741]
[paragraph, [98.0, 153.0, 226.0, 18.0], Fe_bohUd2o, 5770741]
[paragraph, [98.0, 171.0, 226.0, 18.0], Fe_bohUd2o, 5770741]
[paragraph, [74.0, 187.0, 336.0, 18.0], FYWOQNpj6C, 5770741]
[paragraph, [74.0, 205.0, 336.0, 18.0], FYWOQNpj6C, 5770741]
[paragraph, [74.0, 223.0, 336.0, 18.0], FYWOQNpj6C, 5770741]
[paragraph, [74.0, 241.0, 336.0, 18.0], FYWOQNpj6C, 5770741]
[paragraph, [74.0, 259.0, 336.0, 18.0], FYWOQNpj6C, 5770741]
[paragraph, [74.0, 277.0, 336.0, 18.0], FYWOQNpj6C, 5770741]
[paragraph, [74.0, 295.0, 336.0, 18.0], FYWOQNpj6C, 5770741]
[paragraph, [74.0, 313.0, 336.0, 18.0], FYWOQNpj6C, 5770741]
[paragraph, [74.0, 331.0, 336.0, 18.0], FYWOQNpj6C, 5770741]
[paragraph, [74.0, 349.0, 336.0, 18.0], FYWOQNpj6C, 5770741]
[paragraph, [74.0, 367.0, 336.0, 18.0], FYWOQNpj6C, 5770741]
[paragraph, [74.0, 385.0, 336.0, 18.0], FYWOQNpj6C, 5770741]
[paragraph, [74.0, 403.0, 336.0, 18.0], FYWOQNpj6C, 5770741]
[paragraph, [74.0, 421.0, 336.0, 18.0], FYWOQNpj6C, 5770741]
[paragraph, [74.0, 439.0, 336.0, 18.0], FYWOQNpj6C, 5770741]
[paragraph, [74.0, 457.0, 336.0, 18.0], FYWOQNpj6C, 5770741]
[paragraph, [74.0, 475.0, 336.0, 18.0], FYWOQNpj6C, 5770741]
[paragraph, [74.0, 493.0, 336.0, 18.0], FYWOQNpj6C, 5770741]
[paragraph, [415.0, 315.0, 337.0, 18.0], aK-Hf32to5, 5770741]
[paragraph, [415.0, 333.0, 337.0, 18.0], aK-Hf32to5, 5770741]
[paragraph, [415.0, 351.0, 337.0, 18.0], aK-Hf32to5, 5770741]
[paragraph, [415.0, 369.0, 337.0, 18.0], aK-Hf32to5, 5770741]
[paragraph, [415.0, 387.0, 337.0, 18.0], aK-Hf32to5, 5770741]
[paragraph, [415.0, 405.0, 337.0, 18.0], aK-Hf32to5, 5770741]
[paragraph, [415.0, 423.0, 337.0, 18.0], aK-Hf32to5, 5770741]
[paragraph, [415.0, 441.0, 337.0, 18.0], aK-Hf32to5, 5770741]
[paragraph, [415.0, 459.0, 337.0, 18.0], aK-Hf32to5, 5770741]
[paragraph, [415.0, 477.0, 337.0, 18.0], aK-Hf32to5, 5770741]
[paragraph, [415.0, 495.0, 337.0, 18.0], aK-Hf32to5, 5770741]
[paragraph, [415.0, 513.0, 337.0, 18.0], aK-Hf32to5, 5770741]
[paragraph, [74.0, 518.0, 338.0, 18.0], WuidqGw4CW, 5770741]
[paragraph, [74.0, 536.0, 338.0, 18.0], WuidqGw4CW, 5770741]
[paragraph, [74.0, 554.0, 338.0, 18.0], WuidqGw4CW, 5770741]
[paragraph, [74.0, 572.0, 338.0, 18.0], WuidqGw4CW, 5770741]
[paragraph, [74.0, 590.0, 338.0, 18.0], WuidqGw4CW, 5770741]
[paragraph, [74.0, 608.0, 338.0, 18.0], WuidqGw4CW, 5770741]
[paragraph, [74.0, 626.0, 338.0, 18.0], WuidqGw4CW, 5770741]
[paragraph, [74.0, 644.0, 338.0, 18.0], WuidqGw4CW, 5770741]
[paragraph, [74.0, 662.0, 338.0, 18.0], WuidqGw4CW, 5770741]
[paragraph, [74.0, 680.0, 338.0, 18.0], WuidqGw4CW, 5770741]
[paragraph, [74.0, 698.0, 338.0, 18.0], WuidqGw4CW, 5770741]
[paragraph, [74.0, 716.0, 338.0, 18.0], WuidqGw4CW, 5770741]
[paragraph, [74.0, 734.0, 338.0, 18.0], WuidqGw4CW, 5770741]
[paragraph, [74.0, 752.0, 338.0, 18.0], WuidqGw4CW, 5770741]
[paragraph, [74.0, 770.0, 338.0, 18.0], WuidqGw4CW, 5770741]
[paragraph, [74.0, 788.0, 338.0, 18.0], WuidqGw4CW, 5770741]
[paragraph, [74.0, 806.0, 338.0, 18.0], WuidqGw4CW, 5770741]
