[1260, 836]
[paragraph, [29.0, 9.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 27.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 45.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 63.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 81.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 99.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 117.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 135.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 153.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 171.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 189.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 207.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 225.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 243.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 261.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 279.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 297.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 315.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 333.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 351.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 369.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 387.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 405.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 423.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 441.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 459.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 477.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 495.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 513.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 531.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 549.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 567.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 585.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 603.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 621.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 639.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 657.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
[paragraph, [29.0, 675.0, 779.0, 18.0], shoonya_1sT89UGB1J3KEX, 5750893]
