[1754, 1241]
[headline, [97.0, 66.0, 215.0, 37.5], elpHg-Nm05, 5744588]
[headline, [97.0, 103.5, 215.0, 37.5], elpHg-Nm05, 5744588]
[headline, [97.0, 141.0, 215.0, 37.5], elpHg-Nm05, 5744588]
[headline, [97.0, 178.5, 215.0, 37.5], elpHg-Nm05, 5744588]
[author, [456.0, 108.0, 330.0, 36.0], nYpBUuVu36, 5744588]
[paragraph, [442.0, 296.0, 367.0, 36.0], shoonya_5s9FY7I3OETXTD, 5744588]
[paragraph, [442.0, 332.0, 367.0, 36.0], shoonya_5s9FY7I3OETXTD, 5744588]
[paragraph, [442.0, 368.0, 367.0, 36.0], shoonya_5s9FY7I3OETXTD, 5744588]
[paragraph, [442.0, 404.0, 367.0, 36.0], shoonya_5s9FY7I3OETXTD, 5744588]
[paragraph, [442.0, 440.0, 367.0, 36.0], shoonya_5s9FY7I3OETXTD, 5744588]
[paragraph, [442.0, 476.0, 367.0, 36.0], shoonya_5s9FY7I3OETXTD, 5744588]
[paragraph, [58.0, 298.0, 365.0, 36.0], shoonya_10sOMMQRN8H5XC, 5744588]
[paragraph, [58.0, 334.0, 365.0, 36.0], shoonya_10sOMMQRN8H5XC, 5744588]
[paragraph, [58.0, 370.0, 365.0, 36.0], shoonya_10sOMMQRN8H5XC, 5744588]
[paragraph, [58.0, 406.0, 365.0, 36.0], shoonya_10sOMMQRN8H5XC, 5744588]
[paragraph, [58.0, 442.0, 365.0, 36.0], shoonya_10sOMMQRN8H5XC, 5744588]
[paragraph, [58.0, 478.0, 365.0, 36.0], shoonya_10sOMMQRN8H5XC, 5744588]
[paragraph, [58.0, 514.0, 365.0, 36.0], shoonya_10sOMMQRN8H5XC, 5744588]
[paragraph, [58.0, 550.0, 365.0, 36.0], shoonya_10sOMMQRN8H5XC, 5744588]
[paragraph, [58.0, 586.0, 365.0, 36.0], shoonya_10sOMMQRN8H5XC, 5744588]
[paragraph, [828.0, 300.0, 364.0, 36.0], shoonya_7sNAHB260GZECB, 5744588]
[paragraph, [828.0, 336.0, 364.0, 36.0], shoonya_7sNAHB260GZECB, 5744588]
[paragraph, [828.0, 372.0, 364.0, 36.0], shoonya_7sNAHB260GZECB, 5744588]
[paragraph, [828.0, 408.0, 364.0, 36.0], shoonya_7sNAHB260GZECB, 5744588]
[paragraph, [828.0, 444.0, 364.0, 36.0], shoonya_7sNAHB260GZECB, 5744588]
[paragraph, [828.0, 480.0, 364.0, 36.0], shoonya_7sNAHB260GZECB, 5744588]
[paragraph, [828.0, 516.0, 364.0, 36.0], shoonya_7sNAHB260GZECB, 5744588]
[paragraph, [828.0, 552.0, 364.0, 36.0], shoonya_7sNAHB260GZECB, 5744588]
[paragraph, [828.0, 588.0, 364.0, 36.0], shoonya_7sNAHB260GZECB, 5744588]
[paragraph, [828.0, 624.0, 364.0, 36.0], shoonya_7sNAHB260GZECB, 5744588]
[paragraph, [828.0, 660.0, 364.0, 36.0], shoonya_7sNAHB260GZECB, 5744588]
[sidebar, [448.0, 536.0, 354.0, 36.0], culuWgfBk5, 5744588]
[sidebar, [448.0, 572.0, 354.0, 36.0], culuWgfBk5, 5744588]
[sidebar, [448.0, 608.0, 354.0, 36.0], culuWgfBk5, 5744588]
[sidebar, [448.0, 644.0, 354.0, 36.0], culuWgfBk5, 5744588]
[sidebar, [448.0, 680.0, 354.0, 36.0], culuWgfBk5, 5744588]
[sidebar, [448.0, 716.0, 354.0, 36.0], culuWgfBk5, 5744588]
[sidebar, [448.0, 752.0, 354.0, 36.0], culuWgfBk5, 5744588]
[sidebar, [448.0, 788.0, 354.0, 36.0], culuWgfBk5, 5744588]
[sidebar, [448.0, 824.0, 354.0, 36.0], culuWgfBk5, 5744588]
[sidebar, [448.0, 860.0, 354.0, 36.0], culuWgfBk5, 5744588]
[sidebar, [448.0, 896.0, 354.0, 36.0], culuWgfBk5, 5744588]
[sidebar, [448.0, 932.0, 354.0, 36.0], culuWgfBk5, 5744588]
[sidebar, [448.0, 968.0, 354.0, 36.0], culuWgfBk5, 5744588]
[sidebar, [448.0, 1004.0, 354.0, 36.0], culuWgfBk5, 5744588]
[sidebar, [448.0, 1040.0, 354.0, 36.0], culuWgfBk5, 5744588]
[sidebar, [448.0, 1076.0, 354.0, 36.0], culuWgfBk5, 5744588]
[sidebar, [448.0, 1112.0, 354.0, 36.0], culuWgfBk5, 5744588]
[quote, [468.0, 544.0, 308.0, 36.0], Bx5kuyozSs, 5744588]
[quote, [468.0, 580.0, 308.0, 36.0], Bx5kuyozSs, 5744588]
[quote, [468.0, 616.0, 308.0, 36.0], Bx5kuyozSs, 5744588]
[quote, [468.0, 652.0, 308.0, 36.0], Bx5kuyozSs, 5744588]
[quote, [468.0, 688.0, 308.0, 36.0], Bx5kuyozSs, 5744588]
[quote, [468.0, 724.0, 308.0, 36.0], Bx5kuyozSs, 5744588]
[quote, [468.0, 760.0, 308.0, 36.0], Bx5kuyozSs, 5744588]
[quote, [468.0, 796.0, 308.0, 36.0], Bx5kuyozSs, 5744588]
[quote, [468.0, 832.0, 308.0, 36.0], Bx5kuyozSs, 5744588]
[quote, [468.0, 868.0, 308.0, 36.0], Bx5kuyozSs, 5744588]
[quote, [468.0, 904.0, 308.0, 36.0], Bx5kuyozSs, 5744588]
[quote, [468.0, 940.0, 308.0, 36.0], Bx5kuyozSs, 5744588]
[quote, [468.0, 976.0, 308.0, 36.0], Bx5kuyozSs, 5744588]
[quote, [468.0, 1012.0, 308.0, 36.0], Bx5kuyozSs, 5744588]
[quote, [468.0, 1048.0, 308.0, 36.0], Bx5kuyozSs, 5744588]
[paragraph, [827.0, 1000.0, 365.0, 36.0], shoonya_8s6I1SWEITXJ5F, 5744588]
[paragraph, [827.0, 1036.0, 365.0, 36.0], shoonya_8s6I1SWEITXJ5F, 5744588]
[paragraph, [827.0, 1072.0, 365.0, 36.0], shoonya_8s6I1SWEITXJ5F, 5744588]
