[842, 596]
[headline, [51.0, 45.0, 498.0, 25.5], dgfZQk40_V, 6491199]
[headline, [51.0, 70.5, 498.0, 25.5], dgfZQk40_V, 6491199]
[paragraph, [47.0, 417.0, 504.0, 18.0], iCv1w5Gg8j, 6491199]
[paragraph, [47.0, 435.0, 504.0, 18.0], iCv1w5Gg8j, 6491199]
[paragraph, [47.0, 453.0, 504.0, 18.0], iCv1w5Gg8j, 6491199]
[paragraph, [47.0, 471.0, 504.0, 18.0], iCv1w5Gg8j, 6491199]
[paragraph, [47.0, 489.0, 504.0, 18.0], iCv1w5Gg8j, 6491199]
[paragraph, [47.0, 507.0, 504.0, 18.0], iCv1w5Gg8j, 6491199]
[paragraph, [47.0, 525.0, 504.0, 18.0], iCv1w5Gg8j, 6491199]
[paragraph, [47.0, 543.0, 504.0, 18.0], iCv1w5Gg8j, 6491199]
[paragraph, [47.0, 561.0, 504.0, 18.0], iCv1w5Gg8j, 6491199]
[paragraph, [47.0, 579.0, 504.0, 18.0], iCv1w5Gg8j, 6491199]
[paragraph, [47.0, 597.0, 504.0, 18.0], iCv1w5Gg8j, 6491199]
[paragraph, [47.0, 615.0, 504.0, 18.0], iCv1w5Gg8j, 6491199]
[paragraph, [47.0, 633.0, 504.0, 18.0], iCv1w5Gg8j, 6491199]
[paragraph, [47.0, 651.0, 504.0, 18.0], iCv1w5Gg8j, 6491199]
[paragraph, [47.0, 669.0, 504.0, 18.0], iCv1w5Gg8j, 6491199]
[paragraph, [47.0, 687.0, 504.0, 18.0], iCv1w5Gg8j, 6491199]
[paragraph, [55.0, 719.0, 490.0, 18.0], DpWjHB4vgl, 6491199]
[paragraph, [55.0, 737.0, 490.0, 18.0], DpWjHB4vgl, 6491199]
[paragraph, [55.0, 755.0, 490.0, 18.0], DpWjHB4vgl, 6491199]
[paragraph, [55.0, 773.0, 490.0, 18.0], DpWjHB4vgl, 6491199]
