[792, 612]
[folio, [263.0, 47.0, 121.0, 18.0], shoonya_1sXL4U15GNHLDK, 6496322]
[paragraph, [166.0, 79.0, 338.0, 18.0], 21cCT9On5l, 6496322]
[paragraph, [166.0, 97.0, 338.0, 18.0], 21cCT9On5l, 6496322]
[paragraph, [166.0, 115.0, 338.0, 18.0], 21cCT9On5l, 6496322]
[paragraph, [166.0, 133.0, 338.0, 18.0], 21cCT9On5l, 6496322]
[paragraph, [166.0, 151.0, 338.0, 18.0], 21cCT9On5l, 6496322]
[paragraph, [166.0, 169.0, 338.0, 18.0], 21cCT9On5l, 6496322]
[paragraph, [166.0, 187.0, 338.0, 18.0], 21cCT9On5l, 6496322]
[paragraph, [166.0, 205.0, 338.0, 18.0], 21cCT9On5l, 6496322]
[paragraph, [166.0, 223.0, 338.0, 18.0], 21cCT9On5l, 6496322]
[paragraph, [166.0, 241.0, 338.0, 18.0], 21cCT9On5l, 6496322]
[paragraph, [166.0, 259.0, 338.0, 18.0], 21cCT9On5l, 6496322]
[paragraph, [166.0, 277.0, 338.0, 18.0], 21cCT9On5l, 6496322]
[paragraph, [166.0, 295.0, 338.0, 18.0], 21cCT9On5l, 6496322]
[paragraph, [166.0, 313.0, 338.0, 18.0], 21cCT9On5l, 6496322]
[paragraph, [166.0, 331.0, 338.0, 18.0], 21cCT9On5l, 6496322]
[paragraph, [166.0, 349.0, 338.0, 18.0], 21cCT9On5l, 6496322]
[paragraph, [166.0, 367.0, 338.0, 18.0], 21cCT9On5l, 6496322]
[paragraph, [166.0, 385.0, 338.0, 18.0], 21cCT9On5l, 6496322]
[paragraph, [166.0, 403.0, 338.0, 18.0], 21cCT9On5l, 6496322]
[paragraph, [166.0, 421.0, 338.0, 18.0], 21cCT9On5l, 6496322]
[paragraph, [166.0, 439.0, 338.0, 18.0], 21cCT9On5l, 6496322]
[paragraph, [173.0, 464.0, 334.0, 18.0], CstWa0tBqf, 6496322]
[paragraph, [173.0, 482.0, 334.0, 18.0], CstWa0tBqf, 6496322]
[paragraph, [173.0, 500.0, 334.0, 18.0], CstWa0tBqf, 6496322]
[paragraph, [173.0, 518.0, 334.0, 18.0], CstWa0tBqf, 6496322]
[paragraph, [173.0, 536.0, 334.0, 18.0], CstWa0tBqf, 6496322]
[paragraph, [173.0, 554.0, 334.0, 18.0], CstWa0tBqf, 6496322]
[paragraph, [173.0, 572.0, 334.0, 18.0], CstWa0tBqf, 6496322]
[paragraph, [173.0, 590.0, 334.0, 18.0], CstWa0tBqf, 6496322]
[paragraph, [173.0, 608.0, 334.0, 18.0], CstWa0tBqf, 6496322]
[paragraph, [173.0, 626.0, 334.0, 18.0], CstWa0tBqf, 6496322]
